GeographyCode,DC4401NI0001,DC4401NI0002,DC4401NI0003,DC4401NI0004,DC4401NI0005,DC4401NI0006,DC4401NI0007,DC4401NI0008,DC4401NI0009,DC4401NI0010,DC4401NI0011,DC4401NI0012,DC4401NI0013,DC4401NI0014,DC4401NI0015,DC4401NI0016,DC4401NI0017,DC4401NI0018,DC4401NI0019,DC4401NI0020,DC4401NI0021,DC4401NI0022,DC4401NI0023,DC4401NI0024,DC4401NI0025,DC4401NI0026,DC4401NI0027,DC4401NI0028,DC4401NI0029,DC4401NI0030,DC4401NI0031,DC4401NI0032,DC4401NI0033,DC4401NI0034,DC4401NI0035,DC4401NI0036
N92000002,748235,703275,44960,747968,703097,44871,672710,639780,32930,277131,264307,12824,207903,200577,7326,187676,174896,12780,74146,62386,11760,64397,55457,8940,7261,5340,1921,2488,1589,899,1112,931,181,267,178,89
BHSCT,158510,148328,10182,158394,148230,10164,128785,123476,5309,21390,20882,508,47359,46200,1159,60036,56394,3642,29582,24729,4853,25391,21673,3718,3736,2742,994,455,314,141,27,25,2,116,98,18
NHSCT,190168,177914,12254,190148,177900,12248,173642,164191,9451,82653,78464,4189,50414,48043,2371,40575,37684,2891,16228,13465,2763,14603,12366,2237,999,700,299,626,399,227,278,244,34,20,14,6
SEHSCT,144942,136698,8244,144892,136669,8223,131124,124869,6255,57093,54723,2370,41084,39637,1447,32947,30509,2438,13523,11588,1935,12090,10547,1543,995,735,260,438,306,132,245,212,33,50,29,21
SHSCT,138913,131129,7784,138900,131125,7775,131377,124606,6771,64204,60870,3334,38513,37137,1376,28660,26599,2061,7112,6193,919,5905,5307,598,724,576,148,483,310,173,411,326,85,13,4,9
WHSCT,115702,109206,6496,115634,109173,6461,107782,102638,5144,51791,49368,2423,30533,29560,973,25458,23710,1748,7701,6411,1290,6408,5564,844,807,587,220,486,260,226,151,124,27,68,33,35
BELB,129761,120595,9166,129648,120500,9148,103748,99097,4651,13822,13470,352,35839,34960,879,54087,50667,3420,25879,21383,4496,21805,18430,3375,3654,2666,988,420,287,133,21,20,1,113,95,18
NEELB,176510,165010,11500,176492,164998,11494,160494,151729,8765,74760,71009,3751,47406,45149,2257,38328,35571,2757,15771,13072,2699,14240,12041,2199,955,670,285,576,361,215,227,197,30,18,12,6
SEELB,173691,164431,9260,173638,164399,9239,156161,149248,6913,64661,62135,2526,52604,50877,1727,38896,36236,2660,17226,14934,2292,15676,13790,1886,1077,811,266,473,333,140,251,217,34,53,32,21
SELB,152571,144033,8538,152556,144027,8529,144525,137068,7457,72097,68325,3772,41521,40031,1490,30907,28712,2195,7569,6586,983,6268,5632,636,768,606,162,533,348,185,462,373,89,15,6,9
