GeographyCode,DC2252NI0001,DC2252NI0002,DC2252NI0003,DC2252NI0004,DC2252NI0005,DC2252NI0006,DC2252NI0007,DC2252NI0008,DC2252NI0009,DC2252NI0010,DC2252NI0011,DC2252NI0012,DC2252NI0013,DC2252NI0014,DC2252NI0015,DC2252NI0016,DC2252NI0017,DC2252NI0018,DC2252NI0019,DC2252NI0020,DC2252NI0021,DC2252NI0022,DC2252NI0023,DC2252NI0024,DC2252NI0025,DC2252NI0026,DC2252NI0027,DC2252NI0028,DC2252NI0029,DC2252NI0030,DC2252NI0031,DC2252NI0032,DC2252NI0033,DC2252NI0034,DC2252NI0035,DC2252NI0036,DC2252NI0037,DC2252NI0038,DC2252NI0039,DC2252NI0040,DC2252NI0041,DC2252NI0042,DC2252NI0043,DC2252NI0044,DC2252NI0045
N92000002,1810863,817385,875717,16592,101169,341428,156908,162417,1650,20453,1035451,294789,668008,8565,64089,342887,311708,24003,1233,5943,30276,17414,11445,300,1117,4291,1183,2000,398,710,2282,1655,338,104,185,39099,28894,3768,518,5919,15149,4834,3738,3824,2753
BHSCT,348204,151452,164525,5667,26560,53550,22842,25775,450,4483,205376,57173,129282,2356,16565,66902,60257,4402,390,1853,7087,4141,2505,73,368,1161,320,461,149,231,508,309,100,38,61,7547,4946,778,181,1642,6073,1464,1222,2030,1357
NHSCT,463297,155691,276015,3790,27801,94973,32170,56113,486,6204,296145,67031,208721,2211,18182,52910,45636,5864,232,1178,6671,3401,2935,66,269,1051,272,552,74,153,389,260,76,22,31,8268,6035,966,68,1199,2890,886,788,631,585
SEHSCT,346911,107991,207432,3151,28337,55111,18902,30442,307,5460,236957,49356,165625,2009,19967,40363,33392,5509,208,1254,6799,2711,3689,69,330,1074,206,562,92,214,330,190,76,20,44,3814,2422,612,43,737,2463,812,917,403,331
SHSCT,358034,202952,140163,2344,12575,70037,37929,29008,260,2840,174144,62826,103627,1224,6467,89733,84489,4104,208,932,5729,3994,1562,67,106,600,188,282,52,78,541,460,50,7,24,15200,12167,1017,162,1854,2050,899,513,364,274
WHSCT,294417,199299,87582,1640,5896,67757,45065,21079,147,1466,122829,58403,60753,765,2908,92979,87934,4124,195,726,3990,3167,754,25,44,405,197,143,31,34,514,436,36,17,25,4270,3324,395,64,487,1673,773,298,396,206
BELB,280962,136497,118856,4825,20784,45310,21584,19770,388,3568,155913,49940,91738,1851,12384,60408,55186,3320,340,1562,5805,3569,1886,57,293,913,265,333,115,200,430,261,87,28,54,6810,4465,695,169,1481,5373,1227,1027,1877,1242
NEELB,426284,133758,262033,3613,26880,85964,26936,52617,454,5957,277598,58910,198797,2117,17774,45293,38425,5533,215,1120,6132,2982,2822,64,264,993,241,535,69,148,358,231,74,22,31,7186,5209,890,61,1026,2760,824,765,611,560
SEELB,414153,122946,253101,3993,34113,63351,20160,36447,369,6375,286420,56589,203169,2514,24148,46857,38463,6591,258,1545,8081,3283,4308,85,405,1322,261,690,126,245,408,238,89,30,51,4551,2903,695,55,898,3163,1049,1112,556,446
SELB,395047,224885,154145,2521,13496,79046,43163,32504,292,3087,192691,70947,113551,1318,6875,97350,91700,4435,225,990,6268,4413,1675,69,111,658,219,299,57,83,572,489,52,7,24,16282,12993,1093,169,2027,2180,961,536,384,299
WELB,294417,199299,87582,1640,5896,67757,45065,21079,147,1466,122829,58403,60753,765,2908,92979,87934,4124,195,726,3990,3167,754,25,44,405,197,143,31,34,514,436,36,17,25,4270,3324,395,64,487,1673,773,298,396,206
UKN01,280962,136497,118856,4825,20784,45310,21584,19770,388,3568,155913,49940,91738,1851,12384,60408,55186,3320,340,1562,5805,3569,1886,57,293,913,265,333,115,200,430,261,87,28,54,6810,4465,695,169,1481,5373,1227,1027,1877,1242
UKN02,390597,92393,259368,4128,34708,54272,11921,35747,330,6274,282237,44085,210811,2495,24846,37422,29423,6259,282,1458,7144,2646,4017,75,406,1292,228,680,137,247,367,197,92,31,47,4412,2879,684,56,793,3451,1014,1078,722,637
UKN03,438823,156162,251695,3668,27298,84126,30304,47334,456,6032,281082,68326,193018,2258,17480,52743,45588,5673,203,1279,6862,3310,3191,99,262,1055,260,573,73,149,338,228,59,16,35,10020,7232,995,81,1712,2597,914,852,482,349
UKN04,288597,163249,114709,1853,8786,65367,35741,27186,176,2264,138295,50802,81540,923,5030,75322,70457,3923,184,758,3905,2709,1092,29,75,431,144,201,39,47,351,268,38,17,28,3155,2481,322,53,299,1771,647,407,432,285
UKN05,411884,269084,131089,2118,9593,92353,57358,32380,300,2315,177924,81636,90901,1038,4349,116992,111054,4828,224,886,6560,5180,1259,40,81,600,286,213,34,67,796,701,62,12,21,14702,11837,1072,159,1634,1957,1032,374,311,240
95AA,53428,22010,26970,498,3950,9467,3708,4848,40,871,34132,10396,20906,291,2539,6877,6112,574,20,171,876,475,352,7,42,123,46,55,6,16,64,41,14,1,8,1402,1042,97,17,246,487,190,124,116,57
95BB,78078,9904,60054,819,7301,13301,1899,9769,95,1538,58515,5233,47531,573,5178,3725,2007,1444,36,238,1223,249,891,14,69,241,26,149,16,50,38,11,16,6,5,662,375,103,4,180,373,104,151,75,43
95CC,59340,28698,28486,356,1800,12243,5643,6157,47,396,29433,7496,20809,211,917,14395,13391,854,26,124,983,643,308,10,22,104,19,63,3,19,62,50,7,0,5,1850,1341,207,27,275,270,115,81,32,42
95DD,64044,14440,45700,546,3358,14016,2856,10215,112,833,42640,6587,33666,320,2067,4302,3356,797,20,129,823,334,438,12,39,154,31,101,8,14,21,10,9,2,0,1768,1167,349,14,238,320,99,125,58,38
95EE,31224,9928,19687,191,1418,8383,2578,5325,44,436,18792,4023,13785,128,856,3271,2859,347,6,59,323,174,135,0,14,28,2,21,0,5,8,4,4,0,0,350,266,46,0,38,69,22,24,13,10
95FF,48339,15479,29979,361,2520,9473,3024,5835,47,567,31993,7221,22857,229,1686,5249,4373,720,24,132,714,329,350,14,21,105,18,63,10,14,30,22,5,0,3,554,419,59,2,74,221,73,90,35,23
95GG,280962,136497,118856,4825,20784,45310,21584,19770,388,3568,155913,49940,91738,1851,12384,60408,55186,3320,340,1562,5805,3569,1886,57,293,913,265,333,115,200,430,261,87,28,54,6810,4465,695,169,1481,5373,1227,1027,1877,1242
95HH,39114,3738,31005,357,4014,5898,545,4520,29,804,30631,2220,25241,250,2920,1335,569,616,22,128,507,88,383,7,29,132,17,77,11,27,25,10,5,6,4,338,211,70,0,57,248,78,93,32,45
95II,67242,14955,45669,842,5776,8240,1258,6005,62,915,49463,7233,37544,505,4181,6494,5071,1082,50,291,1282,572,619,16,75,248,55,128,34,31,78,48,13,10,7,737,481,83,12,161,700,237,195,153,115
95JJ,59067,16552,38560,541,3414,12508,3396,8241,62,809,38407,7545,28424,299,2139,5470,4215,1028,47,180,867,329,501,10,27,172,34,100,18,20,53,26,16,6,5,1114,879,100,15,120,476,128,150,84,114
95KK,37013,21933,13982,177,921,9009,5234,3496,32,247,18547,8121,9924,94,408,7617,7211,331,17,58,539,419,113,2,5,58,31,17,5,5,31,29,2,0,0,1082,826,76,7,173,130,62,23,20,25
95LL,93023,42735,44686,851,4751,17255,7935,8171,75,1074,52310,15006,34368,484,2452,16496,15103,1058,54,281,1355,768,527,31,29,198,48,103,25,22,77,63,6,3,5,4652,3560,270,41,781,680,252,183,138,107
95MM,107877,80729,24105,823,2220,20685,15332,4846,29,478,38114,19249,17384,374,1107,45323,43504,1335,94,390,1582,1321,231,10,20,127,55,50,16,6,195,165,11,5,14,994,793,92,22,87,857,310,156,273,118
