GeographyCode,DC2108NI0001,DC2108NI0002,DC2108NI0003,DC2108NI0004,DC2108NI0005,DC2108NI0006,DC2108NI0007,DC2108NI0008,DC2108NI0009,DC2108NI0010,DC2108NI0011,DC2108NI0012,DC2108NI0013,DC2108NI0014,DC2108NI0015,DC2108NI0016,DC2108NI0017,DC2108NI0018,DC2108NI0019,DC2108NI0020,DC2108NI0021,DC2108NI0022,DC2108NI0023,DC2108NI0024,DC2108NI0025,DC2108NI0026,DC2108NI0027,DC2108NI0028,DC2108NI0029,DC2108NI0030,DC2108NI0031,DC2108NI0032,DC2108NI0033,DC2108NI0034,DC2108NI0035,DC2108NI0036,DC2108NI0037,DC2108NI0038,DC2108NI0039,DC2108NI0040,DC2108NI0041,DC2108NI0042,DC2108NI0043,DC2108NI0044,DC2108NI0045,DC2108NI0046,DC2108NI0047,DC2108NI0048,DC2108NI0049,DC2108NI0050,DC2108NI0051,DC2108NI0052,DC2108NI0053,DC2108NI0054,DC2108NI0055,DC2108NI0056,DC2108NI0057,DC2108NI0058,DC2108NI0059,DC2108NI0060,DC2108NI0061,DC2108NI0062,DC2108NI0063,DC2108NI0064,DC2108NI0065,DC2108NI0066,DC2108NI0067,DC2108NI0068,DC2108NI0069,DC2108NI0070,DC2108NI0071,DC2108NI0072,DC2108NI0073,DC2108NI0074,DC2108NI0075,DC2108NI0076,DC2108NI0077,DC2108NI0078,DC2108NI0079,DC2108NI0080,DC2108NI0081,DC2108NI0082,DC2108NI0083,DC2108NI0084,DC2108NI0085,DC2108NI0086,DC2108NI0087,DC2108NI0088,DC2108NI0089,DC2108NI0090
N92000002,1409368,1235631,55167,13782,2259,34555,8215,29766,29993,750247,645736,33409,8510,1452,20663,4313,17416,18748,662810,577489,28428,7162,1246,18527,2952,10575,16431,87437,68247,4981,1348,206,2136,1361,6841,2317,659121,589895,21758,5272,807,13892,3902,12350,11245,443578,402052,13064,2592,388,6834,2796,8587,7265,15152,11217,585,126,39,511,137,1379,1158,48233,42488,2119,602,87,1195,301,593,848,63601,55148,3213,906,136,1265,439,1421,1073,88557,78990,2777,1046,157,4087,229,370,901
BHSCT,277668,241007,9476,2578,427,5803,2107,5736,10534,123308,104095,4706,1385,234,2670,916,3110,6192,103016,88414,3634,1058,187,2082,554,1770,5317,20292,15681,1072,327,47,588,362,1340,875,154360,136912,4770,1193,193,3133,1191,2626,4342,104900,92863,3217,685,111,2120,954,1981,2969,3068,2123,110,30,8,88,39,216,454,12224,11033,405,123,18,146,72,120,307,14570,12923,562,179,22,187,80,259,358,19598,17970,476,176,34,592,46,50,254
NHSCT,360672,323639,13764,3909,594,4426,1741,6618,5981,204341,180837,8852,2469,401,2797,1003,4043,3939,182300,162981,7593,2138,342,2515,738,2486,3507,22041,17856,1259,331,59,282,265,1557,432,156331,142802,4912,1440,193,1629,738,2575,2042,103463,95727,2781,658,85,723,492,1768,1229,3713,2917,149,25,11,54,22,338,197,10993,9806,499,175,20,122,80,108,183,15755,13971,760,250,43,132,94,292,213,22407,20381,723,332,34,598,50,69,220
SEHSCT,270942,239262,13545,3211,626,4379,1590,2808,5521,157144,136323,9006,2185,440,2811,941,1651,3787,139192,121580,7765,1832,391,2533,704,1010,3377,17952,14743,1241,353,49,278,237,641,410,113798,102939,4539,1026,186,1568,649,1157,1734,73120,67212,2474,483,75,620,438,818,1000,2494,2004,121,28,13,58,19,115,136,8414,7455,446,97,19,130,56,51,160,12937,11285,797,179,39,168,86,139,244,16833,14983,701,239,40,592,50,34,194
SHSCT,274244,235961,9575,1849,351,8356,1900,11282,4970,150898,127792,5862,1188,216,5338,1010,6559,2933,135048,116655,5110,1016,185,4912,648,3984,2538,15850,11137,752,172,31,426,362,2575,395,123346,108169,3713,661,135,3018,890,4723,2037,84561,75562,2176,337,64,1331,585,3144,1362,3163,2067,108,19,6,121,37,544,261,8299,7043,401,60,16,313,73,265,128,11020,9095,557,128,23,326,139,594,158,16303,14402,471,117,26,927,56,176,128
WHSCT,225842,195762,8807,2235,261,11591,877,3322,2987,114556,96689,4983,1283,161,7047,443,2053,1897,103254,87859,4326,1118,141,6485,308,1325,1692,11302,8830,657,165,20,562,135,728,205,111286,99073,3824,952,100,4544,434,1269,1090,77534,70688,2416,429,53,2040,327,876,705,2714,2106,97,24,1,190,20,166,110,8303,7151,368,147,14,484,20,49,70,9319,7874,537,170,9,452,40,137,100,13416,11254,406,182,23,1378,27,41,105
BELB,224006,193216,7596,2006,328,4926,1811,5246,8877,92136,76895,3495,1005,160,2089,740,2766,4986,75410,64149,2629,727,121,1590,431,1555,4208,16726,12746,866,278,39,499,309,1211,778,131870,116321,4101,1001,168,2837,1071,2480,3891,90726,79708,2874,610,98,1989,870,1876,2701,2602,1757,93,22,7,77,36,201,409,10773,9738,339,104,17,137,63,111,264,12050,10651,449,145,20,166,66,244,309,15719,14467,346,120,26,468,36,48,208
NEELB,332245,297934,12947,3735,565,4044,1511,5862,5647,188793,166895,8361,2361,385,2559,868,3604,3760,168102,150018,7171,2047,327,2298,659,2229,3353,20691,16877,1190,314,58,261,209,1375,407,143452,131039,4586,1374,180,1485,643,2258,1887,94315,87265,2575,630,79,667,424,1545,1130,3356,2641,137,24,10,44,15,303,182,10213,9118,461,159,18,112,73,97,175,14777,13131,714,243,41,119,84,258,187,20791,18884,699,318,32,543,47,55,213
SEELB,324604,287053,15425,3783,725,5256,1886,3298,7178,188316,163523,10217,2565,514,3392,1117,1995,4993,166798,145845,8770,2163,457,3025,827,1225,4486,21518,17678,1447,402,57,367,290,770,507,136288,123530,5208,1218,211,1864,769,1303,2185,87294,80367,2817,558,88,751,522,923,1268,2960,2370,138,36,14,69,22,130,181,9865,8750,512,116,20,139,65,60,203,15457,13557,910,213,41,189,100,154,293,20712,18486,831,295,48,716,60,36,240
SELB,302671,261666,10392,2023,380,8738,2130,12038,5304,166446,141734,6353,1296,232,5576,1145,6998,3112,149246,129618,5532,1107,200,5129,727,4241,2692,17200,12116,821,189,32,447,418,2757,420,136225,119932,4039,727,148,3162,985,5040,2192,93709,84024,2382,365,70,1387,653,3367,1461,3520,2343,120,20,7,131,44,579,276,9079,7731,439,76,18,323,80,276,136,11998,9935,603,135,25,339,149,628,184,17919,15899,495,131,28,982,59,190,135
