GeographyCode,DC2420NI0001,DC2420NI0002,DC2420NI0003,DC2420NI0004,DC2420NI0005,DC2420NI0006,DC2420NI0007,DC2420NI0008,DC2420NI0009,DC2420NI0010,DC2420NI0011,DC2420NI0012,DC2420NI0013,DC2420NI0014,DC2420NI0015,DC2420NI0016,DC2420NI0017,DC2420NI0018,DC2420NI0019,DC2420NI0020,DC2420NI0021,DC2420NI0022,DC2420NI0023,DC2420NI0024,DC2420NI0025,DC2420NI0026,DC2420NI0027,DC2420NI0028,DC2420NI0029,DC2420NI0030,DC2420NI0031,DC2420NI0032,DC2420NI0033,DC2420NI0034,DC2420NI0035,DC2420NI0036,DC2420NI0037,DC2420NI0038,DC2420NI0039,DC2420NI0040,DC2420NI0041,DC2420NI0042,DC2420NI0043,DC2420NI0044,DC2420NI0045,DC2420NI0046,DC2420NI0047,DC2420NI0048,DC2420NI0049,DC2420NI0050,DC2420NI0051,DC2420NI0052,DC2420NI0053,DC2420NI0054,DC2420NI0055,DC2420NI0056,DC2420NI0057,DC2420NI0058,DC2420NI0059,DC2420NI0060,DC2420NI0061,DC2420NI0062,DC2420NI0063,DC2420NI0064,DC2420NI0065,DC2420NI0066,DC2420NI0067,DC2420NI0068,DC2420NI0069,DC2420NI0070
N92000002,703275,263153,312808,145109,104505,23132,40062,5925,70600,50789,196414,64591,90401,42295,31388,7250,9468,1692,18293,21437,212286,71816,103304,48093,34469,7780,12962,1675,22364,13127,117920,46618,50442,23327,16799,3624,6692,1117,12892,6851,103137,42251,43785,20167,14073,3042,6503,870,11271,4960,73518,37877,24876,11227,7776,1436,4437,571,5780,4414,2.54,2.76,2.42,2.41,2.38,2.31,2.64,2.53,2.52,2.23
BHSCT,148328,50967,62030,26727,20617,6664,8022,1997,20090,13244,50611,14970,22746,9913,7953,2443,2437,579,6248,6068,45387,14885,20169,8677,6655,2219,2618,510,6437,3386,23640,9012,9113,3898,3014,952,1249,444,3382,1689,17941,6954,6772,2887,2060,745,1080,313,2769,1133,10749,5146,3230,1352,935,305,638,151,1254,968,2.31,2.50,2.17,2.16,2.11,2.15,2.39,2.51,2.34,2.11
NHSCT,177914,48294,98398,52927,26943,5993,12535,1359,18401,11462,46858,10672,26693,14758,7470,1734,2731,409,4330,4754,55248,12978,33031,17750,9095,2055,4131,399,5797,3043,30174,8418,16385,8675,4535,1003,2172,221,3605,1545,27012,8284,14237,7548,3757,845,2087,199,3063,1229,18622,7942,8052,4196,2086,356,1414,131,1606,891,2.57,2.87,2.46,2.43,2.43,2.36,2.68,2.47,2.58,2.22
SEHSCT,136698,34368,73335,35184,23144,5438,9569,1167,19024,8804,36574,7746,20439,9860,6807,1616,2156,353,4372,3664,44255,9626,25597,12293,8153,1942,3209,361,6290,2381,23269,6590,11788,5734,3654,828,1572,176,3518,1197,20450,5783,10423,4926,3126,719,1652,150,3219,875,12150,4623,5088,2371,1404,333,980,127,1625,687,2.50,2.77,2.40,2.39,2.33,2.32,2.63,2.48,2.58,2.21
SHSCT,131129,64273,48215,18443,19436,3047,7289,823,8143,9675,32965,14701,12367,4563,5314,885,1605,214,1916,3767,37040,16928,15050,5763,6160,944,2183,241,2380,2441,22440,11275,8057,3041,3265,509,1242,150,1548,1410,20828,10673,7565,2945,2905,462,1253,116,1464,1010,17856,10696,5176,2131,1792,247,1006,102,835,1047,2.71,2.86,2.59,2.63,2.50,2.45,2.78,2.69,2.67,2.37
WHSCT,109206,65251,30830,11828,14365,1990,2647,579,4942,7604,29406,16502,8156,3201,3844,572,539,137,1427,3184,30356,17399,9457,3610,4406,620,821,164,1460,1876,18397,11323,5099,1979,2331,332,457,126,839,1010,16906,10557,4788,1861,2225,271,431,92,756,713,14141,9470,3330,1177,1559,195,399,60,460,821,2.66,2.75,2.58,2.55,2.58,2.49,2.85,2.66,2.51,2.31
BELB,120595,46467,45058,19193,15507,4760,5598,1695,15816,11559,42401,13984,17398,7513,6241,1831,1813,505,5173,5341,36385,13627,14304,6098,4873,1557,1776,411,5127,2916,19166,8146,6575,2792,2230,661,892,386,2599,1460,13886,6142,4506,1861,1441,506,698,271,1984,983,8757,4568,2275,929,722,205,419,122,933,859,2.29,2.48,2.13,2.11,2.09,2.11,2.34,2.50,2.29,2.11
NEELB,165010,41682,93598,50993,24898,5810,11897,1304,17832,10594,43835,9285,25541,14280,6974,1678,2609,395,4210,4404,51762,11393,31532,17153,8470,1994,3915,381,5617,2839,28079,7344,15594,8352,4178,982,2082,215,3512,1414,24874,7113,13461,7243,3424,820,1974,196,2960,1144,16460,6547,7470,3965,1852,336,1317,117,1533,793,2.55,2.85,2.45,2.43,2.41,2.35,2.67,2.46,2.58,2.20
SEELB,164431,38868,90307,42718,28254,7342,11993,1469,23298,10489,44784,8732,25787,12260,8519,2228,2780,427,5447,4391,53257,10884,31462,14872,9935,2604,4051,460,7600,2851,27743,7456,14326,6840,4438,1119,1929,234,4301,1426,24505,6595,12689,5952,3745,958,2034,192,4004,1025,14142,5201,6043,2794,1617,433,1199,156,1946,796,2.49,2.77,2.38,2.37,2.31,2.31,2.61,2.50,2.57,2.19
SELB,144033,70885,53015,20377,21481,3230,7927,878,8712,10543,35988,16088,13519,5041,5810,941,1727,228,2036,4117,40526,18513,16549,6360,6785,1005,2399,259,2560,2645,24535,12349,8848,3364,3622,530,1332,156,1641,1541,22966,11844,8341,3250,3238,487,1366,119,1567,1095,20018,12091,5758,2362,2026,267,1103,116,908,1145,2.72,2.88,2.60,2.63,2.52,2.45,2.79,2.69,2.67,2.37
WELB,109206,65251,30830,11828,14365,1990,2647,579,4942,7604,29406,16502,8156,3201,3844,572,539,137,1427,3184,30356,17399,9457,3610,4406,620,821,164,1460,1876,18397,11323,5099,1979,2331,332,457,126,839,1010,16906,10557,4788,1861,2225,271,431,92,756,713,14141,9470,3330,1177,1559,195,399,60,460,821,2.66,2.75,2.58,2.55,2.58,2.49,2.85,2.66,2.51,2.31
UKN01,120595,46467,45058,19193,15507,4760,5598,1695,15816,11559,42401,13984,17398,7513,6241,1831,1813,505,5173,5341,36385,13627,14304,6098,4873,1557,1776,411,5127,2916,19166,8146,6575,2792,2230,661,892,386,2599,1460,13886,6142,4506,1861,1441,506,698,271,1984,983,8757,4568,2275,929,722,205,419,122,933,859,2.29,2.48,2.13,2.11,2.09,2.11,2.34,2.50,2.29,2.11
UKN02,156882,28442,93220,42348,29023,9371,12478,1508,23688,10024,43525,6014,27276,12693,8833,2825,2925,462,5646,4127,51209,8169,32205,14657,10127,3256,4165,441,7651,2743,26741,5658,14878,6743,4564,1510,2061,243,4548,1414,23182,5002,12954,5699,3865,1256,2134,209,3983,1034,12225,3599,5907,2556,1634,524,1193,153,1860,706,2.45,2.77,2.35,2.33,2.30,2.31,2.60,2.48,2.55,2.19
