GeographyCode,DC4305NI0001,DC4305NI0002,DC4305NI0003,DC4305NI0004,DC4305NI0005,DC4305NI0006,DC4305NI0007,DC4305NI0008,DC4305NI0009,DC4305NI0010,DC4305NI0011,DC4305NI0012,DC4305NI0013,DC4305NI0014,DC4305NI0015,DC4305NI0016,DC4305NI0017,DC4305NI0018,DC4305NI0019,DC4305NI0020,DC4305NI0021,DC4305NI0022,DC4305NI0023,DC4305NI0024,DC4305NI0025,DC4305NI0026,DC4305NI0027,DC4305NI0028
N92000002,1788339,118758,94605,3753,7511,2851,1589915,203339,21831,39478,1531,2983,1091,146863,156617,10278,13122,505,1398,472,134361,1428383,86649,42005,1717,3130,1288,1308691
BHSCT,342643,15225,23217,1049,2092,657,307250,46025,4387,10528,407,877,291,32151,30981,1775,3199,127,378,127,26260,265637,9063,9490,515,837,239,248839
NHSCT,457038,29086,22806,866,1581,673,408449,47155,4807,9323,363,608,226,34147,40202,2472,3302,118,285,105,34693,369681,21807,10181,385,688,342,339609
SEHSCT,342197,19809,16570,579,1148,526,308649,34905,4027,7003,264,446,214,24850,30658,1877,2437,76,240,91,26570,276634,13905,7130,239,462,221,257229
SHSCT,355580,29963,17208,659,1497,605,311381,39170,4357,6714,256,582,203,28908,28942,2112,2276,85,262,92,24746,287468,23494,8218,318,653,310,257727
WHSCT,290881,24675,14804,600,1193,390,254186,36084,4253,5910,241,470,157,26807,25834,2042,1908,99,233,57,22092,228963,18380,6986,260,490,176,205287
BELB,276141,13259,19850,930,1830,554,245797,39149,3806,8954,353,763,252,27295,24978,1545,2664,117,319,106,21014,212014,7908,8232,460,748,196,197488
NEELB,420327,25509,20549,791,1474,624,377181,42752,4311,8453,333,575,216,31001,37058,2225,3028,111,266,101,32042,340517,18973,9068,347,633,307,314138
SEELB,408699,21775,19937,698,1410,629,370102,41781,4608,8577,318,560,253,29706,36661,2107,2972,86,299,112,31816,330257,15060,8388,294,551,264,308580
SELB,392291,33540,19465,734,1604,654,342649,43573,4853,7584,286,615,213,32054,32086,2359,2550,92,281,96,27397,316632,26328,9331,356,708,345,283198
WELB,290881,24675,14804,600,1193,390,254186,36084,4253,5910,241,470,157,26807,25834,2042,1908,99,233,57,22092,228963,18380,6986,260,490,176,205287
UKN01,276141,13259,19850,930,1830,554,245797,39149,3806,8954,353,763,252,27295,24978,1545,2664,117,319,106,21014,212014,7908,8232,460,748,196,197488
UKN02,384428,16481,19126,674,1414,553,351321,38817,4032,8497,323,604,227,27307,33940,1642,2867,79,273,106,29590,311671,10807,7762,272,537,220,294424
UKN03,434612,28556,21006,727,1461,714,388424,46071,4805,8762,289,566,235,33598,38346,2400,3025,104,295,118,33197,350195,21351,9219,334,600,361,321629
UKN04,284667,19573,15291,567,1192,382,252186,34796,3780,6203,236,468,154,25633,25351,1791,1995,93,230,58,21759,224520,14002,7093,238,494,170,204794
UKN05,408491,40889,19332,855,1614,648,352187,44506,5408,7062,330,582,223,33030,34002,2900,2571,112,281,84,28801,329983,32581,9699,413,751,341,290356
