GeographyCode,DC3401NI0001,DC3401NI0002,DC3401NI0003,DC3401NI0004,DC3401NI0005,DC3401NI0006,DC3401NI0007,DC3401NI0008,DC3401NI0009,DC3401NI0010,DC3401NI0011,DC3401NI0012,DC3401NI0013,DC3401NI0014,DC3401NI0015,DC3401NI0016,DC3401NI0017,DC3401NI0018,DC3401NI0019,DC3401NI0020,DC3401NI0021,DC3401NI0022,DC3401NI0023,DC3401NI0024,DC3401NI0025,DC3401NI0026,DC3401NI0027,DC3401NI0028,DC3401NI0029,DC3401NI0030,DC3401NI0031,DC3401NI0032,DC3401NI0033,DC3401NI0034,DC3401NI0035,DC3401NI0036,DC3401NI0037,DC3401NI0038,DC3401NI0039,DC3401NI0040,DC3401NI0041,DC3401NI0042,DC3401NI0043,DC3401NI0044,DC3401NI0045,DC3401NI0046,DC3401NI0047,DC3401NI0048,DC3401NI0049,DC3401NI0050,DC3401NI0051,DC3401NI0052
95GG,276141,152027,65488,58626,14774,8806,4251,1717,5351,2718,1920,713,4807,1933,2105,769,36049,18187,13556,4306,7011,2653,3095,1263,21391,7924,9383,4084,32136,16208,11823,4105,29196,13903,10448,4845,6411,2576,2905,930,19559,10945,6182,2432,15485,8195,4860,2430,182567,103279,35289,43999
95HH,38785,29969,4010,4806,2289,1695,378,216,613,382,157,74,526,290,154,82,4447,2968,980,499,797,438,221,138,2134,1231,517,386,4239,2935,813,491,3654,2524,656,474,619,328,191,100,2870,2100,500,270,2067,1479,323,265,25945,20781,1881,3283
95II,66502,52363,7334,6805,3934,3059,593,282,1110,780,225,105,786,493,208,85,7322,5097,1634,591,1251,747,338,166,3350,1958,976,416,6629,4673,1402,554,5850,4080,1180,590,974,594,284,96,4731,3576,813,342,3582,2645,602,335,45281,36708,3687,4886
95JJ,57761,40116,6627,11018,3133,2357,403,373,856,558,156,142,732,392,157,183,5761,3684,1205,872,1084,553,245,286,2783,1406,700,677,5477,3538,1100,839,4588,2748,918,922,811,461,192,158,3778,2675,606,497,2892,2004,446,442,39902,28235,3649,8018
95KK,36711,28715,2200,5796,1562,1279,118,165,506,394,53,59,535,367,67,101,4115,3075,454,586,735,486,108,141,2289,1469,359,461,3719,2805,383,531,3065,2189,349,527,581,393,84,104,2129,1697,176,256,1725,1320,133,272,25704,20412,1135,4157
95LL,92513,65735,9465,17313,4358,3096,671,591,1385,872,277,236,1297,705,312,280,10485,6625,2075,1785,1793,894,437,462,5310,2753,1239,1318,9610,6136,1769,1705,7957,5031,1401,1525,1502,800,380,322,5701,4061,892,748,4688,3172,667,849,64186,46936,4959,12291
95MM,106500,67455,21450,17595,4750,3019,1140,591,1722,973,514,235,1665,781,569,315,12992,7206,3953,1833,2560,1168,872,520,7932,3335,2873,1724,11316,6382,3259,1675,10565,5693,3150,1722,2094,997,723,374,6765,4123,1709,933,5982,3591,1493,898,71987,47575,12352,12060
95NN,68714,52207,5502,11005,3321,2522,361,438,1024,702,151,171,991,598,174,219,7332,5062,1070,1200,1772,1014,347,411,3564,1921,713,930,6437,4441,871,1125,5915,4005,877,1033,987,569,198,220,4355,3284,526,545,3632,2659,413,560,47290,36955,2830,7505
95OO,57462,41857,4535,11070,2351,1806,218,327,860,613,109,138,816,543,128,145,5749,4073,840,836,1043,674,185,184,3044,1831,635,578,5108,3650,699,759,4227,2926,576,725,832,518,172,142,3165,2403,358,404,2656,1881,326,449,41739,30492,2629,8618
95PP,61064,47282,4376,9406,3097,2477,247,373,1030,727,137,166,907,612,138,157,6112,4347,854,911,1357,848,246,263,2881,1644,614,623,5572,4006,719,847,4668,3224,677,767,888,553,181,154,3705,2836,389,480,2887,2136,294,457,43079,34023,2310,6746
95QQ,31914,24589,2588,4737,1826,1360,217,249,538,375,90,73,410,248,78,84,3464,2291,594,579,617,354,121,142,1478,812,301,365,3326,2238,547,541,2910,1950,444,516,459,275,90,94,2338,1684,324,330,1752,1261,219,272,21526,17219,1249,3058
95RR,32850,24394,3297,5159,1527,1168,184,175,451,306,80,65,458,273,97,88,3478,2354,659,465,645,401,129,115,1824,989,423,412,3207,2162,581,464,2662,1747,481,434,479,262,114,103,2107,1502,318,287,1642,1169,222,251,22919,17544,1736,3639
95SS,118525,88206,17811,12508,5609,4246,916,447,1570,1003,409,158,1624,897,536,191,11838,7672,3147,1019,2596,1438,861,297,6039,3185,2143,711,11131,7358,2756,1017,10034,6516,2471,1047,1717,888,613,216,7359,5328,1430,601,6163,4396,1233,534,83045,63610,10278,9157
95TT,44822,35395,2870,6557,1856,1451,167,238,594,436,76,82,585,397,77,111,4103,2987,525,591,836,546,135,155,2027,1196,368,463,3738,2735,447,556,3439,2460,471,508,587,395,87,105,2425,1883,254,288,2147,1633,215,299,32420,26145,1531,4744
95UU,16907,12260,1882,2765,907,675,113,119,290,205,54,31,255,160,54,41,1889,1236,340,313,328,183,82,63,815,419,212,184,1740,1150,309,281,1402,919,256,227,267,168,46,53,1144,820,164,160,846,584,131,131,11630,8659,1042,1929
95VV,98922,74184,8005,16733,4051,3050,466,535,1574,1097,241,236,1485,902,301,282,10230,7232,1491,1507,2061,1255,398,408,5147,2920,1077,1150,8866,6268,1243,1355,7690,5386,1083,1221,1555,986,276,293,5392,4058,653,681,4772,3478,551,743,70910,54127,4482,12301
95WW,83141,65065,8373,9703,4530,3532,622,376,1356,938,294,124,1032,653,235,144,8935,6210,1862,863,1478,888,342,248,4192,2409,1083,700,8234,5806,1586,842,7502,5275,1352,875,1159,707,306,146,5797,4326,963,508,4454,3339,634,481,57150,45914,4382,6854
95XX,77475,60774,6131,10570,4748,3748,556,444,1229,869,237,123,885,553,192,140,7993,5590,1515,888,1314,733,328,253,3434,1988,794,652,7379,5252,1276,851,6171,4412,952,807,1129,709,285,135,5281,4090,704,487,3947,3022,509,416,53521,42862,2948,7711
95YY,50872,38708,3665,8499,2385,1839,206,340,773,528,114,131,744,432,132,180,5688,3841,768,1079,1100,587,216,297,3138,1651,609,878,4936,3365,656,915,3871,2602,507,762,863,482,176,205,3014,2194,362,458,2571,1804,286,481,35548,27975,1861,5712
95ZZ,39595,28359,5013,6223,1942,1406,276,260,742,481,149,112,697,423,151,123,5127,3377,997,753,926,504,239,183,2812,1495,684,633,4504,2972,835,697,3660,2283,725,652,716,432,159,125,2570,1765,447,358,2107,1446,337,324,26353,19587,2722,4044
