GeographyCode,DC2211NI0001,DC2211NI0002,DC2211NI0003,DC2211NI0004,DC2211NI0005,DC2211NI0006,DC2211NI0007,DC2211NI0008,DC2211NI0009,DC2211NI0010,DC2211NI0011,DC2211NI0012,DC2211NI0013,DC2211NI0014,DC2211NI0015,DC2211NI0016,DC2211NI0017,DC2211NI0018,DC2211NI0019,DC2211NI0020,DC2211NI0021,DC2211NI0022,DC2211NI0023,DC2211NI0024,DC2211NI0025,DC2211NI0026,DC2211NI0027,DC2211NI0028,DC2211NI0029,DC2211NI0030,DC2211NI0031,DC2211NI0032,DC2211NI0033,DC2211NI0034,DC2211NI0035,DC2211NI0036,DC2211NI0037,DC2211NI0038,DC2211NI0039,DC2211NI0040,DC2211NI0041,DC2211NI0042,DC2211NI0043,DC2211NI0044,DC2211NI0045,DC2211NI0046,DC2211NI0047,DC2211NI0048,DC2211NI0049,DC2211NI0050,DC2211NI0051,DC2211NI0052,DC2211NI0053,DC2211NI0054,DC2211NI0055,DC2211NI0056,DC2211NI0057,DC2211NI0058,DC2211NI0059,DC2211NI0060,DC2211NI0061,DC2211NI0062,DC2211NI0063,DC2211NI0064,DC2211NI0065,DC2211NI0066,DC2211NI0067,DC2211NI0068,DC2211NI0069,DC2211NI0070,DC2211NI0071,DC2211NI0072,DC2211NI0073,DC2211NI0074,DC2211NI0075,DC2211NI0076,DC2211NI0077,DC2211NI0078,DC2211NI0079,DC2211NI0080,DC2211NI0081,DC2211NI0082,DC2211NI0083,DC2211NI0084,DC2211NI0085,DC2211NI0086,DC2211NI0087,DC2211NI0088,DC2211NI0089,DC2211NI0090,DC2211NI0091,DC2211NI0092,DC2211NI0093,DC2211NI0094,DC2211NI0095,DC2211NI0096,DC2211NI0097,DC2211NI0098,DC2211NI0099,DC2211NI0100,DC2211NI0101,DC2211NI0102,DC2211NI0103,DC2211NI0104
N92000002,1735711,92040,10265,7801,16373,13725,140204,1595507,844317,64140,7207,5680,10670,9554,97251,747066,489232,12110,1046,826,2149,1994,18125,471107,509247,29835,3529,2969,5157,5062,46552,462695,17711,586,42,36,127,105,896,16815,9260,1109,147,142,437,288,2123,7137,1734,73,6,8,22,12,121,1613,6478,167,17,8,43,36,271,6207,31924,763,213,65,262,91,1394,30530,18158,501,134,45,165,55,900,17258,6536,88,37,7,57,19,208,6328,7230,174,42,13,40,17,286,6944,19780,585,102,85,342,201,1315,18465
BHSCT,334560,12503,935,632,2397,2304,18771,315789,159958,7846,556,372,1441,1400,11615,148343,102795,2356,164,141,406,499,3566,99229,92461,4319,319,277,677,921,6513,85948,3049,71,6,2,22,21,122,2927,1818,226,19,28,83,74,430,1388,337,12,0,1,9,2,24,313,1673,47,3,0,9,11,70,1603,5849,207,40,15,54,19,335,5514,4150,154,31,13,38,14,250,3900,293,10,3,0,2,0,15,278,1406,43,6,2,14,5,70,1336,7631,191,30,12,81,64,378,7253
NHSCT,444578,39636,6026,4434,7118,5264,62478,382100,263187,29038,4471,3382,5157,3934,45982,217205,81693,3788,456,308,614,513,5679,76014,135217,12727,2078,1655,2328,1897,20685,114532,4497,238,23,19,48,30,358,4139,2602,362,58,51,159,92,722,1880,435,21,2,3,5,3,34,401,1080,38,5,0,4,1,48,1032,7101,228,51,15,71,27,392,6709,4168,131,40,11,53,17,252,3916,789,7,1,2,6,5,21,768,2144,90,10,2,12,5,119,2025,3884,185,39,32,139,75,470,3414
SEHSCT,333088,18498,1524,1317,2695,2760,26794,306294,200948,13573,1080,961,1856,1999,19469,181479,62086,1977,157,141,248,366,2889,59197,104183,6430,567,571,902,1099,9569,94614,4778,142,5,6,21,36,210,4568,2216,277,36,29,88,67,497,1719,466,17,2,2,1,3,25,441,802,18,0,0,3,5,26,776,2801,87,23,5,25,9,149,2652,1502,60,14,2,9,3,88,1414,590,12,4,0,14,3,33,557,709,15,5,3,2,3,28,681,3263,99,18,13,53,24,207,3056
SHSCT,341383,11698,911,802,2275,1915,17601,323782,133055,7979,586,556,1291,1300,11712,121343,119510,1719,114,122,407,287,2649,116861,96381,3485,276,274,645,653,5333,91048,2777,66,5,3,25,12,111,2666,1281,133,15,18,56,29,251,1030,278,14,2,1,6,2,25,253,2291,46,7,7,27,16,103,2188,12572,202,73,20,82,23,400,12172,6185,125,32,9,45,10,221,5964,4314,57,21,5,29,10,122,4192,2073,20,20,6,8,3,57,2016,2902,74,8,14,27,18,141,2761
WHSCT,282102,9705,869,616,1888,1482,14560,267542,87169,5704,514,409,925,921,8473,78696,123148,2270,155,114,474,329,3342,119806,81005,2874,289,192,605,492,4452,76553,2610,69,3,6,11,6,95,2515,1343,111,19,16,51,26,223,1120,218,9,0,1,1,2,13,205,632,18,2,1,0,3,24,608,3601,39,26,10,30,13,118,3483,2153,31,17,10,20,11,89,2064,550,2,8,0,6,1,17,533,898,6,1,0,4,1,12,886,2100,36,7,14,42,20,119,1981
BELB,269804,9272,739,499,1918,1753,14181,255623,116881,5473,423,280,1095,1015,8286,108595,93453,1990,146,122,367,421,3046,90407,72323,3228,253,224,531,684,4920,67403,2487,56,6,0,18,19,99,2388,1454,171,13,23,76,58,341,1113,272,8,0,0,8,2,18,254,1493,42,3,0,7,11,63,1430,5327,185,37,14,49,16,301,5026,3771,136,29,12,34,13,224,3547,248,10,3,0,1,0,14,234,1308,39,5,2,14,3,63,1245,6676,156,28,12,65,52,313,6363
NEELB,409258,38103,5913,4330,6863,5026,60235,349023,249913,27986,4412,3304,5008,3760,44470,205443,69911,3562,437,290,575,483,5347,64564,123914,12307,2039,1624,2234,1815,20019,103895,4215,220,23,19,42,30,334,3881,2471,350,55,51,153,91,700,1771,420,19,2,3,5,3,32,388,809,35,2,0,3,1,41,768,6319,220,47,15,68,25,375,5944,3922,128,37,11,52,16,244,3678,661,5,1,2,5,5,18,643,1736,87,9,2,11,4,113,1623,3665,173,38,31,129,70,441,3224
SEELB,397844,21729,1720,1450,3174,3311,31384,366460,244025,15946,1213,1053,2202,2384,22798,221227,71428,2343,175,160,287,444,3409,68019,124321,7521,633,624,1048,1336,11162,113159,5340,157,5,8,25,38,233,5107,2580,332,42,34,95,83,586,1994,531,21,2,3,2,3,31,500,982,23,0,0,5,5,33,949,3323,109,26,6,30,12,183,3140,1881,78,16,3,13,4,114,1767,635,12,4,0,15,3,34,601,807,19,6,3,2,5,35,772,4218,134,20,13,69,36,272,3946
SELB,376703,13231,1024,906,2530,2153,19844,356859,146329,9031,645,634,1440,1474,13224,133105,131292,1945,133,140,446,317,2981,128311,107684,3905,315,305,739,735,5999,101685,3059,84,5,3,31,12,135,2924,1412,145,18,18,62,30,273,1139,293,16,2,1,6,2,27,266,2562,49,10,7,28,16,110,2452,13354,210,77,20,85,25,417,12937,6431,128,35,9,46,11,229,6202,4442,59,21,5,30,10,125,4317,2481,23,21,6,9,4,63,2418,3121,86,9,15,37,23,170,2951
