GeographyCode,DC6116NI0001,DC6116NI0002,DC6116NI0003,DC6116NI0004,DC6116NI0005,DC6116NI0006,DC6116NI0007,DC6116NI0008,DC6116NI0009,DC6116NI0010,DC6116NI0011,DC6116NI0012,DC6116NI0013,DC6116NI0014,DC6116NI0015,DC6116NI0016,DC6116NI0017,DC6116NI0018,DC6116NI0019,DC6116NI0020,DC6116NI0021,DC6116NI0022,DC6116NI0023,DC6116NI0024,DC6116NI0025,DC6116NI0026,DC6116NI0027,DC6116NI0028,DC6116NI0029,DC6116NI0030,DC6116NI0031,DC6116NI0032,DC6116NI0033,DC6116NI0034,DC6116NI0035,DC6116NI0036,DC6116NI0037,DC6116NI0038,DC6116NI0039,DC6116NI0040,DC6116NI0041,DC6116NI0042,DC6116NI0043,DC6116NI0044,DC6116NI0045,DC6116NI0046,DC6116NI0047,DC6116NI0048,DC6116NI0049,DC6116NI0050,DC6116NI0051,DC6116NI0052,DC6116NI0053,DC6116NI0054,DC6116NI0055,DC6116NI0056,DC6116NI0057,DC6116NI0058,DC6116NI0059,DC6116NI0060,DC6116NI0061,DC6116NI0062,DC6116NI0063,DC6116NI0064,DC6116NI0065,DC6116NI0066,DC6116NI0067,DC6116NI0068,DC6116NI0069,DC6116NI0070,DC6116NI0071,DC6116NI0072
N92000002,1431540,213851,1217689,227634,43284,184350,243938,32815,211123,254108,37795,216313,248578,41188,207390,193562,30492,163070,145600,19939,125661,118120,8338,109782,692931,96785,596146,115789,18382,97407,119005,15018,103987,124690,16788,107902,122827,19222,103605,95982,14293,81689,69076,9167,59909,45562,3915,41647,738609,117066,621543,111845,24902,86943,124933,17797,107136,129418,21007,108411,125751,21966,103785,97580,16199,81381,76524,10772,65752,72558,4423,68135
BHSCT,283079,43158,239921,50508,10852,39656,52889,8221,44668,46245,6682,39563,46954,7250,39704,33778,4934,28844,26786,3345,23441,25919,1874,24045,134054,19406,114648,24656,4549,20107,25893,3840,22053,22793,3047,19746,22534,3378,19156,16687,2343,14344,12144,1417,10727,9347,832,8515,149025,23752,125273,25852,6303,19549,26996,4381,22615,23452,3635,19817,24420,3872,20548,17091,2591,14500,14642,1928,12714,16572,1042,15530
NHSCT,366872,53975,312897,56365,10416,45949,58602,7625,50977,66054,9833,56221,64435,10678,53757,50990,8099,42891,39315,5257,34058,31111,2067,29044,177781,24211,153570,28811,4458,24353,28426,3409,25017,32253,4294,27959,32060,4921,27139,25267,3733,21534,18620,2392,16228,12344,1004,11340,189091,29764,159327,27554,5958,21596,30176,4216,25960,33801,5539,28262,32375,5757,26618,25723,4366,21357,20695,2865,17830,18767,1063,17704
SEHSCT,275606,43217,232389,39677,7444,32233,42860,5810,37050,48194,7445,40749,49169,8636,40533,40893,6986,33907,30854,4916,25938,23959,1980,21979,132392,19468,112924,20554,3240,17314,20720,2641,18079,23099,3125,19974,23908,3938,19970,20059,3293,16766,14829,2290,12539,9223,941,8282,143214,23749,119465,19123,4204,14919,22140,3169,18971,25095,4320,20775,25261,4698,20563,20834,3693,17141,16025,2626,13399,14736,1039,13697
SHSCT,276654,39908,236746,43856,7621,36235,50333,6265,44068,51542,7637,43905,47648,7824,39824,36112,5625,30487,26544,3604,22940,20619,1332,19287,136019,18309,117710,22716,3184,19532,24681,2907,21774,25802,3507,22295,24100,3761,20339,17990,2606,15384,12739,1702,11037,7991,642,7349,140635,21599,119036,21140,4437,16703,25652,3358,22294,25740,4130,21610,23548,4063,19485,18122,3019,15103,13805,1902,11903,12628,690,11938
WHSCT,229329,33593,195736,37228,6951,30277,39254,4894,34360,42073,6198,35875,40372,6800,33572,31789,4848,26941,22101,2817,19284,16512,1085,15427,112685,15391,97294,19052,2951,16101,19285,2221,17064,20743,2815,17928,20225,3224,17001,15979,2318,13661,10744,1366,9378,6657,496,6161,116644,18202,98442,18176,4000,14176,19969,2673,17296,21330,3383,17947,20147,3576,16571,15810,2530,13280,11357,1451,9906,9855,589,9266
BELB,228679,34407,194272,43173,9236,33937,44992,7021,37971,36478,5190,31288,36457,5306,31151,26688,3778,22910,20821,2441,18380,20070,1435,18635,108381,15476,92905,20904,3853,17051,22183,3318,18865,18000,2378,15622,17529,2504,15025,13219,1810,11409,9435,1005,8430,7111,608,6503,120298,18931,101367,22269,5383,16886,22809,3703,19106,18478,2812,15666,18928,2802,16126,13469,1968,11501,11386,1436,9950,12959,827,12132
NEELB,338153,50153,288000,51453,9593,41860,53172,7011,46161,60853,9119,51734,59655,9941,49714,47352,7578,39774,36631,4959,31672,29037,1952,27085,163607,22441,141166,26329,4135,22194,25686,3105,22581,29647,3965,25682,29638,4559,25079,23478,3467,20011,17336,2264,15072,11493,946,10547,174546,27712,146834,25124,5458,19666,27486,3906,23580,31206,5154,26052,30017,5382,24635,23874,4111,19763,19295,2695,16600,17544,1006,16538
SEELB,330006,51968,278038,47012,9060,37952,50757,7010,43747,57961,8937,49024,59666,10580,49086,47983,8142,39841,36819,5820,30999,29808,2419,27389,158065,23398,134667,24306,3936,20370,24430,3163,21267,27892,3794,24098,28913,4812,24101,23527,3826,19701,17538,2702,14836,11459,1165,10294,171941,28570,143371,22706,5124,17582,26327,3847,22480,30069,5143,24926,30753,5768,24985,24456,4316,20140,19281,3118,16163,18349,1254,17095
SELB,305373,43730,261643,48768,8444,40324,55763,6879,48884,56743,8351,48392,52428,8561,43867,39750,6146,33604,29228,3902,25326,22693,1447,21246,150193,20079,130114,25198,3507,21691,27421,3211,24210,28408,3836,24572,26522,4123,22399,19779,2872,16907,14023,1830,12193,8842,700,8142,155180,23651,131529,23570,4937,18633,28342,3668,24674,28335,4515,23820,25906,4438,21468,19971,3274,16697,15205,2072,13133,13851,747,13104
