GeographyCode,DC2209NI0001,DC2209NI0002,DC2209NI0003,DC2209NI0004,DC2209NI0005,DC2209NI0006,DC2209NI0007,DC2209NI0008,DC2209NI0009,DC2209NI0010,DC2209NI0011,DC2209NI0012,DC2209NI0013,DC2209NI0014,DC2209NI0015,DC2209NI0016,DC2209NI0017,DC2209NI0018,DC2209NI0019,DC2209NI0020,DC2209NI0021,DC2209NI0022,DC2209NI0023,DC2209NI0024,DC2209NI0025,DC2209NI0026,DC2209NI0027,DC2209NI0028,DC2209NI0029,DC2209NI0030,DC2209NI0031,DC2209NI0032,DC2209NI0033,DC2209NI0034,DC2209NI0035,DC2209NI0036,DC2209NI0037,DC2209NI0038,DC2209NI0039,DC2209NI0040,DC2209NI0041,DC2209NI0042,DC2209NI0043,DC2209NI0044,DC2209NI0045,DC2209NI0046,DC2209NI0047,DC2209NI0048,DC2209NI0049,DC2209NI0050,DC2209NI0051,DC2209NI0052,DC2209NI0053,DC2209NI0054,DC2209NI0055,DC2209NI0056,DC2209NI0057,DC2209NI0058,DC2209NI0059,DC2209NI0060,DC2209NI0061,DC2209NI0062,DC2209NI0063,DC2209NI0064,DC2209NI0065,DC2209NI0066,DC2209NI0067,DC2209NI0068,DC2209NI0069,DC2209NI0070,DC2209NI0071,DC2209NI0072,DC2209NI0073,DC2209NI0074,DC2209NI0075,DC2209NI0076,DC2209NI0077,DC2209NI0078,DC2209NI0079,DC2209NI0080,DC2209NI0081,DC2209NI0082,DC2209NI0083,DC2209NI0084,DC2209NI0085,DC2209NI0086,DC2209NI0087,DC2209NI0088,DC2209NI0089,DC2209NI0090,DC2209NI0091,DC2209NI0092,DC2209NI0093,DC2209NI0094,DC2209NI0095,DC2209NI0096,DC2209NI0097,DC2209NI0098,DC2209NI0099,DC2209NI0100,DC2209NI0101,DC2209NI0102,DC2209NI0103,DC2209NI0104
N92000002,1735711,70501,24677,7414,64847,17459,184898,1550813,844317,8175,1660,582,5201,1747,17365,826952,489232,47713,18499,5561,50057,12402,134232,355000,509247,17012,5084,1496,11804,3936,39332,469915,17711,328,82,28,219,93,750,16961,9260,215,47,15,118,57,452,8808,1734,35,11,4,25,6,81,1653,6478,145,40,21,109,51,366,6112,31924,989,489,135,580,201,2394,29530,18158,655,338,86,384,105,1568,16590,6536,164,77,23,120,45,429,6107,7230,170,74,26,76,51,397,6833,19780,499,172,41,451,176,1339,18441
BHSCT,334560,14158,5607,1474,15326,3764,40329,294231,159958,1532,362,100,1078,369,3441,156517,102795,10235,4563,1192,12761,2855,31606,71189,92461,2892,845,225,1931,658,6551,85910,3049,52,18,3,48,11,132,2917,1818,31,10,3,28,10,82,1736,337,7,5,0,3,0,15,322,1673,33,6,5,39,16,99,1574,5849,206,87,22,95,33,443,5406,4150,178,69,19,72,21,359,3791,293,5,1,0,5,0,11,282,1406,23,17,3,18,12,73,1333,7631,180,58,18,151,79,486,7145
NHSCT,444578,14493,4974,1429,11713,3214,35823,408755,263187,2471,452,171,1345,433,4872,258315,81693,8462,3369,972,8173,2010,22986,58707,135217,4124,1272,338,2658,910,9302,125915,4497,66,15,7,52,20,160,4337,2602,53,8,6,27,12,106,2496,435,6,1,0,5,2,14,421,1080,18,7,4,8,4,41,1039,7101,280,159,44,147,45,675,6426,4168,182,125,34,118,28,487,3681,789,14,16,2,7,4,43,746,2144,84,18,8,22,13,145,1999,3884,104,26,6,104,30,270,3614
SEHSCT,333088,8713,2864,820,7031,1960,21388,311700,200948,1758,325,111,998,349,3541,197407,62086,5259,2018,585,5093,1306,14261,47825,104183,2133,680,168,1340,455,4776,99407,4778,89,12,8,32,22,163,4615,2216,44,5,1,17,10,77,2139,466,8,2,2,4,0,16,450,802,7,3,2,11,4,27,775,2801,88,41,16,68,12,225,2576,1502,61,27,7,43,7,145,1357,590,15,10,4,17,1,47,543,709,12,4,5,8,4,33,676,3263,91,25,9,53,18,196,3067
SHSCT,341383,18297,6143,2159,17407,4619,48625,292758,133055,1368,295,119,1081,317,3180,129875,119510,12845,4603,1629,13340,3315,35732,83778,96381,4446,1287,461,3459,1049,10702,85679,2777,60,11,4,43,21,139,2638,1281,37,7,1,30,14,89,1192,278,7,1,1,9,3,21,257,2291,72,17,8,46,18,161,2130,12572,339,163,48,225,87,862,11710,6185,177,82,22,120,35,436,5749,4314,119,49,17,87,37,309,4005,2073,43,32,9,18,15,117,1956,2902,71,38,4,87,24,224,2678
WHSCT,282102,14840,5089,1532,13370,3902,38733,243369,87169,1046,226,81,699,279,2331,84838,123148,10912,3946,1183,10690,2916,29647,93501,81005,3417,1000,304,2416,864,8001,73004,2610,61,26,6,44,19,156,2454,1343,50,17,4,16,11,98,1245,218,7,2,1,4,1,15,203,632,15,7,2,5,9,38,594,3601,76,39,5,45,24,189,3412,2153,57,35,4,31,14,141,2012,550,11,1,0,4,3,19,531,898,8,3,1,10,7,29,869,2100,53,25,4,56,25,163,1937
BELB,269804,12777,5198,1345,14141,3376,36837,232967,116881,1219,299,80,879,293,2770,114111,93453,9428,4283,1103,11919,2605,29338,64115,72323,2532,752,195,1717,561,5757,66566,2487,44,17,3,46,11,121,2366,1454,27,8,3,27,10,75,1379,272,5,5,0,3,0,13,259,1493,31,6,4,32,16,89,1404,5327,183,79,20,86,28,396,4931,3771,158,65,18,67,19,327,3444,248,5,0,0,5,0,10,238,1308,20,14,2,14,9,59,1249,6676,164,51,17,137,74,443,6233
NEELB,409258,12457,4208,1236,10036,2754,30691,378567,249913,2338,425,152,1253,409,4577,245336,69911,7131,2817,832,6970,1719,19469,50442,123914,3486,1052,293,2189,750,7770,116144,4215,60,14,7,49,14,144,4071,2471,51,8,6,24,12,101,2370,420,5,0,0,5,2,12,408,809,13,3,3,5,4,28,781,6319,264,149,40,143,40,636,5683,3922,177,123,32,116,25,473,3449,661,14,9,1,7,4,35,626,1736,73,17,7,20,11,128,1608,3665,98,26,6,97,27,254,3411
SEELB,397844,10094,3273,949,8216,2348,24880,372964,244025,2071,388,131,1197,425,4212,239813,71428,6066,2298,674,5935,1556,16529,54899,124321,2493,773,198,1554,552,5570,118751,5340,97,13,8,34,22,174,5166,2580,48,7,1,18,10,84,2496,531,10,2,2,4,0,18,513,982,9,3,3,18,4,37,945,3323,111,49,18,77,17,272,3051,1881,81,31,8,48,9,177,1704,635,15,11,4,17,1,48,587,807,15,7,6,12,7,47,760,4218,107,32,10,67,23,239,3979
SELB,376703,20333,6909,2352,19084,5079,53757,322946,146329,1501,322,138,1173,341,3475,142854,131292,14176,5155,1769,14543,3606,39249,92043,107684,5084,1507,506,3928,1209,12234,95450,3059,66,12,4,46,27,155,2904,1412,39,7,1,33,14,94,1318,293,8,2,1,9,3,23,270,2562,77,21,9,49,18,174,2388,13354,355,173,52,229,92,901,12453,6431,182,84,24,122,38,450,5981,4442,119,56,18,87,37,317,4125,2481,54,33,10,20,17,134,2347,3121,77,38,4,94,27,240,2881
WELB,282102,14840,5089,1532,13370,3902,38733,243369,87169,1046,226,81,699,279,2331,84838,123148,10912,3946,1183,10690,2916,29647,93501,81005,3417,1000,304,2416,864,8001,73004,2610,61,26,6,44,19,156,2454,1343,50,17,4,16,11,98,1245,218,7,2,1,4,1,15,203,632,15,7,2,5,9,38,594,3601,76,39,5,45,24,189,3412,2153,57,35,4,31,14,141,2012,550,11,1,0,4,3,19,531,898,8,3,1,10,7,29,869,2100,53,25,4,56,25,163,1937
UKN01,269804,12777,5198,1345,14141,3376,36837,232967,116881,1219,299,80,879,293,2770,114111,93453,9428,4283,1103,11919,2605,29338,64115,72323,2532,752,195,1717,561,5757,66566,2487,44,17,3,46,11,121,2366,1454,27,8,3,27,10,75,1379,272,5,5,0,3,0,13,259,1493,31,6,4,32,16,89,1404,5327,183,79,20,86,28,396,4931,3771,158,65,18,67,19,327,3444,248,5,0,0,5,0,10,238,1308,20,14,2,14,9,59,1249,6676,164,51,17,137,74,443,6233
UKN02,374966,8137,2712,778,6987,1933,20547,354419,244866,1793,332,112,1029,385,3651,241215,57196,4809,1951,555,5093,1245,13653,43543,114314,1935,589,148,1199,446,4317,109997,4639,57,11,9,23,23,123,4516,2462,45,8,3,16,7,79,2383,485,9,1,0,2,0,12,473,983,10,2,5,14,5,36,947,3183,122,54,19,87,14,296,2887,2146,97,41,12,67,7,224,1922,403,12,8,1,11,1,33,370,634,13,5,6,9,6,39,595,4456,103,29,9,74,28,243,4213
UKN03,420580,12529,3921,1327,9934,2776,30487,390093,246541,2377,426,168,1409,429,4809,241732,77151,7110,2538,872,6693,1701,18914,58237,128632,3489,1011,330,2265,731,7826,120806,4654,99,10,2,40,19,170,4484,2319,42,7,2,23,19,93,2226,447,7,1,2,7,2,19,428,1577,37,7,3,26,10,83,1494,8318,330,149,50,172,67,768,7550,4530,197,95,28,104,41,465,4065,1699,52,24,13,38,11,138,1561,2089,81,30,9,30,15,165,1924,3517,96,29,8,79,26,238,3279
UKN04,277050,11861,4252,1243,11186,3088,31630,245420,111118,1286,246,85,819,286,2722,108396,100512,8250,3187,934,8667,2248,23286,77226,79896,2764,879,250,2082,706,6681,73215,2731,50,16,9,45,17,137,2594,1656,51,14,6,20,9,100,1556,262,6,1,1,4,1,13,249,588,11,7,2,7,3,30,558,2593,83,68,12,57,14,234,2359,2038,75,65,12,54,11,217,1821,140,4,0,0,2,0,6,134,415,4,3,0,1,3,11,404,2206,48,21,3,59,11,142,2064
UKN05,393311,25197,8594,2721,22599,6286,65397,327914,124911,1500,357,137,1065,354,3413,121498,160920,18116,6540,2097,17685,4603,49041,111879,114082,6292,1853,573,4541,1492,14751,99331,3200,78,28,5,65,23,199,3001,1369,50,10,1,32,12,105,1264,268,8,3,1,9,3,24,244,1837,56,18,7,30,17,128,1709,12503,271,139,34,178,78,700,11803,5673,128,72,16,92,27,335,5338,4046,91,45,9,64,33,242,3804,2784,52,22,9,22,18,123,2661,2925,88,42,4,102,37,273,2652
95AA,51042,1737,598,181,1404,363,4283,46759,28325,301,58,27,152,47,585,27740,10191,1008,395,122,1019,234,2778,7413,15457,472,151,47,283,95,1048,14409,779,12,0,0,3,2,17,762,331,9,0,1,1,2,13,318,69,2,0,0,0,0,2,67,129,5,0,0,0,1,6,123,1239,43,25,4,20,8,100,1139,593,27,21,3,15,4,70,523,290,7,4,1,4,4,20,270,356,9,0,0,1,0,10,346,580,23,6,2,18,5,54,526
95BB,75313,1097,241,87,676,227,2328,72985,55538,461,68,28,251,70,878,54660,5662,398,107,43,295,111,954,4708,23852,325,79,23,184,65,676,23176,900,8,2,0,7,0,17,883,464,8,0,0,3,1,12,452,107,0,0,0,1,0,1,106,134,0,0,0,0,0,0,134,491,14,5,1,11,0,31,460,176,6,2,0,2,0,10,166,157,2,1,1,6,0,10,147,158,6,2,0,3,0,11,147,511,8,8,0,10,2,28,483
95CC,56792,2969,913,318,2738,778,7716,49076,25300,229,42,24,200,54,549,24751,18293,2159,720,227,2153,560,5819,12474,15372,653,173,79,481,178,1564,13808,430,13,3,1,10,1,28,402,189,9,0,0,9,3,21,168,52,0,0,1,3,1,5,47,122,1,2,0,1,2,6,116,1676,43,20,6,38,11,118,1558,540,14,5,3,18,4,44,496,715,19,11,2,16,5,53,662,421,10,4,1,4,2,21,400,381,5,5,0,12,3,25,356
95DD,61601,1505,431,142,900,283,3261,58340,42641,407,64,22,171,58,722,41919,6772,693,252,75,525,150,1695,5077,17080,430,103,30,230,77,870,16210,487,9,0,0,6,2,17,470,340,4,2,0,3,1,10,330,39,0,0,0,1,0,1,38,91,0,0,0,0,1,1,90,1739,99,35,20,43,17,214,1525,925,60,23,13,27,8,131,794,50,1,0,0,0,0,1,49,764,38,12,7,16,9,82,682,442,11,0,1,9,2,23,419
95EE,29937,951,351,87,710,227,2326,27611,18161,220,34,8,108,27,397,17764,4901,457,211,64,436,137,1305,3596,9213,323,112,25,195,70,725,8488,335,3,1,0,3,0,7,328,165,1,1,0,0,0,2,163,32,1,0,0,0,0,1,31,24,0,0,0,0,0,0,24,325,9,11,1,6,1,28,297,260,7,11,1,6,1,26,234,6,0,0,0,0,0,0,6,59,2,0,0,0,0,2,57,140,5,1,0,1,0,7,133
95FF,46112,1239,348,141,1005,294,3027,43085,28331,217,38,20,173,59,507,27824,7351,683,231,85,647,171,1817,5534,14589,405,93,43,241,82,864,13725,457,6,0,0,5,3,14,443,217,4,1,0,3,3,11,206,50,2,0,0,1,1,4,46,66,1,0,0,2,0,3,63,465,25,5,4,6,3,43,422,315,21,5,1,5,2,34,281,84,2,0,2,1,1,6,78,66,2,0,1,0,0,3,63,291,5,4,0,2,1,12,279
95GG,269804,12777,5198,1345,14141,3376,36837,232967,116881,1219,299,80,879,293,2770,114111,93453,9428,4283,1103,11919,2605,29338,64115,72323,2532,752,195,1717,561,5757,66566,2487,44,17,3,46,11,121,2366,1454,27,8,3,27,10,75,1379,272,5,5,0,3,0,13,259,1493,31,6,4,32,16,89,1404,5327,183,79,20,86,28,396,4931,3771,158,65,18,67,19,327,3444,248,5,0,0,5,0,10,238,1308,20,14,2,14,9,59,1249,6676,164,51,17,137,74,443,6233
95HH,37739,378,94,32,253,84,841,36898,28921,161,24,9,97,26,317,28604,2022,121,43,17,124,40,345,1677,11360,107,39,7,50,25,228,11132,435,3,0,0,2,1,6,429,299,6,0,0,0,0,6,293,63,0,0,0,1,0,1,62,93,2,1,0,0,0,3,90,232,11,6,2,4,1,24,208,164,6,6,2,4,1,19,145,16,0,0,0,0,0,0,16,52,5,0,0,0,0,5,47,338,6,1,0,5,5,17,321
95II,64756,1381,409,129,1185,388,3492,61264,43077,313,63,20,199,76,671,42406,9342,807,280,89,842,250,2268,7074,20138,360,93,30,214,97,794,19344,562,8,1,0,2,0,11,551,364,4,2,0,1,0,7,357,65,2,0,0,0,0,2,63,180,2,0,1,7,0,10,170,522,23,8,2,9,5,47,475,379,20,4,1,5,2,32,347,45,0,1,0,0,0,1,44,98,3,3,1,4,3,14,84,955,16,7,1,14,5,43,912
