GeographyCode,DC2232NI0001,DC2232NI0002,DC2232NI0003,DC2232NI0004,DC2232NI0005,DC2232NI0006,DC2232NI0007,DC2232NI0008,DC2232NI0009,DC2232NI0010,DC2232NI0011,DC2232NI0012,DC2232NI0013,DC2232NI0014,DC2232NI0015,DC2232NI0016,DC2232NI0017,DC2232NI0018,DC2232NI0019,DC2232NI0020,DC2232NI0021,DC2232NI0022,DC2232NI0023,DC2232NI0024,DC2232NI0025,DC2232NI0026,DC2232NI0027,DC2232NI0028,DC2232NI0029,DC2232NI0030,DC2232NI0031,DC2232NI0032,DC2232NI0033,DC2232NI0034,DC2232NI0035,DC2232NI0036,DC2232NI0037,DC2232NI0038,DC2232NI0039,DC2232NI0040,DC2232NI0041,DC2232NI0042,DC2232NI0043,DC2232NI0044,DC2232NI0045,DC2232NI0046,DC2232NI0047,DC2232NI0048,DC2232NI0049,DC2232NI0050,DC2232NI0051,DC2232NI0052,DC2232NI0053,DC2232NI0054,DC2232NI0055,DC2232NI0056,DC2232NI0057,DC2232NI0058,DC2232NI0059,DC2232NI0060,DC2232NI0061,DC2232NI0062,DC2232NI0063,DC2232NI0064,DC2232NI0065,DC2232NI0066,DC2232NI0067,DC2232NI0068,DC2232NI0069,DC2232NI0070,DC2232NI0071,DC2232NI0072,DC2232NI0073,DC2232NI0074,DC2232NI0075,DC2232NI0076,DC2232NI0077,DC2232NI0078,DC2232NI0079,DC2232NI0080,DC2232NI0081,DC2232NI0082,DC2232NI0083,DC2232NI0084,DC2232NI0085,DC2232NI0086,DC2232NI0087,DC2232NI0088,DC2232NI0089,DC2232NI0090,DC2232NI0091,DC2232NI0092,DC2232NI0093,DC2232NI0094,DC2232NI0095,DC2232NI0096,DC2232NI0097,DC2232NI0098
WELB,282102,276095,2100,527,697,59,152,164,176,153,163,158,305,1353,276095,276095,0,0,0,0,0,0,0,0,0,0,0,0,6007,0,2100,527,697,59,152,164,176,153,163,158,305,1353,2306,0,441,114,605,21,40,34,127,47,27,97,55,698,2106,0,878,217,79,21,71,68,47,68,70,50,121,416,1300,0,653,172,11,16,29,57,1,34,61,10,112,144,295,0,128,24,2,1,12,5,1,4,5,1,17,95
UKN01,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,256904,256904,0,0,0,0,0,0,0,0,0,0,0,0,12900,0,3665,228,1650,159,526,939,746,84,145,271,215,4272,6083,0,971,93,1476,89,128,127,517,25,69,167,92,2329,4427,0,1685,80,145,51,257,443,220,44,46,89,77,1290,1944,0,845,50,13,17,130,272,9,13,30,12,40,513,446,0,164,5,16,2,11,97,0,2,0,3,6,140
UKN02,374966,367324,2081,368,539,109,173,532,505,99,161,381,89,2605,367324,367324,0,0,0,0,0,0,0,0,0,0,0,0,7642,0,2081,368,539,109,173,532,505,99,161,381,89,2605,3582,0,568,106,480,60,48,110,354,28,73,226,39,1490,2624,0,953,182,54,30,84,237,144,49,54,122,33,682,1194,0,482,68,2,17,37,163,6,17,30,30,14,328,242,0,78,12,3,2,4,22,1,5,4,3,3,105
UKN03,420580,408237,4440,1660,399,940,757,280,348,331,202,249,174,2563,408237,408237,0,0,0,0,0,0,0,0,0,0,0,0,12343,0,4440,1660,399,940,757,280,348,331,202,249,174,2563,3746,0,869,285,352,293,168,42,237,61,75,126,45,1193,4804,0,1946,686,40,379,293,118,106,172,61,100,80,823,3084,0,1328,563,6,214,261,99,5,85,57,21,47,398,709,0,297,126,1,54,35,21,0,13,9,2,2,149
UKN04,277050,272011,1984,132,627,48,53,233,141,62,113,135,79,1432,272011,272011,0,0,0,0,0,0,0,0,0,0,0,0,5039,0,1984,132,627,48,53,233,141,62,113,135,79,1432,2079,0,407,28,551,17,12,39,97,15,31,84,14,784,1615,0,751,48,62,17,25,109,41,26,45,41,36,414,1041,0,661,46,7,12,10,76,2,18,35,9,22,143,304,0,165,10,7,2,6,9,1,3,2,1,7,91
UKN05,393311,376695,5561,3862,949,1037,748,230,155,697,570,138,451,2218,376695,376695,0,0,0,0,0,0,0,0,0,0,0,0,16616,0,5561,3862,949,1037,748,230,155,697,570,138,451,2218,4770,0,1189,768,814,335,145,39,114,191,128,77,82,888,6341,0,2305,1603,113,414,288,96,40,295,205,53,188,741,4539,0,1690,1273,14,229,249,73,1,190,199,6,164,451,966,0,377,218,8,59,66,22,0,21,38,2,17,138
95AA,51042,49238,582,279,83,49,189,30,59,14,18,87,79,335,49238,49238,0,0,0,0,0,0,0,0,0,0,0,0,1804,0,582,279,83,49,189,30,59,14,18,87,79,335,590,0,111,37,76,14,41,3,37,5,6,50,22,188,681,0,270,109,7,17,82,14,22,8,2,29,38,83,454,0,180,111,0,13,58,11,0,1,6,8,19,47,79,0,21,22,0,5,8,2,0,0,4,0,0,17
95BB,75313,74323,173,147,3,16,33,50,63,46,51,16,16,376,74323,74323,0,0,0,0,0,0,0,0,0,0,0,0,990,0,173,147,3,16,33,50,63,46,51,16,16,376,385,0,47,29,3,10,7,12,42,9,17,6,10,193,336,0,73,53,0,5,9,19,20,20,16,9,3,109,217,0,51,50,0,1,13,19,1,16,17,1,2,46,52,0,2,15,0,0,4,0,0,1,1,0,1,28
95CC,56792,54716,536,675,113,28,39,33,13,172,76,29,44,318,54716,54716,0,0,0,0,0,0,0,0,0,0,0,0,2076,0,536,675,113,28,39,33,13,172,76,29,44,318,592,0,112,131,96,17,8,4,11,36,20,16,8,133,756,0,193,273,14,5,16,10,2,83,24,11,15,110,600,0,178,233,2,6,14,15,0,51,27,2,19,53,128,0,53,38,1,0,1,4,0,2,5,0,2,22
95DD,61601,59509,918,48,18,18,331,45,48,31,17,15,5,598,59509,59509,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,918,48,18,18,331,45,48,31,17,15,5,598,516,0,151,5,14,11,65,7,29,3,10,5,2,214,844,0,363,22,2,3,109,18,19,22,7,8,2,269,573,0,303,13,2,4,140,12,0,5,0,2,1,91,159,0,101,8,0,0,17,8,0,1,0,0,0,24
