ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2239NI0001,Count,PERSONS,"All categories: National Identity (Classification 2), All categories: Religion"
DC2239NI0002,Count,PERSONS,"All categories: National Identity (Classification 2), Catholic"
DC2239NI0003,Count,PERSONS,"All categories: National Identity (Classification 2), Protestant and other Christian: Total"
DC2239NI0004,Count,PERSONS,"All categories: National Identity (Classification 2), Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0005,Count,PERSONS,"All categories: National Identity (Classification 2), Protestant and other Christian: Church of Ireland"
DC2239NI0006,Count,PERSONS,"All categories: National Identity (Classification 2), Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0007,Count,PERSONS,"All categories: National Identity (Classification 2), Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0008,Count,PERSONS,"All categories: National Identity (Classification 2), Other religions "
DC2239NI0009,Count,PERSONS,"All categories: National Identity (Classification 2), No religion"
DC2239NI0010,Count,PERSONS,"All categories: National Identity (Classification 2), Not stated"
DC2239NI0011,Count,PERSONS,"British, All categories: Religion"
DC2239NI0012,Count,PERSONS,"British, Catholic"
DC2239NI0013,Count,PERSONS,"British, Protestant and other Christian: Total"
DC2239NI0014,Count,PERSONS,"British, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0015,Count,PERSONS,"British, Protestant and other Christian: Church of Ireland"
DC2239NI0016,Count,PERSONS,"British, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0017,Count,PERSONS,"British, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0018,Count,PERSONS,"British, Other religions "
DC2239NI0019,Count,PERSONS,"British, No religion"
DC2239NI0020,Count,PERSONS,"British, Not stated"
DC2239NI0021,Count,PERSONS,"Irish, All categories: Religion"
DC2239NI0022,Count,PERSONS,"Irish, Catholic"
DC2239NI0023,Count,PERSONS,"Irish, Protestant and other Christian: Total"
DC2239NI0024,Count,PERSONS,"Irish, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0025,Count,PERSONS,"Irish, Protestant and other Christian: Church of Ireland"
DC2239NI0026,Count,PERSONS,"Irish, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0027,Count,PERSONS,"Irish, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0028,Count,PERSONS,"Irish, Other religions "
DC2239NI0029,Count,PERSONS,"Irish, No religion"
DC2239NI0030,Count,PERSONS,"Irish, Not stated"
DC2239NI0031,Count,PERSONS,"Northern Irish, All categories: Religion"
DC2239NI0032,Count,PERSONS,"Northern Irish, Catholic"
DC2239NI0033,Count,PERSONS,"Northern Irish, Protestant and other Christian: Total"
DC2239NI0034,Count,PERSONS,"Northern Irish, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0035,Count,PERSONS,"Northern Irish, Protestant and other Christian: Church of Ireland"
DC2239NI0036,Count,PERSONS,"Northern Irish, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0037,Count,PERSONS,"Northern Irish, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0038,Count,PERSONS,"Northern Irish, Other religions "
DC2239NI0039,Count,PERSONS,"Northern Irish, No religion"
DC2239NI0040,Count,PERSONS,"Northern Irish, Not stated"
DC2239NI0041,Count,PERSONS,"English, All categories: Religion"
DC2239NI0042,Count,PERSONS,"English, Catholic"
DC2239NI0043,Count,PERSONS,"English, Protestant and other Christian: Total"
DC2239NI0044,Count,PERSONS,"English, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0045,Count,PERSONS,"English, Protestant and other Christian: Church of Ireland"
DC2239NI0046,Count,PERSONS,"English, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0047,Count,PERSONS,"English, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0048,Count,PERSONS,"English, Other religions "
DC2239NI0049,Count,PERSONS,"English, No religion"
DC2239NI0050,Count,PERSONS,"English, Not stated"
DC2239NI0051,Count,PERSONS,"Scottish, All categories: Religion"
DC2239NI0052,Count,PERSONS,"Scottish, Catholic"
DC2239NI0053,Count,PERSONS,"Scottish, Protestant and other Christian: Total"
DC2239NI0054,Count,PERSONS,"Scottish, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0055,Count,PERSONS,"Scottish, Protestant and other Christian: Church of Ireland"
DC2239NI0056,Count,PERSONS,"Scottish, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0057,Count,PERSONS,"Scottish, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0058,Count,PERSONS,"Scottish, Other religions "
DC2239NI0059,Count,PERSONS,"Scottish, No religion"
DC2239NI0060,Count,PERSONS,"Scottish, Not stated"
DC2239NI0061,Count,PERSONS,"Welsh, All categories: Religion"
DC2239NI0062,Count,PERSONS,"Welsh, Catholic"
DC2239NI0063,Count,PERSONS,"Welsh, Protestant and other Christian: Total"
DC2239NI0064,Count,PERSONS,"Welsh, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0065,Count,PERSONS,"Welsh, Protestant and other Christian: Church of Ireland"
DC2239NI0066,Count,PERSONS,"Welsh, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0067,Count,PERSONS,"Welsh, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0068,Count,PERSONS,"Welsh, Other religions "
DC2239NI0069,Count,PERSONS,"Welsh, No religion"
DC2239NI0070,Count,PERSONS,"Welsh, Not stated"
DC2239NI0071,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, All categories: Religion"
DC2239NI0072,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Catholic"
DC2239NI0073,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Protestant and other Christian: Total"
DC2239NI0074,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0075,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Protestant and other Christian: Church of Ireland"
DC2239NI0076,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0077,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0078,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Other religions "
DC2239NI0079,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, No religion"
DC2239NI0080,Count,PERSONS,"Other EU Member countries prior to 2004 expansion, Not stated"
DC2239NI0081,Count,PERSONS,"EU Accession countries 2004 onwards, All categories: Religion"
DC2239NI0082,Count,PERSONS,"EU Accession countries 2004 onwards, Catholic"
DC2239NI0083,Count,PERSONS,"EU Accession countries 2004 onwards, Protestant and other Christian: Total"
DC2239NI0084,Count,PERSONS,"EU Accession countries 2004 onwards, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0085,Count,PERSONS,"EU Accession countries 2004 onwards, Protestant and other Christian: Church of Ireland"
DC2239NI0086,Count,PERSONS,"EU Accession countries 2004 onwards, Protestant and other Christian: Methodist Church in Ireland"
DC2239NI0087,Count,PERSONS,"EU Accession countries 2004 onwards, Protestant and other Christian: Other Christian (including Christian related)"
DC2239NI0088,Count,PERSONS,"EU Accession countries 2004 onwards, Other religions "
DC2239NI0089,Count,PERSONS,"EU Accession countries 2004 onwards, No religion"
DC2239NI0090,Count,PERSONS,"EU Accession countries 2004 onwards, Not stated"
DC2239NI0091,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, All categories: Religion"
DC2239NI0092,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Catholic"
DC2239NI0093,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Protestant and other Christian: Total"
DC2239NI0094,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Protestant and other Christian: Presbyterian Church in Ireland"
DC2239NI0095,Count,PERSONS,"EU Accession countries 2004 onwards: Polish, Protestant and other Christian: Church of Ireland"
