GeographyCode,DC2228NI0001,DC2228NI0002,DC2228NI0003,DC2228NI0004,DC2228NI0005,DC2228NI0006,DC2228NI0007,DC2228NI0008,DC2228NI0009,DC2228NI0010,DC2228NI0011,DC2228NI0012,DC2228NI0013,DC2228NI0014,DC2228NI0015,DC2228NI0016,DC2228NI0017,DC2228NI0018,DC2228NI0019,DC2228NI0020,DC2228NI0021,DC2228NI0022,DC2228NI0023,DC2228NI0024,DC2228NI0025,DC2228NI0026,DC2228NI0027,DC2228NI0028,DC2228NI0029,DC2228NI0030,DC2228NI0031,DC2228NI0032,DC2228NI0033,DC2228NI0034,DC2228NI0035,DC2228NI0036,DC2228NI0037,DC2228NI0038,DC2228NI0039,DC2228NI0040,DC2228NI0041,DC2228NI0042,DC2228NI0043,DC2228NI0044,DC2228NI0045,DC2228NI0046,DC2228NI0047,DC2228NI0048,DC2228NI0049,DC2228NI0050,DC2228NI0051,DC2228NI0052,DC2228NI0053,DC2228NI0054,DC2228NI0055,DC2228NI0056,DC2228NI0057,DC2228NI0058,DC2228NI0059,DC2228NI0060,DC2228NI0061,DC2228NI0062,DC2228NI0063,DC2228NI0064,DC2228NI0065,DC2228NI0066,DC2228NI0067,DC2228NI0068,DC2228NI0069,DC2228NI0070,DC2228NI0071,DC2228NI0072
N92000002,1735711,70501,24677,7414,64847,17459,184898,1550813,295861,8539,3343,821,7746,2071,22520,273341,1456532,64024,21999,6845,58632,15868,167368,1289164,1051688,26340,7644,2257,16997,5670,58908,992780,367236,36596,13867,4444,40965,9927,105799,261437,16494,578,285,71,329,103,1366,15128,6661,170,79,22,118,52,441,6220,14453,340,124,51,223,116,854,13599,20408,579,200,62,568,184,1593,18815
BHSCT,334560,14158,5607,1474,15326,3764,40329,294231,46311,1409,606,114,1404,315,3848,42463,289787,13196,5170,1426,14316,3537,37645,252142,209699,5523,1797,459,3936,1225,12940,196759,72751,7464,3279,944,10258,2254,24199,48552,3808,143,61,15,59,21,299,3509,308,6,1,0,5,0,12,296,3221,60,32,8,58,37,195,3026,7279,183,51,19,173,67,493,6786
NHSCT,444578,14493,4974,1429,11713,3214,35823,408755,83182,2165,807,166,1684,455,5277,77905,365472,12797,4309,1308,10307,2848,31569,333903,298831,6460,1776,520,3821,1296,13873,284958,58718,6062,2391,747,6341,1502,17043,41675,3750,164,102,27,104,26,423,3327,816,14,16,2,7,7,46,770,3357,97,24,12,34,17,184,3173,4098,112,37,13,117,30,309,3789
SEHSCT,333088,8713,2864,820,7031,1960,21388,311700,47229,951,324,93,855,240,2463,44766,290512,8052,2661,753,6368,1789,19623,270889,240450,4073,1150,294,2277,772,8566,231884,46346,3874,1470,443,4022,1002,10811,35535,1402,63,22,5,37,7,134,1268,614,15,11,4,15,1,46,568,1700,27,8,7,17,7,66,1634,3603,91,34,7,60,24,216,3387
SHSCT,341383,18297,6143,2159,17407,4619,48625,292758,59617,1950,796,246,2038,538,5568,54049,285659,16876,5484,1987,15778,4215,44340,241319,177359,5889,1708,624,4144,1327,13692,163667,93759,10579,3604,1308,11350,2774,29615,64144,5593,153,72,20,101,36,382,5211,4359,123,50,16,87,41,317,4042,4589,132,50,19,96,37,334,4255,2998,90,46,11,120,35,302,2696
WHSCT,282102,14840,5089,1532,13370,3902,38733,243369,59522,2064,810,202,1765,523,5364,54158,225102,13103,4375,1371,11863,3479,34191,190911,125349,4395,1213,360,2819,1050,9837,115512,95662,8617,3123,1002,8994,2395,24131,71531,1941,55,28,4,28,13,128,1813,564,12,1,0,4,3,20,544,1586,24,10,5,18,18,75,1511,2430,103,32,12,98,28,273,2157
BELB,269804,12777,5198,1345,14141,3376,36837,232967,39344,1333,581,106,1343,293,3656,35688,231347,11837,4763,1297,13162,3158,34217,197130,159583,4822,1614,407,3518,1061,11422,148161,65147,6826,3061,870,9535,2044,22336,42811,3448,126,59,14,54,19,272,3176,260,6,0,0,5,0,11,249,2909,57,29,6,50,34,176,2733,6314,168,46,18,157,61,450,5864
NEELB,409258,12457,4208,1236,10036,2754,30691,378567,75346,1874,677,143,1435,379,4508,70838,337565,10995,3651,1131,8828,2451,27056,310509,279975,5647,1510,459,3269,1137,12022,267953,50707,5094,2011,635,5421,1271,14432,36275,3509,159,100,26,102,23,410,3099,676,14,9,1,7,6,37,639,2698,81,21,10,29,14,155,2543,3889,99,37,12,108,28,284,3605
SEELB,397844,10094,3273,949,8216,2348,24880,372964,54196,1027,349,101,916,262,2655,51541,348952,9411,3068,882,7522,2168,23051,325901,290566,4774,1333,346,2695,936,10084,280482,53950,4512,1688,517,4745,1212,12674,41276,1762,80,24,6,42,9,161,1601,662,15,12,4,15,1,47,615,2012,30,11,9,25,10,85,1927,4568,106,39,8,76,30,259,4309
SELB,376703,20333,6909,2352,19084,5079,53757,322946,67453,2241,926,269,2287,614,6337,61116,313566,18678,6142,2164,17257,4612,48853,264713,196215,6702,1974,685,4696,1486,15543,180672,101770,11547,3984,1420,12270,3005,32226,69544,5834,158,74,21,103,39,395,5439,4499,123,57,17,87,42,326,4173,5248,148,53,21,101,40,363,4885,3207,103,46,12,129,37,327,2880
