GeographyCode,DC2238NI0001,DC2238NI0002,DC2238NI0003,DC2238NI0004,DC2238NI0005,DC2238NI0006,DC2238NI0007,DC2238NI0008,DC2238NI0009,DC2238NI0010,DC2238NI0011,DC2238NI0012,DC2238NI0013,DC2238NI0014,DC2238NI0015,DC2238NI0016,DC2238NI0017,DC2238NI0018,DC2238NI0019,DC2238NI0020,DC2238NI0021,DC2238NI0022,DC2238NI0023,DC2238NI0024,DC2238NI0025,DC2238NI0026,DC2238NI0027,DC2238NI0028,DC2238NI0029,DC2238NI0030,DC2238NI0031,DC2238NI0032,DC2238NI0033,DC2238NI0034,DC2238NI0035,DC2238NI0036,DC2238NI0037,DC2238NI0038,DC2238NI0039,DC2238NI0040,DC2238NI0041,DC2238NI0042,DC2238NI0043,DC2238NI0044,DC2238NI0045,DC2238NI0046,DC2238NI0047,DC2238NI0048,DC2238NI0049,DC2238NI0050,DC2238NI0051,DC2238NI0052,DC2238NI0053,DC2238NI0054,DC2238NI0055,DC2238NI0056,DC2238NI0057,DC2238NI0058,DC2238NI0059,DC2238NI0060,DC2238NI0061,DC2238NI0062,DC2238NI0063,DC2238NI0064,DC2238NI0065,DC2238NI0066,DC2238NI0067,DC2238NI0068,DC2238NI0069,DC2238NI0070,DC2238NI0071,DC2238NI0072,DC2238NI0073,DC2238NI0074,DC2238NI0075,DC2238NI0076,DC2238NI0077,DC2238NI0078,DC2238NI0079,DC2238NI0080,DC2238NI0081,DC2238NI0082,DC2238NI0083,DC2238NI0084,DC2238NI0085,DC2238NI0086,DC2238NI0087,DC2238NI0088,DC2238NI0089,DC2238NI0090,DC2238NI0091,DC2238NI0092,DC2238NI0093,DC2238NI0094,DC2238NI0095,DC2238NI0096,DC2238NI0097,DC2238NI0098,DC2238NI0099,DC2238NI0100,DC2238NI0101,DC2238NI0102,DC2238NI0103,DC2238NI0104,DC2238NI0105,DC2238NI0106,DC2238NI0107,DC2238NI0108,DC2238NI0109,DC2238NI0110,DC2238NI0111,DC2238NI0112,DC2238NI0113,DC2238NI0114,DC2238NI0115,DC2238NI0116,DC2238NI0117,DC2238NI0118,DC2238NI0119,DC2238NI0120,DC2238NI0121,DC2238NI0122,DC2238NI0123,DC2238NI0124,DC2238NI0125,DC2238NI0126,DC2238NI0127,DC2238NI0128,DC2238NI0129,DC2238NI0130
N92000002,1810863,817385,875717,16592,101169,1758068,784518,868957,12399,92194,52795,32867,6760,4193,8975,722379,86761,582695,6968,45955,457482,429586,19948,1323,6625,379267,219250,135440,2035,22542,111748,7449,96906,550,6843,19132,16502,1976,71,583,18406,6752,9881,180,1593,11877,6311,4761,124,681,10931,3108,5157,230,2436,6771,2070,3063,115,1523,1171,234,618,29,290,9815,1968,5914,127,1806,5410,3071,783,146,1410,1302,706,311,27,258,32376,25486,2322,273,4295,18618,17043,473,99,1003,6590,5525,254,33,778,7168,2918,1595,141,2514,2041,1631,190,21,199,1152,1052,41,10,49,427,366,22,1,38,462,213,127,10,112,15009,4310,3655,3774,3270,5746,2190,2097,599,860
BHSCT,348204,151452,164525,5667,26560,334446,145045,162586,3411,23404,13758,6407,1939,2256,3156,134285,14465,106829,1870,11121,94702,87975,4144,396,2187,65169,32867,25904,547,5851,21467,1175,18524,140,1628,4116,3357,505,25,229,4546,1645,2386,37,478,2688,1470,970,32,216,1780,442,812,55,471,1252,290,642,19,301,199,30,102,5,62,1942,354,1131,41,416,1420,623,238,70,489,305,138,77,8,82,5917,4332,426,76,1083,4262,3705,139,58,360,289,200,18,4,67,1366,427,269,14,656,369,272,43,6,48,228,196,11,3,18,24,23,1,0,0,117,53,31,3,30,6421,1452,1275,2110,1584,1626,565,517,230,314
NHSCT,463297,155691,276015,3790,27801,452355,148813,274459,3151,25932,10942,6878,1556,639,1869,226455,23422,187266,1879,13888,73074,66944,4693,249,1188,96118,47484,41921,497,6216,35807,2282,31261,168,2096,3926,3288,514,13,111,4672,1642,2584,55,391,2858,1395,1257,33,173,2729,568,1443,59,659,1905,477,970,33,425,299,36,177,12,74,2619,442,1691,35,451,902,486,143,17,256,224,103,68,7,46,7233,5613,649,36,935,4273,3997,68,5,203,816,675,42,7,92,2144,941,539,24,640,418,330,45,5,38,279,253,15,0,11,31,29,1,0,1,108,48,29,5,26,2807,779,764,586,678,1251,400,569,106,176
SEHSCT,346911,107991,207432,3151,28337,341194,105034,206148,2749,27263,5717,2957,1284,402,1074,167650,18524,133504,1574,14048,53389,47691,4210,196,1292,71018,30525,33419,488,6586,29268,1795,24979,140,2354,2765,2117,490,17,141,5039,1315,3122,57,545,2993,1232,1530,39,192,2760,499,1499,53,709,1516,300,773,35,408,312,45,176,7,84,2890,407,1828,32,623,640,275,176,16,173,213,83,78,3,49,2748,1953,297,24,474,1488,1320,70,6,92,577,435,38,4,100,683,198,189,14,282,277,212,32,0,33,151,140,5,0,6,62,56,1,0,5,64,16,26,0,22,2329,729,811,362,427,1104,289,508,108,199
SHSCT,358034,202952,140163,2344,12575,341215,190171,138807,1868,10369,16819,12781,1356,476,2206,116635,14674,96080,1047,4834,115787,111210,3261,250,1066,77575,53993,20568,317,2697,16340,1169,14527,66,578,4227,3918,255,6,48,2423,1119,1165,18,121,1814,1138,606,12,58,1816,766,721,21,308,975,363,361,20,231,197,60,89,3,45,1306,370,748,8,180,1949,1378,144,32,395,408,278,57,7,66,12865,10629,694,95,1447,6411,5968,130,20,293,4350,3778,122,12,438,2104,883,442,63,716,695,595,48,2,50,322,305,6,1,10,269,229,15,0,25,104,61,27,1,15,2005,774,518,349,364,1017,518,321,91,87
WHSCT,294417,199299,87582,1640,5896,288858,195455,86957,1220,5226,5559,3844,625,420,670,77354,15676,59016,598,2064,120530,115766,3640,232,892,69387,54381,13628,186,1192,8866,1028,7615,36,187,4098,3822,212,10,54,1726,1031,624,13,58,1524,1076,398,8,42,1846,833,682,42,289,1123,640,317,8,158,164,63,74,2,25,1058,395,516,11,136,499,309,82,11,97,152,104,31,2,15,3613,2959,256,42,356,2184,2053,66,10,55,558,437,34,6,81,871,469,156,26,220,282,222,22,8,30,172,158,4,6,4,41,29,4,1,7,69,35,14,1,19,1447,576,287,367,217,748,418,182,64,84
BELB,280962,136497,118856,4825,20784,268625,130782,117182,2739,17922,12337,5715,1674,2086,2862,98532,12104,76737,1457,8234,87312,81652,3406,356,1898,52633,28863,18847,430,4493,14928,912,12778,108,1130,3471,2876,401,14,180,3456,1281,1768,31,376,2146,1246,699,25,176,1472,411,631,43,387,1035,264,498,18,255,159,23,78,5,53,1526,307,838,37,344,1270,551,208,66,445,270,119,68,8,75,5374,3929,397,71,977,3866,3371,127,56,312,241,163,14,3,61,1267,395,256,12,604,335,247,41,6,41,207,179,10,3,15,21,20,1,0,0,107,48,30,3,26,5693,1235,1069,1949,1440,1350,477,392,201,280
NEELB,426284,133758,262033,3613,26880,416533,127736,260567,3001,25229,9751,6022,1466,612,1651,214610,22001,177257,1795,13557,61678,55928,4381,235,1134,86458,39937,40027,466,6028,34360,2164,29966,162,2068,3433,2827,484,13,109,4458,1538,2480,51,389,2684,1278,1211,32,163,2527,477,1371,56,623,1802,426,940,33,403,288,31,172,12,73,2505,396,1629,35,445,661,307,134,17,203,184,73,62,6,43,6434,4991,607,30,806,4026,3765,62,3,196,675,546,39,7,83,1733,680,506,20,527,371,295,43,5,28,258,232,15,0,11,28,27,1,0,0,85,36,27,5,17,2656,724,725,565,642,1175,365,544,100,166
SEELB,414153,122946,253101,3993,34113,407015,119297,251552,3421,32745,7138,3649,1549,572,1368,203403,20885,163596,1987,16935,60779,54014,4948,236,1581,83554,34529,40476,605,7944,35807,2058,30725,172,2852,3410,2598,594,28,190,6129,1679,3740,63,647,3535,1456,1801,46,232,3068,530,1680,65,793,1733,326,917,36,454,352,52,200,7,93,3306,454,2121,36,695,790,347,206,20,217,248,102,87,3,56,3291,2356,326,29,580,1884,1654,82,8,140,625,472,42,5,106,782,230,202,16,334,311,237,34,0,40,172,157,6,0,9,65,59,1,0,5,74,21,27,0,26,3057,946,1017,523,571,1380,377,633,137,233
SELB,395047,224885,154145,2521,13496,377037,211248,152699,2018,11072,18010,13637,1446,503,2424,128480,16095,106089,1131,5165,127183,122226,3573,264,1120,87235,61540,22462,348,2885,17787,1287,15822,72,606,4720,4379,285,6,50,2637,1223,1269,22,123,1988,1255,652,13,68,2018,857,793,24,344,1078,414,391,20,253,208,65,94,3,46,1420,416,810,8,186,2190,1557,153,32,448,448,308,63,8,69,13664,11251,736,101,1576,6658,6200,136,22,300,4491,3907,125,12,447,2515,1144,475,67,829,742,630,50,2,60,343,326,6,1,10,272,231,15,0,26,127,73,29,1,24,2156,829,557,370,400,1093,553,346,97,97
WELB,294417,199299,87582,1640,5896,288858,195455,86957,1220,5226,5559,3844,625,420,670,77354,15676,59016,598,2064,120530,115766,3640,232,892,69387,54381,13628,186,1192,8866,1028,7615,36,187,4098,3822,212,10,54,1726,1031,624,13,58,1524,1076,398,8,42,1846,833,682,42,289,1123,640,317,8,158,164,63,74,2,25,1058,395,516,11,136,499,309,82,11,97,152,104,31,2,15,3613,2959,256,42,356,2184,2053,66,10,55,558,437,34,6,81,871,469,156,26,220,282,222,22,8,30,172,158,4,6,4,41,29,4,1,7,69,35,14,1,19,1447,576,287,367,217,748,418,182,64,84
UKN01,280962,136497,118856,4825,20784,268625,130782,117182,2739,17922,12337,5715,1674,2086,2862,98532,12104,76737,1457,8234,87312,81652,3406,356,1898,52633,28863,18847,430,4493,14928,912,12778,108,1130,3471,2876,401,14,180,3456,1281,1768,31,376,2146,1246,699,25,176,1472,411,631,43,387,1035,264,498,18,255,159,23,78,5,53,1526,307,838,37,344,1270,551,208,66,445,270,119,68,8,75,5374,3929,397,71,977,3866,3371,127,56,312,241,163,14,3,61,1267,395,256,12,604,335,247,41,6,41,207,179,10,3,15,21,20,1,0,0,107,48,30,3,26,5693,1235,1069,1949,1440,1350,477,392,201,280
UKN02,390597,92393,259368,4128,34708,383246,88769,257837,3392,33248,7351,3624,1531,736,1460,204501,15938,168905,2021,17637,47437,41112,4625,246,1454,73323,23604,41127,543,8049,36826,1731,31955,184,2956,2820,2046,569,33,172,5750,1467,3627,49,607,3144,1164,1710,36,234,2626,412,1478,60,676,1653,258,919,41,435,317,33,185,7,92,3001,336,1988,32,645,813,369,197,22,225,229,91,88,5,45,3181,2340,322,27,492,2154,1868,98,8,180,410,306,23,5,76,617,166,201,14,236,290,224,37,0,29,197,170,16,0,11,34,31,0,0,3,59,23,21,0,15,3357,915,1012,687,743,1329,353,624,135,217
UKN03,438823,156162,251695,3668,27298,426470,148068,250092,3163,25147,12353,8094,1603,505,2151,211619,26462,170112,1891,13154,68741,62975,4258,239,1269,92176,47848,37641,540,6147,33497,2370,28993,147,1987,3411,2839,463,5,104,4739,1714,2575,54,396,2955,1528,1233,37,157,2782,587,1454,44,697,1673,382,857,29,405,312,55,177,9,71,2637,455,1680,33,469,1343,775,175,14,379,283,145,61,2,75,8522,6496,683,45,1298,4702,4335,82,9,276,1718,1349,74,8,287,2102,812,527,28,735,450,357,38,5,50,243,229,2,0,12,108,91,4,0,13,99,37,32,5,25,2488,823,745,446,474,1195,351,550,128,166
