GeographyCode,DC3601NI0001,DC3601NI0002,DC3601NI0003,DC3601NI0004,DC3601NI0005,DC3601NI0006,DC3601NI0007,DC3601NI0008,DC3601NI0009,DC3601NI0010,DC3601NI0011,DC3601NI0012,DC3601NI0013,DC3601NI0014,DC3601NI0015,DC3601NI0016,DC3601NI0017,DC3601NI0018,DC3601NI0019,DC3601NI0020,DC3601NI0021,DC3601NI0022,DC3601NI0023,DC3601NI0024,DC3601NI0025
N92000002,795263,65879,164842,487029,77513,675808,55347,135816,419203,65442,83087,6697,19472,48502,8416,18072,1679,4520,10390,1483,18296,2156,5034,8934,2172
BHSCT,150870,14113,32297,92838,11622,127938,12122,26500,79496,9820,16037,1241,3808,9663,1325,3381,342,916,1934,189,3514,408,1073,1745,288
NHSCT,210147,16971,42514,129777,20885,179213,14374,35057,112037,17745,21704,1671,5113,12715,2205,4515,394,1098,2640,383,4715,532,1246,2385,552
SEHSCT,158531,12926,33231,96153,16221,132987,10608,26929,81867,13583,18156,1525,4306,10419,1906,3603,311,937,2066,289,3785,482,1059,1801,443
SHSCT,157636,12277,31713,96896,16750,134700,10163,26186,84172,14179,15696,1332,3664,8968,1732,3711,384,913,2082,332,3529,398,950,1674,507
WHSCT,118079,9592,25087,71365,12035,100970,8080,21144,61631,10115,11494,928,2581,6737,1248,2862,248,656,1668,290,2753,336,706,1329,382
BELB,118754,11735,25794,72277,8948,101278,10200,21265,62234,7579,11999,945,2931,7137,986,2710,274,729,1552,155,2767,316,869,1354,228
NEELB,194151,15634,39247,120297,18973,165568,13257,32321,103823,16167,20124,1538,4758,11838,1990,4110,351,1007,2419,333,4349,488,1161,2217,483
SEELB,190647,15304,39734,116714,18895,159647,12530,32164,99129,15824,22194,1821,5183,12945,2245,4274,379,1124,2448,323,4532,574,1263,2192,503
SELB,173632,13614,34980,106376,18662,148345,11280,28922,92386,15757,17276,1465,4019,9845,1947,4116,427,1004,2303,382,3895,442,1035,1842,576
WELB,118079,9592,25087,71365,12035,100970,8080,21144,61631,10115,11494,928,2581,6737,1248,2862,248,656,1668,290,2753,336,706,1329,382
UKN01,118754,11735,25794,72277,8948,101278,10200,21265,62234,7579,11999,945,2931,7137,986,2710,274,729,1552,155,2767,316,869,1354,228
UKN02,182067,14552,37869,113127,16519,152893,12093,30630,96244,13926,21215,1642,5054,12594,1925,3861,343,1041,2220,257,4098,474,1144,2069,411
UKN03,200970,15459,40473,124987,20051,170083,12739,33142,107348,16854,21484,1698,4973,12568,2245,4603,430,1079,2712,382,4800,592,1279,2359,570
UKN04,114548,10096,25193,68480,10779,98354,8628,21307,59264,9155,10974,929,2507,6422,1116,2588,221,645,1511,211,2632,318,734,1283,297
UKN05,178924,14037,35513,108158,21216,153200,11687,29472,94113,17928,17415,1483,4007,9781,2144,4310,411,1026,2395,478,3999,456,1008,1869,666
95AA,25595,1862,5048,16068,2617,21974,1574,4207,13932,2261,2540,189,575,1526,250,540,38,120,333,49,541,61,146,277,57
95BB,35743,2898,7598,21607,3640,29617,2312,6089,18202,3014,4337,365,1056,2467,449,862,79,209,508,66,927,142,244,430,111
95CC,26586,2032,5377,16055,3122,22673,1689,4435,13899,2650,2743,227,660,1550,306,612,56,152,342,62,558,60,130,264,104
95DD,29920,2216,5949,18785,2970,25653,1872,4907,16369,2505,2979,207,722,1722,328,614,56,145,365,48,674,81,175,329,89
95EE,13426,946,2658,8313,1509,11498,787,2187,7233,1291,1334,102,308,763,161,284,24,72,158,30,310,33,91,159,27
95FF,22621,1634,4357,13923,2707,19107,1334,3574,11926,2273,2484,194,510,1485,295,516,54,126,277,59,514,52,147,235,80
95GG,118754,11735,25794,72277,8948,101278,10200,21265,62234,7579,11999,945,2931,7137,986,2710,274,729,1552,155,2767,316,869,1354,228
95HH,18104,1449,3726,11485,1444,15252,1203,3049,9764,1236,2018,161,495,1209,153,387,34,79,257,17,447,51,103,255,38
95II,32116,2378,6503,20561,2674,26660,1922,5235,17262,2241,4038,296,877,2526,339,671,68,187,382,34,747,92,204,391,60
95JJ,25272,2724,5515,14406,2627,21872,2379,4654,12556,2283,2414,244,570,1353,247,480,43,125,269,43,506,58,166,228,54
95KK,15996,1337,3267,9480,1912,13645,1117,2736,8214,1578,1580,133,355,877,215,405,43,91,221,50,366,44,85,168,69
95LL,41320,3127,8242,26639,3312,35233,2579,6779,23078,2797,4223,342,1006,2504,371,966,107,210,592,57,898,99,247,465,87
95MM,40612,3646,9727,24465,2774,34659,3125,8318,20930,2286,4006,318,901,2448,339,967,85,238,578,66,980,118,270,509,83
95NN,30910,2632,6296,18669,3313,25938,2174,5150,15872,2742,3319,291,736,1904,388,796,62,187,468,79,857,105,223,425,104
95OO,25646,1881,5119,15632,3014,22255,1568,4257,13866,2564,2266,187,580,1198,301,601,67,147,329,58,524,59,135,239,91
95PP,27574,2057,5492,16461,3564,23616,1719,4574,14305,3018,2725,217,635,1521,352,663,52,143,373,95,570,69,140,262,99
95QQ,14861,1090,2983,9296,1492,12561,894,2436,7969,1262,1602,110,368,960,164,309,34,82,169,24,389,52,97,198,42
95RR,13217,1015,2671,8289,1242,11511,871,2258,7303,1079,1119,77,271,662,109,286,25,64,179,18,301,42,78,145,36
95SS,54962,4341,11625,33368,5628,46355,3607,9441,28559,4748,6114,498,1445,3525,646,1235,104,363,685,83,1258,132,376,599,151
95TT,19983,1454,3612,12652,2265,17204,1230,3007,11023,1944,1879,145,396,1123,215,482,39,112,289,42,418,40,97,217,64
95UU,7021,564,1453,4088,916,6005,472,1218,3552,763,699,64,156,371,108,156,12,38,88,18,161,16,41,77,27
95VV,41463,3603,8618,24647,4595,35432,2993,7141,21403,3895,3980,382,908,2231,459,1016,100,278,542,96,1035,128,291,471,145
95WW,39969,3329,8303,25204,3133,33549,2846,6656,21425,2622,4659,316,1168,2811,364,858,71,234,491,62,903,96,245,477,85
95XX,36916,3055,7712,22509,3640,31077,2515,6249,19234,3079,4386,371,1069,2523,423,710,66,178,405,61,743,103,216,347,77
95YY,21676,1673,4028,13231,2744,18375,1371,3322,11403,2279,2242,192,473,1281,296,531,54,103,299,75,528,56,130,248,94
95ZZ,15000,1201,3169,8919,1711,12809,994,2672,7690,1453,1402,124,301,825,152,415,32,108,239,36,374,51,88,165,70
