GeographyCode,DC4103NI0001,DC4103NI0002,DC4103NI0003,DC4103NI0004,DC4103NI0005,DC4103NI0006,DC4103NI0007,DC4103NI0008,DC4103NI0009,DC4103NI0010,DC4103NI0011,DC4103NI0012,DC4103NI0013,DC4103NI0014,DC4103NI0015,DC4103NI0016,DC4103NI0017,DC4103NI0018,DC4103NI0019,DC4103NI0020,DC4103NI0021,DC4103NI0022,DC4103NI0023,DC4103NI0024,DC4103NI0025,DC4103NI0026,DC4103NI0027,DC4103NI0028,DC4103NI0029,DC4103NI0030,DC4103NI0031,DC4103NI0032,DC4103NI0033,DC4103NI0034,DC4103NI0035,DC4103NI0036,DC4103NI0037,DC4103NI0038,DC4103NI0039,DC4103NI0040,DC4103NI0041,DC4103NI0042,DC4103NI0043,DC4103NI0044,DC4103NI0045,DC4103NI0046,DC4103NI0047,DC4103NI0048,DC4103NI0049,DC4103NI0050,DC4103NI0051,DC4103NI0052,DC4103NI0053,DC4103NI0054,DC4103NI0055,DC4103NI0056,DC4103NI0057,DC4103NI0058,DC4103NI0059,DC4103NI0060,DC4103NI0061,DC4103NI0062,DC4103NI0063,DC4103NI0064,DC4103NI0065,DC4103NI0066,DC4103NI0067,DC4103NI0068,DC4103NI0069,DC4103NI0070,DC4103NI0071,DC4103NI0072,DC4103NI0073,DC4103NI0074,DC4103NI0075,DC4103NI0076,DC4103NI0077,DC4103NI0078,DC4103NI0079,DC4103NI0080,DC4103NI0081,DC4103NI0082,DC4103NI0083,DC4103NI0084,DC4103NI0085,DC4103NI0086,DC4103NI0087,DC4103NI0088,DC4103NI0089,DC4103NI0090,DC4103NI0091,DC4103NI0092,DC4103NI0093,DC4103NI0094,DC4103NI0095,DC4103NI0096
N92000002,703275,159659,291016,190196,44227,18177,196414,88164,101268,5754,812,416,78101,41756,34843,1203,183,116,118313,46408,66425,4551,629,300,455076,59020,171692,170554,38356,15454,46826,5557,29256,11143,705,165,92821,7453,37423,42799,4226,920,154863,7920,43977,81945,15224,5797,60336,2906,13147,21019,15409,7855,64228,25717,32529,4883,862,237,36002,9467,15360,8765,1930,480,51785,12475,18056,13888,5059,2307,18980,3542,6110,5532,2556,1240,2055,769,504,431,228,123,3279,1195,1482,528,63,11,27471,6969,9960,7397,2212,933
BHSCT,148328,53341,61963,27057,4644,1323,50611,27682,21995,781,84,69,18213,11770,6298,118,7,20,32398,15912,15697,663,77,49,82487,20167,34591,23099,3671,959,8867,1905,5341,1544,61,16,17382,2705,8183,6019,392,83,22946,2521,8285,10413,1400,327,9155,1020,2978,3119,1559,479,15992,8678,6418,786,82,28,8145,3338,3386,1218,177,26,15230,5492,5377,3177,889,295,4011,1353,1600,791,209,58,1601,634,377,333,165,92,723,398,256,60,7,2,8895,3107,3144,1993,508,143
NHSCT,177914,33276,73877,52554,12725,5482,46858,19509,25412,1613,218,106,19904,10158,9324,337,54,31,26954,9351,16088,1276,164,75,119950,11854,44734,47577,11080,4705,13135,1271,8511,3087,213,53,25610,1543,10066,12467,1250,284,41684,1640,11246,22587,4409,1802,16390,609,3185,5776,4456,2364,14383,4898,7939,1257,221,68,8748,1893,3787,2403,531,134,11106,1913,3731,3364,1427,671,4380,535,1223,1464,775,383,341,80,97,86,55,23,795,238,379,155,19,4,5590,1060,2032,1659,578,261
SEHSCT,136698,24173,56979,42292,9704,3550,36574,13952,21087,1262,185,88,15394,7366,7658,301,48,21,21180,6586,13429,961,137,67,92625,8869,33347,38689,8639,3081,11107,1005,6575,3235,241,51,21276,1127,7856,10873,1157,263,31099,1208,7778,17674,3342,1097,11611,382,2227,4116,3340,1546,11387,3819,6321,1019,186,42,6145,1328,2590,1772,373,82,7499,1352,2545,2341,880,381,3145,488,930,1010,492,225,23,13,5,2,1,2,519,171,237,102,8,1,3812,680,1373,1227,379,153
SHSCT,131129,23463,53579,39607,9846,4634,32965,13426,18076,1187,197,79,13634,6758,6572,240,43,21,19331,6668,11504,947,154,58,88923,8349,32165,35728,8668,4013,7907,731,5076,1948,122,30,16393,1067,6271,8086,808,161,33950,1345,9184,18345,3524,1552,12687,395,2343,4372,3499,2078,11233,3507,6385,1056,219,66,6753,1304,2906,1921,496,126,9241,1688,3338,2692,981,542,3842,525,1218,1205,577,317,19,6,8,3,1,1,652,192,327,115,15,3,4728,965,1785,1369,388,221
WHSCT,109206,25406,44618,28686,7308,3188,29406,13595,14698,911,128,74,10956,5704,4991,207,31,23,18450,7891,9707,704,97,51,71091,9781,26855,25461,6298,2696,5810,645,3753,1329,68,15,12160,1011,5047,5354,619,129,25184,1206,7484,12926,2549,1019,10493,500,2414,3636,2555,1388,11233,4815,5466,765,154,33,6211,1604,2691,1451,353,112,8709,2030,3065,2314,882,418,3602,641,1139,1062,503,257,71,36,17,7,6,5,590,196,283,96,14,1,4446,1157,1626,1149,359,155
BELB,120595,48321,49528,18707,3140,899,42401,24555,17123,598,69,56,14555,9890,4559,86,3,17,27846,14665,12564,512,66,39,64315,18479,27537,15426,2290,583,6375,1577,3742,1019,27,10,13231,2490,6462,3968,262,49,16727,2298,6661,6713,847,208,6962,948,2501,2259,977,277,14184,8117,5371,609,65,22,6836,3049,2800,858,112,17,13879,5287,4868,2683,781,260,3542,1312,1414,612,163,41,1592,627,376,333,165,91,615,359,202,48,4,2,8130,2989,2876,1690,449,126
NEELB,165010,31316,68853,48498,11538,4805,43835,18332,23749,1474,190,90,18592,9510,8703,307,44,28,25243,8822,15046,1167,146,62,110991,11201,41680,43948,10049,4113,12373,1222,8028,2866,206,51,24086,1461,9506,11685,1166,268,38161,1548,10339,20737,3963,1574,14936,583,2939,5324,4042,2048,13410,4629,7379,1143,202,57,8025,1758,3489,2193,470,115,10184,1783,3424,3076,1299,602,3966,500,1106,1327,695,338,338,80,95,86,54,23,737,221,353,140,19,4,5143,982,1870,1523,531,237
SEELB,164431,29193,69414,50642,11208,3974,44784,17079,25959,1445,200,101,19052,9246,9397,333,52,24,25732,7833,16562,1112,148,77,110797,10557,40401,46362,10020,3457,13599,1333,8174,3760,275,57,25427,1342,9577,12924,1287,297,37318,1431,9402,21374,3895,1216,13804,454,2704,4976,3922,1748,13195,4380,7368,1196,203,48,7454,1617,3176,2132,438,91,8850,1557,3054,2835,988,416,3614,529,1116,1189,538,242,32,20,6,2,1,3,627,210,291,114,11,1,4577,798,1641,1530,438,170
SELB,144033,25423,58603,43663,11033,5311,35988,14603,19739,1326,225,95,14946,7406,7193,270,53,24,21042,7197,12546,1056,172,71,97882,9002,35219,39357,9699,4605,8669,780,5559,2169,129,32,17917,1149,6831,8868,892,177,37473,1437,10091,20195,3970,1780,14141,421,2589,4824,3913,2394,12206,3776,6945,1170,238,77,7476,1439,3204,2131,557,145,10163,1818,3645,2980,1109,611,4256,560,1335,1342,657,362,22,6,10,3,2,1,710,209,353,130,15,3,5175,1043,1947,1505,435,245
