GeographyCode,DC2220NI0001,DC2220NI0002,DC2220NI0003,DC2220NI0004,DC2220NI0005,DC2220NI0006,DC2220NI0007,DC2220NI0008,DC2220NI0009,DC2220NI0010,DC2220NI0011,DC2220NI0012,DC2220NI0013,DC2220NI0014,DC2220NI0015,DC2220NI0016,DC2220NI0017,DC2220NI0018,DC2220NI0019,DC2220NI0020,DC2220NI0021,DC2220NI0022,DC2220NI0023,DC2220NI0024,DC2220NI0025,DC2220NI0026,DC2220NI0027,DC2220NI0028,DC2220NI0029,DC2220NI0030,DC2220NI0031,DC2220NI0032,DC2220NI0033,DC2220NI0034,DC2220NI0035,DC2220NI0036,DC2220NI0037,DC2220NI0038,DC2220NI0039,DC2220NI0040,DC2220NI0041,DC2220NI0042,DC2220NI0043,DC2220NI0044,DC2220NI0045,DC2220NI0046,DC2220NI0047,DC2220NI0048,DC2220NI0049,DC2220NI0050,DC2220NI0051,DC2220NI0052,DC2220NI0053,DC2220NI0054,DC2220NI0055,DC2220NI0056,DC2220NI0057,DC2220NI0058,DC2220NI0059,DC2220NI0060,DC2220NI0061,DC2220NI0062,DC2220NI0063,DC2220NI0064,DC2220NI0065,DC2220NI0066,DC2220NI0067,DC2220NI0068,DC2220NI0069,DC2220NI0070,DC2220NI0071,DC2220NI0072,DC2220NI0073,DC2220NI0074,DC2220NI0075,DC2220NI0076,DC2220NI0077,DC2220NI0078,DC2220NI0079,DC2220NI0080,DC2220NI0081,DC2220NI0082,DC2220NI0083,DC2220NI0084,DC2220NI0085,DC2220NI0086,DC2220NI0087,DC2220NI0088,DC2220NI0089,DC2220NI0090,DC2220NI0091,DC2220NI0092,DC2220NI0093,DC2220NI0094,DC2220NI0095,DC2220NI0096,DC2220NI0097,DC2220NI0098,DC2220NI0099,DC2220NI0100,DC2220NI0101,DC2220NI0102,DC2220NI0103,DC2220NI0104
N92000002,1810863,341428,1070413,375826,17740,7023,14871,21167,876577,163465,691362,30121,269,92,891,4242,513390,89638,157374,278508,713,339,1144,3548,533085,105745,346976,90514,362,116,775,2216,18041,2777,14439,710,57,23,81,148,9374,1557,7573,282,2,1,13,60,1772,237,1468,77,2,0,8,13,6712,399,401,226,48,20,5782,40,34417,2759,239,174,17319,6749,7234,48,19770,2139,115,85,17263,60,118,30,7017,209,20,28,20,6668,78,1,7630,411,104,61,36,21,7038,17,20755,941,4896,1753,62,89,584,15419
BHSCT,348204,53550,213719,74585,4094,322,3300,7564,165783,26059,135578,5840,60,6,220,1211,107535,15384,36689,58805,150,18,211,731,96406,14684,68996,15155,81,2,183,486,3107,399,2558,110,4,1,32,52,1843,289,1517,52,0,0,5,18,349,50,288,16,0,0,4,0,1725,59,112,68,3,1,1544,11,6286,555,72,27,4005,304,1348,17,4490,427,31,7,3991,2,27,15,313,9,0,1,1,301,2,0,1483,119,41,19,13,1,1319,2,8047,459,1546,477,20,9,164,6195
NHSCT,463297,94973,303954,60053,4051,863,3448,4232,273012,55011,212697,7497,55,18,218,1031,85771,16130,31709,40336,165,33,203,639,141688,29584,97303,17148,81,15,151,563,4581,773,3665,136,21,0,7,23,2639,461,2135,46,0,0,3,15,440,47,383,11,0,0,0,4,1126,88,93,22,18,0,925,7,7651,667,50,31,3963,818,2128,11,4552,535,30,17,3953,2,15,6,847,25,0,2,2,813,4,1,2252,107,20,12,8,3,2109,4,4058,174,1175,284,13,10,91,2927
SEHSCT,346911,55111,244919,47581,1514,653,1766,3745,208430,31564,172238,7413,43,25,211,1063,65155,9820,26061,31701,99,52,120,496,109137,18086,80181,13429,56,22,155,567,4882,582,4189,93,4,6,9,46,2236,286,1920,36,0,0,1,14,478,56,409,17,0,0,1,5,853,37,100,36,10,0,726,3,3025,208,37,18,1449,610,705,12,1639,166,13,5,1444,4,10,3,639,16,2,4,3,605,9,0,747,26,22,9,2,1,686,9,3433,102,1030,301,7,7,88,2547
SHSCT,358034,70037,180546,96073,5986,4589,4724,3088,138805,28808,105973,5117,80,39,148,583,125957,21959,33387,72696,183,208,443,865,101318,21902,58477,22533,100,66,216,345,2821,494,2098,171,25,14,28,18,1300,215,1027,62,2,1,3,9,282,48,212,21,2,0,3,1,2357,197,59,61,15,18,2017,17,13560,994,54,71,5857,4435,2169,4,6733,745,30,43,5838,44,45,3,4619,143,15,20,8,4380,59,0,2208,106,9,8,11,11,2065,1,3022,115,720,372,16,54,217,2063
WHSCT,294417,67757,127275,97534,2095,596,1633,2538,90547,22023,64876,4254,31,4,94,354,128972,26345,29528,74970,116,28,167,817,84536,21489,42019,22249,44,11,70,255,2650,529,1929,200,3,2,5,9,1356,306,974,86,0,0,1,4,223,36,176,12,0,0,0,3,651,18,37,39,2,1,570,2,3895,335,26,27,2045,582,884,4,2356,266,11,13,2037,8,21,3,599,16,3,1,6,569,4,0,940,53,12,13,2,5,859,1,2195,91,425,319,6,9,24,1687
BELB,280962,45310,162711,66716,3697,271,2979,6570,121272,20327,97739,4444,55,5,177,963,97682,14558,32472,53517,136,18,184,636,75356,12163,52155,12981,69,2,159,372,2538,326,2069,100,4,1,31,51,1474,243,1198,44,0,0,3,13,282,39,234,14,0,0,3,0,1540,53,97,58,3,0,1385,11,5709,513,62,26,3623,257,1249,12,4073,397,26,7,3614,2,23,10,262,5,0,1,1,254,2,0,1374,111,36,18,8,1,1224,2,7043,420,1270,406,16,7,148,5452
NEELB,426284,85964,284805,51861,3794,713,2766,4020,259216,51622,202592,7102,54,16,210,997,73354,13460,27580,34488,149,30,157,573,129798,26365,90761,14832,79,13,128,540,4294,689,3472,126,21,0,6,22,2508,429,2044,38,0,0,3,14,424,46,370,9,0,0,0,4,845,57,82,20,8,0,696,7,6805,614,46,25,3718,679,1728,11,4284,516,27,15,3710,1,15,6,703,20,0,1,2,675,4,1,1818,78,19,9,6,3,1709,4,3831,167,1105,273,12,3,64,2796
SEELB,414153,63351,295927,55450,1911,704,2087,4739,252941,37296,210077,8809,48,26,254,1311,75008,10646,30278,36989,113,52,147,591,130187,20607,97022,15603,68,22,179,681,5451,655,4678,103,4,6,10,47,2605,332,2239,44,0,0,3,19,545,67,463,19,0,0,2,5,1038,43,115,46,10,1,885,3,3602,250,47,19,1831,657,804,17,2056,196,18,5,1821,4,14,8,690,20,2,4,3,652,9,0,856,34,27,10,7,1,781,9,4437,141,1306,372,11,9,104,3290
SELB,395047,79046,199695,104265,6243,4739,5406,3300,152601,32197,116078,5512,81,41,156,617,138374,24629,37516,78544,199,211,489,931,113208,25121,65019,24849,102,68,239,368,3108,578,2291,181,25,14,29,19,1431,247,1118,70,2,1,3,10,298,49,225,23,2,0,3,1,2638,228,70,63,25,18,2246,17,14406,1047,58,77,6102,4574,2569,4,7001,764,33,45,6081,45,45,3,4763,148,15,21,8,4518,59,0,2642,135,10,11,13,11,2465,1,3249,122,790,383,17,61,244,2194
