GeographyCode,DC2229NI0001,DC2229NI0002,DC2229NI0003,DC2229NI0004,DC2229NI0005,DC2229NI0006,DC2229NI0007,DC2229NI0008,DC2229NI0009,DC2229NI0010,DC2229NI0011,DC2229NI0012,DC2229NI0013,DC2229NI0014,DC2229NI0015,DC2229NI0016,DC2229NI0017,DC2229NI0018,DC2229NI0019,DC2229NI0020,DC2229NI0021,DC2229NI0022,DC2229NI0023,DC2229NI0024,DC2229NI0025,DC2229NI0026,DC2229NI0027,DC2229NI0028,DC2229NI0029,DC2229NI0030,DC2229NI0031,DC2229NI0032,DC2229NI0033,DC2229NI0034,DC2229NI0035,DC2229NI0036,DC2229NI0037,DC2229NI0038,DC2229NI0039,DC2229NI0040,DC2229NI0041,DC2229NI0042,DC2229NI0043,DC2229NI0044,DC2229NI0045,DC2229NI0046,DC2229NI0047,DC2229NI0048,DC2229NI0049,DC2229NI0050,DC2229NI0051,DC2229NI0052,DC2229NI0053,DC2229NI0054,DC2229NI0055,DC2229NI0056,DC2229NI0057,DC2229NI0058,DC2229NI0059,DC2229NI0060,DC2229NI0061,DC2229NI0062,DC2229NI0063,DC2229NI0064,DC2229NI0065,DC2229NI0066,DC2229NI0067,DC2229NI0068,DC2229NI0069,DC2229NI0070,DC2229NI0071,DC2229NI0072
N92000002,1735711,70501,24677,7414,64847,17459,184898,1550813,295861,8539,3343,821,7746,2071,22520,273341,1017111,23868,6853,1968,15164,5058,52911,964200,334631,34055,13031,4137,38946,9289,99458,235173,30072,2370,762,282,1753,586,5753,24319,4128,85,24,4,53,22,188,3940,2170,156,69,22,239,48,534,1636,37120,1067,483,143,657,270,2620,34500,14618,361,112,37,289,115,914,13704
BHSCT,334560,14158,5607,1474,15326,3764,40329,294231,46311,1409,606,114,1404,315,3848,42463,201444,4924,1588,377,3436,1080,11405,190039,65151,6864,3068,860,9710,2112,22614,42537,7029,569,200,81,481,132,1463,5566,1131,26,7,1,14,12,60,1071,483,27,9,3,62,9,110,373,7174,202,93,23,117,57,492,6682,5837,137,36,15,102,47,337,5500
NHSCT,444578,14493,4974,1429,11713,3214,35823,408755,83182,2165,807,166,1684,455,5277,77905,291105,5906,1611,470,3472,1183,12642,278463,51632,5503,2218,691,5973,1387,15772,35860,6634,531,159,48,322,109,1169,5465,1010,16,6,0,18,3,43,967,374,22,14,6,37,5,84,290,7837,268,140,41,145,50,644,7193,2804,82,19,7,62,22,192,2612
SEHSCT,333088,8713,2864,820,7031,1960,21388,311700,47229,951,324,93,855,240,2463,44766,232588,3705,1006,263,2043,685,7702,224886,39190,3507,1318,410,3778,913,9926,29264,6759,354,141,31,226,83,835,5924,1019,14,2,0,6,3,25,994,313,13,10,2,16,5,46,267,3607,104,41,16,67,15,243,3364,2383,65,22,5,40,16,148,2235
SHSCT,341383,18297,6143,2159,17407,4619,48625,292758,59617,1950,796,246,2038,538,5568,54049,171039,5316,1554,545,3686,1174,12275,158764,87506,9976,3427,1225,10836,2608,28072,59434,5678,556,148,77,443,150,1374,4304,574,15,4,1,8,2,30,544,510,46,27,5,64,15,157,353,14461,404,170,55,279,114,1022,13439,1998,34,17,5,53,18,127,1871
WHSCT,282102,14840,5089,1532,13370,3902,38733,243369,59522,2064,810,202,1765,523,5364,54158,120935,4017,1094,313,2527,936,8887,112048,91152,8205,3000,951,8649,2269,23074,68078,3972,360,114,45,281,112,912,3060,394,14,5,2,7,2,30,364,490,48,9,6,60,14,137,353,4041,89,39,8,49,34,219,3822,1596,43,18,5,32,12,110,1486
BELB,269804,12777,5198,1345,14141,3376,36837,232967,39344,1333,581,106,1343,293,3656,35688,152852,4288,1432,334,3055,933,10042,142810,58907,6291,2876,795,9029,1920,20911,37996,5761,508,175,72,448,116,1319,4442,890,22,5,1,12,12,52,838,406,23,8,3,55,8,97,309,6486,183,87,20,105,52,447,6039,5158,129,34,14,94,42,313,4845
NEELB,409258,12457,4208,1236,10036,2754,30691,378567,75346,1874,677,143,1435,379,4508,70838,272846,5156,1367,416,2973,1039,10951,261895,44192,4601,1860,586,5109,1170,13326,30866,6098,472,137,42,273,95,1019,5079,954,13,6,0,16,2,37,917,344,16,14,6,32,5,73,271,6803,248,128,37,138,43,594,6209,2675,77,19,6,60,21,183,2492
SEELB,397844,10094,3273,949,8216,2348,24880,372964,54196,1027,349,101,916,262,2655,51541,281180,4341,1162,306,2424,832,9065,272115,45434,4080,1510,475,4459,1105,11629,33805,8027,415,166,40,259,99,979,7048,1260,18,4,0,8,3,33,1227,390,17,11,2,23,6,59,331,4295,123,47,19,79,20,288,4007,3062,73,24,6,48,21,172,2890
SELB,376703,20333,6909,2352,19084,5079,53757,322946,67453,2241,926,269,2287,614,6337,61116,189298,6066,1798,599,4185,1318,13966,175332,94946,10878,3785,1330,11700,2825,30518,64428,6214,615,170,83,492,164,1524,4690,630,18,4,1,10,3,36,594,540,52,27,5,69,15,168,372,15495,424,182,59,286,121,1072,14423,2127,39,17,6,55,19,136,1991
