GeographyCode,DC2249NI0001,DC2249NI0002,DC2249NI0003,DC2249NI0004,DC2249NI0005,DC2249NI0006,DC2249NI0007,DC2249NI0008,DC2249NI0009,DC2249NI0010,DC2249NI0011,DC2249NI0012,DC2249NI0013,DC2249NI0014,DC2249NI0015,DC2249NI0016,DC2249NI0017,DC2249NI0018,DC2249NI0019,DC2249NI0020,DC2249NI0021,DC2249NI0022,DC2249NI0023,DC2249NI0024,DC2249NI0025,DC2249NI0026,DC2249NI0027,DC2249NI0028,DC2249NI0029,DC2249NI0030,DC2249NI0031,DC2249NI0032,DC2249NI0033,DC2249NI0034,DC2249NI0035,DC2249NI0036,DC2249NI0037,DC2249NI0038,DC2249NI0039,DC2249NI0040,DC2249NI0041,DC2249NI0042,DC2249NI0043,DC2249NI0044,DC2249NI0045,DC2249NI0046,DC2249NI0047,DC2249NI0048,DC2249NI0049,DC2249NI0050,DC2249NI0051,DC2249NI0052,DC2249NI0053,DC2249NI0054,DC2249NI0055,DC2249NI0056,DC2249NI0057,DC2249NI0058,DC2249NI0059,DC2249NI0060,DC2249NI0061,DC2249NI0062,DC2249NI0063,DC2249NI0064,DC2249NI0065,DC2249NI0066,DC2249NI0067,DC2249NI0068,DC2249NI0069,DC2249NI0070,DC2249NI0071,DC2249NI0072,DC2249NI0073,DC2249NI0074,DC2249NI0075,DC2249NI0076,DC2249NI0077,DC2249NI0078,DC2249NI0079,DC2249NI0080,DC2249NI0081,DC2249NI0082,DC2249NI0083,DC2249NI0084,DC2249NI0085,DC2249NI0086,DC2249NI0087,DC2249NI0088,DC2249NI0089,DC2249NI0090
N92000002,1810863,738033,752555,345101,248821,54253,104380,14859,183164,122252,341428,142793,143356,66914,50233,9129,17080,1467,28825,24987,1485873,606933,615536,281667,201270,45656,86943,10280,154707,98417,1070413,279508,583395,270134,190997,43410,78854,8312,128345,70853,375826,301777,28900,11265,10006,2191,5438,1516,19011,24622,17740,14810,355,32,33,3,287,84,1406,1085,7023,5253,226,19,24,2,181,34,974,536,14871,5585,2660,217,210,50,2183,334,4971,1321,21167,6531,4843,982,731,282,2848,3878,4781,1134
BHSCT,348204,130813,134436,57385,43155,14653,19243,5025,48241,29689,53550,20105,21727,9503,7320,2267,2637,414,6347,4957,296020,113038,113637,48518,36353,12487,16279,2904,41458,24983,213719,52517,107771,46551,34639,11955,14626,2283,33050,18098,74585,56394,5197,1904,1672,519,1102,460,6294,6240,4094,3113,122,8,5,1,108,46,544,269,322,179,20,2,0,0,18,3,103,17,3300,835,527,53,37,12,425,112,1467,359,7564,1687,1371,235,158,72,906,1953,2076,477
NHSCT,463297,141816,240423,127421,65547,14406,33049,3412,50147,27499,94973,29506,50018,27202,14265,2397,6154,409,8952,6088,372369,114689,192178,101255,51884,12129,26910,2478,41345,21679,303954,63551,184073,97917,49675,11628,24853,2118,36452,17760,60053,45748,7270,3267,2159,489,1355,296,3401,3338,4051,3495,44,6,7,1,30,3,275,234,863,641,30,3,2,0,25,9,105,78,3448,1254,761,62,41,11,647,52,1112,269,4232,1234,1164,297,167,68,632,677,993,164
SEHSCT,346911,96805,175255,83481,54136,12719,24919,2856,50833,21162,55111,17126,26464,13162,8254,1756,3292,278,7395,3848,296433,81436,151084,71512,46771,11143,21658,2292,44054,17567,244919,46234,143083,68342,44261,10515,19965,1969,39124,14509,47581,33056,7479,3098,2451,614,1316,280,3929,2837,1514,1257,53,10,5,0,38,5,139,60,653,430,31,8,4,0,19,5,143,44,1766,459,438,54,50,14,320,33,719,117,3745,1043,1231,276,200,97,658,464,839,168
SHSCT,358034,185603,123822,47461,48829,7575,19957,2091,21744,24774,70037,34645,26006,10390,10526,1457,3633,237,3899,5250,291918,153936,98746,37493,38728,6201,16324,1602,17883,19751,180546,60819,93083,35785,36822,5874,14602,1210,12996,12438,96073,82171,4797,1658,1829,312,998,259,2755,6091,5986,5080,91,7,10,1,73,21,360,434,4589,3593,109,4,17,2,86,11,525,351,4724,2273,666,39,50,12,565,101,1247,437,3088,1315,690,111,144,29,406,376,503,204
WHSCT,294417,182996,78619,29353,37154,4900,7212,1475,12199,19128,67757,41411,19141,6657,9868,1252,1364,129,2232,4844,229133,143834,59891,22889,27534,3696,5772,1004,9967,14437,127275,56387,55385,21539,25600,3438,4808,732,6723,8048,97534,84408,4157,1338,1895,257,667,221,2632,6116,2095,1865,45,1,6,0,38,9,88,88,596,410,36,2,1,0,33,6,98,46,1633,764,268,9,32,1,226,36,426,139,2538,1252,387,63,62,16,246,408,370,121
BELB,280962,117712,95919,40463,32035,10334,13087,4258,37239,25834,45310,19011,16528,7130,5803,1702,1893,358,4988,4425,236374,100743,79997,33787,26635,8685,10890,2313,31736,21585,162711,45731,75545,32328,25360,8292,9565,1775,24446,15214,66716,51300,3867,1410,1249,381,827,387,5409,5753,3697,2812,106,8,0,1,97,43,482,254,271,152,16,1,0,0,15,3,83,17,2979,748,463,40,26,11,386,105,1316,347,6570,1403,1109,184,125,60,740,1773,1846,439
NEELB,426284,121437,227855,122568,60074,13937,31276,3257,48555,25180,85964,24667,46841,26042,12825,2262,5712,379,8602,5475,343939,98811,182713,97524,47817,11791,25581,2369,40104,19942,284805,55564,175042,94331,45765,11304,23642,2028,35604,16567,51861,38596,6905,3128,2013,475,1289,283,3213,2864,3794,3274,39,6,5,1,27,2,259,220,713,522,24,1,2,0,21,9,94,64,2766,855,703,58,32,11,602,47,934,227,4020,1124,1131,289,160,67,615,655,956,154
SEELB,414153,109906,213772,100403,65256,17038,31075,3623,61835,25017,63351,18220,31663,15535,9771,2321,4036,334,8754,4380,356079,93731,184724,86243,56489,14945,27047,2883,53776,20965,295927,53020,175309,82565,53540,14178,25026,2477,47728,17393,55450,38150,8809,3592,2874,752,1591,353,4814,3324,1911,1558,69,10,10,0,49,8,201,75,704,457,35,9,4,0,22,5,163,44,2087,546,502,67,61,15,359,40,870,129,4739,1327,1493,327,233,109,824,644,1069,206
SELB,395047,205982,136390,52314,54302,8044,21730,2246,23336,27093,79046,39484,29183,11550,11966,1592,4075,267,4249,5863,320348,169814,108211,41224,42795,6539,17653,1711,19124,21488,199695,68806,102114,39371,40732,6198,15813,1300,13844,13631,104265,89323,5162,1797,1975,326,1064,272,2943,6565,6243,5301,96,7,12,1,76,22,376,448,4739,3712,115,6,17,2,90,11,536,365,5406,2672,724,43,59,12,610,106,1425,479,3300,1425,723,119,151,30,423,398,540,214
