GeographyCode,DC2236NI0001,DC2236NI0002,DC2236NI0003,DC2236NI0004,DC2236NI0005,DC2236NI0006,DC2236NI0007,DC2236NI0008,DC2236NI0009,DC2236NI0010,DC2236NI0011,DC2236NI0012,DC2236NI0013,DC2236NI0014,DC2236NI0015,DC2236NI0016,DC2236NI0017,DC2236NI0018,DC2236NI0019,DC2236NI0020,DC2236NI0021,DC2236NI0022,DC2236NI0023,DC2236NI0024,DC2236NI0025,DC2236NI0026,DC2236NI0027,DC2236NI0028,DC2236NI0029,DC2236NI0030,DC2236NI0031,DC2236NI0032,DC2236NI0033,DC2236NI0034,DC2236NI0035,DC2236NI0036,DC2236NI0037,DC2236NI0038,DC2236NI0039,DC2236NI0040,DC2236NI0041,DC2236NI0042,DC2236NI0043,DC2236NI0044,DC2236NI0045,DC2236NI0046,DC2236NI0047,DC2236NI0048,DC2236NI0049,DC2236NI0050,DC2236NI0051,DC2236NI0052,DC2236NI0053,DC2236NI0054,DC2236NI0055,DC2236NI0056,DC2236NI0057,DC2236NI0058,DC2236NI0059,DC2236NI0060,DC2236NI0061,DC2236NI0062,DC2236NI0063
95KK,35320,7836,18259,7440,536,56,30,1034,129,34089,7762,18191,7406,530,54,29,59,58,1231,74,68,34,6,2,1,975,71,324,24,19,29,6,2,1,223,20,466,24,30,3,0,0,0,378,31,348,18,19,2,0,0,0,291,18,93,8,0,0,0,0,0,83,2
95LL,88565,14589,51299,16007,1345,187,65,4414,659,83203,14246,50999,15847,1336,157,58,290,270,5362,343,300,160,9,30,7,4124,389,1412,61,127,106,6,15,6,917,174,2182,125,86,32,1,11,1,1784,142,1432,126,60,17,1,4,0,1167,57,336,31,27,5,1,0,0,256,16
95MM,103341,17887,37448,44365,1575,123,184,942,817,101409,17765,37211,44061,1565,104,174,108,421,1932,122,237,304,10,19,10,834,396,935,51,144,262,8,12,9,253,196,578,33,55,29,1,7,1,291,161,325,23,27,8,0,0,0,233,34,94,15,11,5,1,0,0,57,5
95NN,66882,12110,38070,13883,1435,149,88,745,402,65748,12033,37956,13768,1428,138,85,89,251,1134,77,114,115,7,11,3,656,151,463,25,48,98,4,8,1,215,64,400,22,36,13,1,3,2,254,69,222,18,26,3,1,0,0,162,12,49,12,4,1,1,0,0,25,6
95OO,55075,10827,23681,14621,855,69,104,4612,306,49935,10560,23560,14427,847,56,100,258,127,5140,267,121,194,8,13,4,4354,179,1215,62,66,142,7,7,3,850,78,2018,104,42,31,1,6,0,1764,70,1601,75,11,12,0,0,1,1476,26,306,26,2,9,0,0,0,264,5
95PP,59282,13637,27171,15857,783,90,93,1366,285,57652,13574,27095,15773,779,80,86,107,158,1630,63,76,84,4,10,7,1259,127,565,21,43,67,3,8,2,358,63,653,18,22,13,1,2,2,543,52,342,13,10,1,0,0,3,305,10,70,11,1,3,0,0,0,53,2
95QQ,31065,5930,22447,1879,425,77,15,191,101,30819,5919,22413,1870,424,74,15,37,67,246,11,34,9,1,3,0,154,34,114,5,11,8,1,2,0,68,19,97,4,12,0,0,1,0,71,9,33,2,9,1,0,0,0,15,6,2,0,2,0,0,0,0,0,0
95RR,32150,7570,17451,6270,390,38,41,236,154,31787,7545,17414,6248,387,38,41,19,95,363,25,37,22,3,0,0,217,59,145,9,19,13,1,0,0,65,38,117,10,7,6,1,0,0,83,10,72,4,9,2,0,0,0,51,6,29,2,2,1,1,0,0,18,5
95SS,114825,15669,76369,17770,2298,300,110,1472,837,112324,15524,76033,17472,2287,248,102,190,468,2501,145,336,298,11,52,8,1282,369,1230,55,176,255,9,37,7,480,211,830,52,97,36,0,10,1,512,122,374,17,57,3,2,5,0,255,35,67,21,6,4,0,0,0,35,1
95TT,42883,10536,19186,11199,784,53,90,893,142,41691,10426,19121,11084,782,45,88,48,97,1192,110,65,115,2,8,2,845,45,411,47,35,109,2,5,2,190,21,411,36,16,6,0,3,0,333,17,319,20,11,0,0,0,0,283,5,51,7,3,0,0,0,0,39,2
95UU,16423,4239,8184,3476,298,15,15,111,85,16205,4218,8155,3439,295,15,15,16,52,218,21,29,37,3,0,0,95,33,118,9,19,33,3,0,0,39,15,52,2,6,3,0,0,0,32,9,36,3,1,0,0,0,0,23,9,12,7,3,1,0,0,0,1,0
95VV,94839,15583,35743,37648,1796,119,254,3138,558,91046,15329,35620,37430,1792,107,246,211,311,3793,254,123,218,4,12,8,2927,247,1225,52,67,177,4,8,7,792,118,1439,90,25,29,0,4,1,1192,98,881,72,21,5,0,0,0,767,16,248,40,10,7,0,0,0,176,15
95WW,81578,10307,61149,6906,1214,223,61,912,806,79775,10246,60836,6807,1207,202,55,111,311,1803,61,313,99,7,21,6,801,495,714,16,142,80,7,9,3,234,223,685,26,88,11,0,11,2,354,193,332,12,59,5,0,1,1,180,74,72,7,24,3,0,0,0,33,5
95XX,76068,7748,60645,3919,1813,340,78,745,780,74776,7701,60431,3895,1802,304,75,142,426,1292,47,214,24,11,36,3,603,354,625,12,91,18,8,23,2,280,191,452,21,62,2,2,13,1,226,125,173,11,42,4,1,0,0,81,34,42,3,19,0,0,0,0,16,4
95YY,49120,11037,22128,13529,788,96,136,1184,222,47566,10874,22049,13418,785,91,134,74,141,1554,163,79,111,3,5,2,1110,81,438,43,51,75,3,3,0,227,36,598,37,14,22,0,1,2,496,26,448,66,11,13,0,1,0,342,15,70,17,3,1,0,0,0,45,4
95ZZ,38209,9391,16737,11131,436,47,36,313,118,37681,9325,16693,11057,434,46,34,25,67,528,66,44,74,2,1,2,288,51,223,32,33,61,2,1,2,72,20,160,14,5,5,0,0,0,111,25,113,6,3,4,0,0,0,94,6,32,14,3,4,0,0,0,11,0
