GeographyCode,DC2235NI0001,DC2235NI0002,DC2235NI0003,DC2235NI0004,DC2235NI0005,DC2235NI0006,DC2235NI0007,DC2235NI0008,DC2235NI0009,DC2235NI0010,DC2235NI0011,DC2235NI0012,DC2235NI0013,DC2235NI0014,DC2235NI0015,DC2235NI0016,DC2235NI0017,DC2235NI0018,DC2235NI0019,DC2235NI0020,DC2235NI0021,DC2235NI0022,DC2235NI0023,DC2235NI0024,DC2235NI0025,DC2235NI0026,DC2235NI0027,DC2235NI0028,DC2235NI0029,DC2235NI0030,DC2235NI0031,DC2235NI0032,DC2235NI0033,DC2235NI0034,DC2235NI0035,DC2235NI0036,DC2235NI0037,DC2235NI0038,DC2235NI0039,DC2235NI0040,DC2235NI0041,DC2235NI0042,DC2235NI0043,DC2235NI0044,DC2235NI0045,DC2235NI0046,DC2235NI0047,DC2235NI0048,DC2235NI0049,DC2235NI0050,DC2235NI0051,DC2235NI0052,DC2235NI0053,DC2235NI0054,DC2235NI0055,DC2235NI0056
UKN02,374966,45825,285267,43667,2021,421,1829,4786,367324,45506,283685,43110,117,30,533,2946,7642,319,1582,557,1904,391,1296,1840,3582,101,818,454,535,116,745,989,2624,121,421,73,854,187,396,629,1194,60,269,22,443,78,132,203,242,37,74,8,72,10,23,19
UKN03,420580,72950,283992,58579,4095,1728,3789,3745,408237,72154,282855,58100,155,82,569,2456,12343,796,1137,479,3940,1646,3220,1289,3746,157,511,369,811,283,1094,627,4804,290,331,71,1735,665,1274,480,3084,248,216,28,1153,566,738,148,709,101,79,11,241,132,114,34
UKN04,277050,57734,140560,78063,1782,145,1086,2413,272011,57308,139961,77491,56,16,241,1577,5039,426,599,572,1726,129,845,836,2079,133,352,472,382,28,379,404,1615,111,139,62,657,48,295,320,1041,109,76,21,558,46,139,96,304,73,32,17,129,7,32,16
UKN05,393311,80008,182286,121780,5148,4107,4840,3150,376695,78969,181571,120850,153,190,634,2208,16616,1039,715,930,4995,3917,4206,942,4770,269,387,736,1126,776,1132,439,6341,340,202,131,2090,1624,1620,362,4539,298,103,41,1471,1296,1229,106,966,132,23,22,308,221,225,35
95AA,51042,8058,34481,7629,547,297,477,637,49238,7958,34290,7548,23,10,65,413,1804,100,191,81,524,287,412,224,590,16,100,68,107,37,146,127,681,46,51,8,236,111,157,75,454,27,31,3,164,114,97,19,79,11,9,2,17,25,12,3
95BB,75313,11702,58960,4881,173,158,331,614,74323,11663,58748,4856,14,12,90,405,990,39,212,25,159,146,241,209,385,16,93,19,38,31,112,99,336,7,66,3,70,49,74,79,217,8,38,2,49,50,49,26,52,8,15,1,2,16,6,5
95CC,56792,10552,30028,15174,495,709,580,404,54716,10444,29928,15055,15,36,100,269,2076,108,100,119,480,673,480,135,592,20,45,94,107,133,146,63,756,31,34,19,170,270,183,52,600,34,17,4,158,233,139,15,128,23,4,2,45,37,12,5
95DD,61601,12495,42892,5047,788,44,872,458,59509,12326,42751,5015,15,3,64,311,2092,169,141,32,773,41,808,147,516,22,54,27,137,5,223,63,844,64,42,5,300,20,346,71,573,50,30,0,263,9,211,10,159,33,15,0,73,7,28,3
95EE,29937,7470,18864,3540,215,6,107,101,29495,7421,18816,3517,10,0,21,73,442,49,48,23,205,6,86,28,126,5,24,18,39,2,27,14,144,9,13,3,67,2,40,10,136,21,10,1,80,1,19,4,36,14,1,1,19,1,0,0
95FF,46112,8066,32196,5852,287,89,157,337,45397,8009,32114,5823,13,3,48,243,715,57,82,29,274,86,109,94,266,12,40,24,56,25,62,59,264,22,21,5,137,32,30,20,153,17,16,0,69,21,17,14,32,6,5,0,12,8,0,1
95GG,269804,39344,159583,65147,3448,260,2909,6314,256904,38424,157895,63666,152,17,508,3164,12900,920,1688,1481,3296,243,2401,3150,6083,266,932,1284,923,100,1289,1486,4427,279,427,156,1538,85,813,1193,1944,293,229,25,707,51,270,387,446,82,100,16,128,7,29,84
95HH,37739,5134,30736,1830,157,19,155,380,37226,5116,30636,1816,14,0,40,253,513,18,100,14,143,19,115,127,220,5,38,8,37,8,71,68,183,5,29,4,64,8,32,48,84,7,17,1,36,3,10,10,26,1,16,1,6,0,2,1
95II,64756,6967,50116,7604,360,48,312,965,63223,6919,49639,7532,20,5,84,576,1533,48,477,72,340,43,228,389,793,13,275,54,111,9,150,231,474,17,108,13,162,20,58,107,231,13,85,5,57,14,17,43,35,5,9,0,10,0,3,8
95JJ,56990,11177,38924,6276,738,21,305,658,55434,11034,38763,6199,21,2,76,417,1556,143,161,77,717,19,229,241,532,27,84,58,156,7,126,100,564,43,43,12,298,5,70,98,359,52,24,4,212,5,25,37,101,21,10,3,51,2,8,6
95KK,35320,7836,18856,8011,241,140,659,209,34089,7762,18780,7970,7,4,52,137,1231,74,76,41,234,136,607,72,324,24,27,36,48,33,144,21,466,24,30,3,103,59,216,31,348,18,19,2,68,40,183,18,93,8,0,0,15,4,64,2
95LL,88565,14589,52839,17424,1955,993,1483,892,83203,14246,52499,17248,72,40,188,474,5362,343,340,176,1883,953,1295,418,1412,61,149,118,391,156,375,189,2182,125,98,34,848,402,536,152,1432,126,65,18,522,324,321,61,336,31,28,6,122,71,63,16
95MM,103341,17887,39160,46138,480,64,411,1111,101409,17765,38890,45810,19,5,94,689,1932,122,270,328,461,59,317,422,935,51,166,281,96,13,146,215,578,33,64,32,158,21,113,168,325,23,28,9,164,21,48,34,94,15,12,6,43,4,10,5
95NN,66882,12110,39670,15422,309,137,316,622,65748,12033,39537,15296,14,14,73,462,1134,77,133,126,295,123,243,160,463,25,61,104,71,24,124,69,400,22,40,16,125,49,81,73,222,18,27,4,84,45,33,12,49,12,5,2,15,5,5,6
95OO,55075,10827,24615,15588,1208,1817,1599,465,49935,10560,24470,15381,27,85,155,274,5140,267,145,207,1181,1732,1444,191,1215,62,80,152,260,315,276,87,2018,104,50,33,468,708,589,75,1601,75,13,13,369,611,497,24,306,26,2,9,84,98,82,5
95PP,59282,13637,28055,16744,603,345,441,445,57652,13574,27965,16649,23,11,92,305,1630,63,90,95,580,334,349,140,565,21,54,72,157,69,133,72,653,18,25,16,266,141,139,53,342,13,10,4,137,110,58,13,70,11,1,3,20,14,19,2
95QQ,31065,5930,22954,2324,36,10,153,185,30819,5919,22916,2314,4,0,41,148,246,11,38,10,32,10,112,37,114,5,14,9,11,5,52,21,97,4,13,0,19,2,50,10,33,2,9,1,2,3,10,6,2,0,2,0,0,0,0,0
95RR,32150,7570,17885,6707,132,26,80,231,31787,7545,17845,6682,2,2,17,172,363,25,40,25,130,24,63,59,145,9,20,14,39,4,22,38,117,10,8,7,53,7,23,10,72,4,9,2,30,13,8,6,29,2,3,2,8,0,10,5
95SS,114825,15669,78998,20209,646,283,570,1218,112324,15524,78596,19889,38,21,154,795,2501,145,402,320,608,262,416,423,1230,55,224,273,179,77,228,251,830,52,108,38,245,130,137,131,374,17,64,5,163,50,42,40,67,21,6,4,21,5,9,1
95TT,42883,10536,20026,12076,399,228,268,283,41691,10426,19951,11957,3,11,36,228,1192,110,75,119,396,217,232,55,411,47,42,113,71,55,64,28,411,36,19,6,167,83,83,20,319,20,11,0,140,71,72,5,51,7,3,0,18,8,13,2
95UU,16423,4239,8503,3795,45,16,52,113,16205,4218,8470,3754,1,3,14,80,218,21,33,41,44,13,38,33,118,9,22,36,13,2,24,15,52,2,6,3,15,8,9,9,36,3,2,1,15,3,5,9,12,7,3,1,1,0,0,0
95VV,94839,15583,37681,39721,1648,751,770,900,91046,15329,37540,39489,63,37,139,636,3793,254,141,232,1585,714,631,264,1225,52,81,190,402,145,248,130,1439,90,29,30,658,312,222,103,881,72,21,5,423,200,144,16,248,40,10,7,102,57,17,15
95WW,81578,10307,62595,8190,584,35,309,1074,79775,10246,62254,8078,32,1,91,555,1803,61,341,112,552,34,218,519,714,16,158,90,119,7,110,233,685,26,99,13,256,15,84,205,332,12,60,6,149,8,23,76,72,7,24,3,28,4,1,5
95XX,76068,7748,62822,5834,274,36,483,1149,74776,7701,62560,5795,13,3,164,767,1292,47,262,39,261,33,319,382,625,12,123,29,89,15,186,206,452,21,77,5,127,14,85,138,173,11,43,5,38,3,40,34,42,3,19,0,7,1,8,4
95YY,49120,11037,23025,14466,554,117,523,444,47566,10874,22937,14349,15,6,60,359,1554,163,88,117,539,111,463,85,438,43,58,79,81,26,121,38,598,37,15,24,258,51,188,28,448,66,12,13,176,31,136,15,70,17,3,1,24,3,18,4
95ZZ,38209,9391,17224,11607,172,12,131,199,37681,9325,17177,11529,3,4,19,146,528,66,47,78,169,8,112,53,223,32,36,65,39,0,34,22,160,14,5,5,66,5,40,25,113,6,3,4,57,3,34,6,32,14,3,4,7,0,4,0
