GeographyCode,DC2235NI0001,DC2235NI0002,DC2235NI0003,DC2235NI0004,DC2235NI0005,DC2235NI0006,DC2235NI0007,DC2235NI0008,DC2235NI0009,DC2235NI0010,DC2235NI0011,DC2235NI0012,DC2235NI0013,DC2235NI0014,DC2235NI0015,DC2235NI0016,DC2235NI0017,DC2235NI0018,DC2235NI0019,DC2235NI0020,DC2235NI0021,DC2235NI0022,DC2235NI0023,DC2235NI0024,DC2235NI0025,DC2235NI0026,DC2235NI0027,DC2235NI0028,DC2235NI0029,DC2235NI0030,DC2235NI0031,DC2235NI0032,DC2235NI0033,DC2235NI0034,DC2235NI0035,DC2235NI0036,DC2235NI0037,DC2235NI0038,DC2235NI0039,DC2235NI0040,DC2235NI0041,DC2235NI0042,DC2235NI0043,DC2235NI0044,DC2235NI0045,DC2235NI0046,DC2235NI0047,DC2235NI0048,DC2235NI0049,DC2235NI0050,DC2235NI0051,DC2235NI0052,DC2235NI0053,DC2235NI0054,DC2235NI0055,DC2235NI0056
N92000002,1735711,295861,1051688,367236,16494,6661,14453,20408,1681171,292361,1045967,363217,633,335,2485,12351,54540,3500,5721,4019,15861,6326,11968,8057,20260,926,3000,3315,3777,1303,4639,3945,19811,1141,1520,493,6874,2609,4398,2984,11802,1008,893,137,4332,2037,2508,940,2667,425,308,74,878,377,423,188
BHSCT,334560,46311,209699,72751,3808,308,3221,7279,320127,45343,207534,71198,172,22,592,3740,14433,968,2165,1553,3636,286,2629,3539,6876,279,1207,1338,1034,109,1439,1717,4901,296,535,169,1700,105,871,1300,2175,306,314,30,764,65,287,430,481,87,109,16,138,7,32,92
NHSCT,444578,83182,298831,58718,3750,816,3357,4098,433481,82426,297627,58168,130,34,500,2615,11097,756,1204,550,3620,782,2857,1483,3665,176,563,463,738,161,987,690,4127,259,345,57,1525,313,1087,577,2674,212,213,19,1129,257,655,194,631,109,83,11,228,51,128,22
SEHSCT,333088,47229,240450,46346,1402,614,1700,3603,327171,46921,239441,45836,79,50,481,2429,5917,308,1009,510,1323,564,1219,1174,2703,108,501,425,377,147,650,625,2018,102,291,62,567,242,377,421,986,54,172,16,334,148,164,112,210,44,45,7,45,27,28,16
SHSCT,341383,59617,177359,93759,5593,4359,4589,2998,324297,58588,176551,92996,190,201,630,1896,17086,1029,808,763,5403,4158,3959,1102,4710,207,395,578,1216,774,1107,528,6659,372,232,121,2281,1724,1560,402,4667,324,132,40,1541,1389,1118,130,1050,126,49,24,365,271,174,42
WHSCT,282102,59522,125349,95662,1941,564,1586,2430,276095,59083,124814,95019,62,28,282,1671,6007,439,535,643,1879,536,1304,759,2306,156,334,511,412,112,456,385,2106,112,117,84,801,225,503,284,1300,112,62,32,564,178,284,74,295,59,22,16,102,21,61,16
BELB,269804,39344,159583,65147,3448,260,2909,6314,256904,38424,157895,63666,152,17,508,3164,12900,920,1688,1481,3296,243,2401,3150,6083,266,932,1284,923,100,1289,1486,4427,279,427,156,1538,85,813,1193,1944,293,229,25,707,51,270,387,446,82,100,16,128,7,29,84
NEELB,409258,75346,279975,50707,3509,676,2698,3889,399392,74664,278847,50198,123,30,448,2478,9866,682,1128,509,3386,646,2250,1411,3341,152,536,427,690,128,843,669,3661,235,315,54,1422,254,871,546,2326,194,194,17,1061,217,472,176,538,101,83,11,213,47,64,20
SEELB,397844,54196,290566,53950,1762,662,2012,4568,390394,53840,289080,53368,99,55,565,3005,7450,356,1486,582,1663,607,1447,1563,3496,121,776,479,488,156,800,856,2492,119,399,75,729,262,435,528,1217,67,257,21,391,162,181,155,245,49,54,7,55,27,31,24
SELB,376703,67453,196215,101770,5834,4499,5248,3207,358386,66350,195331,100966,197,205,682,2033,18317,1103,884,804,5637,4294,4566,1174,5034,231,422,614,1264,807,1251,549,7125,396,262,124,2384,1783,1776,433,5015,342,151,42,1609,1429,1301,148,1143,134,49,24,380,275,238,44
WELB,282102,59522,125349,95662,1941,564,1586,2430,276095,59083,124814,95019,62,28,282,1671,6007,439,535,643,1879,536,1304,759,2306,156,334,511,412,112,456,385,2106,112,117,84,801,225,503,284,1300,112,62,32,564,178,284,74,295,59,22,16,102,21,61,16
UKN01,269804,39344,159583,65147,3448,260,2909,6314,256904,38424,157895,63666,152,17,508,3164,12900,920,1688,1481,3296,243,2401,3150,6083,266,932,1284,923,100,1289,1486,4427,279,427,156,1538,85,813,1193,1944,293,229,25,707,51,270,387,446,82,100,16,128,7,29,84
