GeographyCode,DC4101NI0001,DC4101NI0002,DC4101NI0003,DC4101NI0004,DC4101NI0005,DC4101NI0006,DC4101NI0007,DC4101NI0008,DC4101NI0009,DC4101NI0010,DC4101NI0011,DC4101NI0012,DC4101NI0013,DC4101NI0014,DC4101NI0015,DC4101NI0016,DC4101NI0017,DC4101NI0018,DC4101NI0019,DC4101NI0020,DC4101NI0021,DC4101NI0022,DC4101NI0023,DC4101NI0024,DC4101NI0025,DC4101NI0026,DC4101NI0027,DC4101NI0028,DC4101NI0029,DC4101NI0030,DC4101NI0031,DC4101NI0032,DC4101NI0033,DC4101NI0034,DC4101NI0035,DC4101NI0036,DC4101NI0037,DC4101NI0038,DC4101NI0039,DC4101NI0040,DC4101NI0041,DC4101NI0042,DC4101NI0043,DC4101NI0044,DC4101NI0045,DC4101NI0046,DC4101NI0047,DC4101NI0048,DC4101NI0049,DC4101NI0050,DC4101NI0051,DC4101NI0052,DC4101NI0053,DC4101NI0054,DC4101NI0055,DC4101NI0056,DC4101NI0057,DC4101NI0058,DC4101NI0059,DC4101NI0060,DC4101NI0061,DC4101NI0062,DC4101NI0063,DC4101NI0064,DC4101NI0065,DC4101NI0066,DC4101NI0067,DC4101NI0068,DC4101NI0069,DC4101NI0070,DC4101NI0071,DC4101NI0072,DC4101NI0073,DC4101NI0074,DC4101NI0075,DC4101NI0076,DC4101NI0077,DC4101NI0078,DC4101NI0079,DC4101NI0080,DC4101NI0081,DC4101NI0082,DC4101NI0083,DC4101NI0084,DC4101NI0085,DC4101NI0086,DC4101NI0087,DC4101NI0088,DC4101NI0089,DC4101NI0090,DC4101NI0091,DC4101NI0092,DC4101NI0093,DC4101NI0094,DC4101NI0095,DC4101NI0096,DC4101NI0097,DC4101NI0098,DC4101NI0099,DC4101NI0100,DC4101NI0101,DC4101NI0102,DC4101NI0103,DC4101NI0104,DC4101NI0105,DC4101NI0106,DC4101NI0107,DC4101NI0108,DC4101NI0109,DC4101NI0110,DC4101NI0111,DC4101NI0112
N92000002,703275,196414,78101,118313,455076,46826,92821,154863,60336,64228,36002,51785,18980,2055,3279,27471,470507,105938,47819,58119,336952,39933,71477,125856,53779,21929,23978,27617,11979,67,2249,13322,4244,1264,281,983,2630,148,794,924,205,407,152,350,109,28,11,202,80890,34482,11736,22746,40935,2806,4896,7122,3347,15943,6821,5473,2507,15,431,2520,23995,12141,6365,5776,10394,967,992,1854,468,5079,1034,1460,627,15,148,670,106016,32720,5746,26974,57520,1614,13385,17806,1997,19536,3182,15776,3515,1920,187,10154,17623,9869,6154,3715,6645,1358,1277,1301,540,1334,835,1109,243,10,253,603
BHSCT,148328,50611,18213,32398,82487,8867,17382,22946,9155,15992,8145,15230,4011,1601,723,8895,82996,24348,10332,14016,53402,7266,11732,17259,7634,4892,4619,5246,1965,39,404,2838,919,292,45,247,506,23,159,176,28,96,24,121,22,24,2,73,24102,10085,3241,6844,11931,782,1275,1741,905,5008,2220,2086,971,7,149,959,10598,5195,2347,2848,4658,397,454,737,219,2343,508,745,313,9,81,342,26068,8541,1045,7496,10771,198,3566,2854,280,3301,572,6756,682,1515,35,4524,3645,2150,1203,947,1219,201,196,179,89,352,202,276,58,7,52,159
NHSCT,177914,46858,19904,26954,119950,13135,25610,41684,16390,14383,8748,11106,4380,341,795,5590,126501,26716,12357,14359,92817,11274,20485,34692,14817,5378,6171,6968,3109,17,585,3257,1119,340,84,256,709,44,212,252,59,106,36,70,27,4,1,38,18203,8150,2936,5214,9153,735,1245,1659,755,3318,1441,900,362,4,89,445,2971,1971,1371,600,892,200,140,140,37,283,92,108,28,0,15,65,24665,7167,1491,5676,14675,485,3176,4573,567,5030,844,2823,788,314,47,1674,4455,2514,1665,849,1704,397,352,368,155,268,164,237,66,2,58,111
SEHSCT,136698,36574,15394,21180,92625,11107,21276,31099,11611,11387,6145,7499,3145,23,519,3812,98710,21761,9865,11896,72127,9698,17365,25717,10549,4521,4277,4822,2158,2,362,2300,1116,326,63,263,725,35,234,262,44,108,42,65,24,0,4,37,13729,5718,2107,3611,7161,545,938,1340,538,2736,1064,850,413,0,67,370,3915,1849,1162,687,1829,217,149,346,70,902,145,237,104,1,21,111,16284,5260,1098,4162,9640,343,2346,3206,323,2918,504,1384,426,20,25,913,2944,1660,1099,561,1143,269,244,228,87,202,113,141,20,0,40,81
SHSCT,131129,32965,13634,19331,88923,7907,16393,33950,12687,11233,6753,9241,3842,19,652,4728,91375,18445,8628,9817,67606,6794,12638,27732,11528,3995,4919,5324,2367,4,486,2467,626,179,45,134,391,21,107,143,43,51,26,56,21,0,1,34,11504,5199,1853,3346,5624,408,746,1178,504,1921,867,681,299,0,61,321,2714,1430,694,736,1135,62,123,259,41,533,117,149,66,0,10,73,21404,5803,1185,4618,12790,329,2523,4332,463,4487,656,2811,1046,14,42,1709,3506,1909,1229,680,1377,293,256,306,108,246,168,220,43,1,52,124
WHSCT,109206,29406,10956,18450,71091,5810,12160,25184,10493,11233,6211,8709,3602,71,590,4446,70925,14668,6637,8031,51000,4901,9257,20456,9251,3143,3992,5257,2380,5,412,2460,464,127,44,83,299,25,82,91,31,46,24,38,15,0,3,20,13352,5330,1599,3731,7066,336,692,1204,645,2960,1229,956,462,4,65,425,3797,1696,791,905,1880,91,126,372,101,1018,172,221,116,5,21,79,17595,5949,927,5022,9644,259,1774,2841,364,3800,606,2002,573,57,38,1334,3073,1636,958,678,1202,198,229,220,101,266,188,235,56,0,51,128
BELB,120595,42401,14555,27846,64315,6375,13231,16727,6962,14184,6836,13879,3542,1592,615,8130,62301,19063,7827,11236,38822,5095,8370,11931,5621,4116,3689,4416,1650,39,327,2400,718,237,31,206,375,16,111,129,21,83,15,106,16,24,2,64,20794,8467,2674,5793,10396,613,1075,1478,794,4482,1954,1931,911,7,135,878,10024,4844,2091,2753,4463,349,420,700,209,2289,496,717,308,9,74,326,23632,7942,940,7002,9231,152,3100,2341,241,2894,503,6459,602,1506,32,4319,3126,1848,992,856,1028,150,155,148,76,320,179,250,55,7,45,143
NEELB,165010,43835,18592,25243,110991,12373,24086,38161,14936,13410,8025,10184,3966,338,737,5143,117095,24940,11473,13467,85784,10593,19293,31729,13485,5054,5630,6371,2811,17,539,3004,1049,323,78,245,666,40,201,240,50,101,34,60,23,4,1,32,17273,7746,2805,4941,8671,710,1188,1554,714,3141,1364,856,346,4,85,421,2849,1902,1317,585,847,193,135,131,31,271,86,100,26,0,15,59,22633,6598,1374,5224,13443,457,2943,4174,515,4589,765,2592,704,311,45,1532,4111,2326,1545,781,1580,380,326,333,141,254,146,205,56,2,52,95
SEELB,164431,44784,19052,25732,110797,13599,25427,37318,13804,13195,7454,8850,3614,32,627,4577,119405,27046,12370,14676,86707,11869,20727,31045,12562,5297,5207,5652,2473,2,439,2738,1317,381,77,304,856,42,282,309,51,121,51,80,30,0,4,46,17037,7336,2674,4662,8696,714,1138,1603,649,3262,1330,1005,473,0,81,451,4489,2200,1418,782,2024,265,183,383,80,956,157,265,109,1,28,127,18720,5859,1203,4656,11180,389,2812,3719,362,3325,573,1681,506,29,28,1118,3463,1962,1310,652,1334,320,285,259,100,234,136,167,23,0,47,97
SELB,144033,35988,14946,21042,97882,8669,17917,37473,14141,12206,7476,10163,4256,22,710,5175,100781,20221,9512,10709,74639,7475,13830,30695,12860,4319,5460,5921,2665,4,532,2720,696,196,51,145,434,25,118,155,52,56,28,66,25,0,1,40,12434,5603,1984,3619,6106,433,803,1283,545,2098,944,725,315,0,65,345,2836,1499,748,751,1180,69,128,268,47,545,123,157,68,0,10,79,23436,6372,1302,5070,14022,357,2756,4731,515,4928,735,3042,1130,17,44,1851,3850,2097,1349,748,1501,310,282,341,122,260,186,252,53,1,58,140
