GeographyCode,DC6607NI0001,DC6607NI0002,DC6607NI0003,DC6607NI0004,DC6607NI0005,DC6607NI0006,DC6607NI0007,DC6607NI0008,DC6607NI0009,DC6607NI0010,DC6607NI0011,DC6607NI0012,DC6607NI0013,DC6607NI0014,DC6607NI0015,DC6607NI0016,DC6607NI0017,DC6607NI0018,DC6607NI0019,DC6607NI0020,DC6607NI0021,DC6607NI0022,DC6607NI0023,DC6607NI0024,DC6607NI0025,DC6607NI0026,DC6607NI0027,DC6607NI0028,DC6607NI0029,DC6607NI0030,DC6607NI0031,DC6607NI0032,DC6607NI0033,DC6607NI0034,DC6607NI0035,DC6607NI0036,DC6607NI0037,DC6607NI0038,DC6607NI0039,DC6607NI0040,DC6607NI0041,DC6607NI0042
N92000002,1313420,205513,1107907,869767,148050,721717,172138,29583,142555,467805,74678,393127,26759,5944,20815,89907,16134,73773,65196,8308,56888,47962,13403,34559,443653,57463,386190,170016,24151,145865,81158,18180,62978,58398,6100,52298,95480,5045,90435,38601,3987,34614
BHSCT,257160,41284,215876,166648,30098,136550,33052,5387,27665,92399,15542,76857,4000,1029,2971,10359,2141,8218,13417,1849,11568,13421,4150,9271,90512,11186,79326,31330,4083,27247,17943,4373,13570,11184,972,10212,22198,1010,21188,7857,748,7109
NHSCT,335761,51908,283853,227093,37435,189658,44676,7690,36986,124329,18962,105367,7016,1529,5487,24703,4230,20473,14663,1849,12814,11706,3175,8531,108668,14473,94195,45739,6500,39239,19771,4366,15405,13990,1569,12421,20527,1158,19369,8641,880,7761
SEHSCT,251647,41237,210410,170549,29049,141500,34750,6060,28690,93428,14974,78454,5932,1395,4537,17866,3118,14748,10494,1398,9096,8079,2104,5975,81098,12188,68910,37460,6201,31259,13345,3085,10260,9843,1272,8571,14501,861,13640,5949,769,5180
SHSCT,256035,38576,217459,172195,28361,143834,33365,5784,27581,91469,14113,77356,5523,1138,4385,20820,3719,17101,13089,1525,11564,7929,2082,5847,83840,10215,73625,29837,4078,25759,15294,3092,12202,12051,1212,10839,18821,1023,17798,7837,810,7027
WHSCT,212817,32508,180309,133282,23107,110175,26295,4662,21633,66180,11087,55093,4288,853,3435,16159,2926,13233,13533,1687,11846,6827,1892,4935,79535,9401,70134,25650,3289,22361,14805,3264,11541,11330,1075,10255,19433,993,18440,8317,780,7537
BELB,208609,32972,175637,132666,24083,108583,26300,4200,22100,71906,12083,59823,3082,817,2265,7856,1710,6146,11832,1616,10216,11690,3657,8033,75943,8889,67054,24126,2942,21184,15424,3687,11737,9704,781,8923,19833,861,18972,6856,618,6238
NEELB,309116,48201,260915,209675,34787,174888,41242,7176,34066,115570,17715,97855,6372,1408,4964,22202,3848,18354,13410,1698,11712,10879,2942,7937,99441,13414,86027,42768,6136,36632,17926,3999,13927,12644,1428,11216,18368,1047,17321,7735,804,6931
SEELB,300198,49549,250649,204531,35064,169467,41502,7247,34255,113921,18433,95488,6850,1607,5243,20369,3549,16820,12079,1631,10448,9810,2597,7213,95667,14485,81182,44664,7342,37322,15864,3771,12093,11323,1463,9860,16866,1010,15856,6950,899,6051
SELB,282680,42283,240397,189613,31009,158604,36799,6298,30501,100228,15360,84868,6167,1259,4908,23321,4101,19220,14342,1676,12666,8756,2315,6441,93067,11274,81793,32808,4442,28366,17139,3459,13680,13397,1353,12044,20980,1134,19846,8743,886,7857
WELB,212817,32508,180309,133282,23107,110175,26295,4662,21633,66180,11087,55093,4288,853,3435,16159,2926,13233,13533,1687,11846,6827,1892,4935,79535,9401,70134,25650,3289,22361,14805,3264,11541,11330,1075,10255,19433,993,18440,8317,780,7537
UKN01,208609,32972,175637,132666,24083,108583,26300,4200,22100,71906,12083,59823,3082,817,2265,7856,1710,6146,11832,1616,10216,11690,3657,8033,75943,8889,67054,24126,2942,21184,15424,3687,11737,9704,781,8923,19833,861,18972,6856,618,6238
UKN02,283218,46375,236843,194967,33063,161904,39580,6802,32778,112707,17841,94866,5793,1350,4443,15655,2807,12848,10922,1472,9450,10310,2791,7519,88251,13312,74939,41199,6568,34631,15387,3753,11634,10380,1352,9028,15225,885,14340,6060,754,5306
UKN03,317543,48221,269322,216558,35040,181518,42661,7260,35401,119613,18091,101522,6828,1500,5328,23952,3969,19983,13772,1717,12055,9732,2503,7229,100985,13181,87804,44138,6417,37721,16209,3365,12844,12461,1365,11096,20220,1172,19048,7957,862,7095
UKN04,209839,31317,178522,130109,21889,108220,26334,4514,21820,63549,10131,53418,4258,870,3388,14709,2626,12083,13685,1686,11999,7574,2062,5512,79730,9428,70302,27182,3562,23620,14923,3237,11686,11193,1007,10186,18605,924,17681,7827,698,7129
UKN05,294211,46628,247583,195467,33975,161492,37263,6807,30456,100030,16532,83498,6798,1407,5391,27735,5022,22713,14985,1817,13168,8656,2390,6266,98744,12653,86091,33371,4662,28709,19215,4138,15077,14660,1595,13065,21597,1203,20394,9901,1055,8846
95AA,38597,5592,33005,27361,4182,23179,5251,846,4405,15751,2211,13540,780,170,610,2743,442,2301,1505,200,1305,1331,313,1018,11236,1410,9826,4778,670,4108,1766,351,1415,1492,165,1327,2317,123,2194,883,101,782
95BB,57290,8705,48585,38371,6231,32140,8009,1328,6681,20637,3170,17467,1416,303,1113,4384,736,3648,2327,291,2036,1598,403,1195,18919,2474,16445,9681,1390,8291,2629,528,2101,2153,236,1917,3219,179,3040,1237,141,1096
95CC,42544,6799,35745,28911,5026,23885,5596,1054,4542,15115,2482,12633,1025,197,828,3855,697,3158,2102,255,1847,1218,341,877,13633,1773,11860,5267,794,4473,2653,553,2100,1770,172,1598,2716,139,2577,1227,115,1112
95DD,46337,7317,39020,32020,5340,26680,6354,1149,5205,17908,2808,15100,978,209,769,3644,604,3040,1847,239,1608,1289,331,958,14317,1977,12340,6641,922,5719,2243,511,1732,1811,241,1570,2482,161,2321,1140,142,998
95EE,22558,3328,19230,14740,2412,12328,2760,490,2270,7604,1177,6427,542,99,443,2143,384,1759,1201,147,1054,490,115,375,7818,916,6902,2901,317,2584,1493,330,1163,1169,123,1046,1572,88,1484,683,58,625
95FF,34555,5457,29098,24187,4196,19991,4560,826,3734,13303,2157,11146,800,200,600,3164,569,2595,1401,171,1230,959,273,686,10368,1261,9107,4276,585,3691,1793,344,1449,1370,155,1215,2144,103,2041,785,74,711
95GG,208609,32972,175637,132666,24083,108583,26300,4200,22100,71906,12083,59823,3082,817,2265,7856,1710,6146,11832,1616,10216,11690,3657,8033,75943,8889,67054,24126,2942,21184,15424,3687,11737,9704,781,8923,19833,861,18972,6856,618,6238
95HH,28657,4481,24176,19596,3201,16395,3985,712,3273,11474,1684,9790,544,120,424,1321,252,1069,1275,156,1119,997,277,720,9061,1280,7781,4333,636,3697,1453,340,1113,1030,145,885,1672,103,1569,573,56,517
95II,48551,8312,40239,33982,6015,27967,6752,1187,5565,20493,3459,17034,918,212,706,2503,431,2072,1585,233,1352,1731,493,1238,14569,2297,12272,7204,1141,6063,2519,686,1833,1480,191,1289,2365,149,2216,1001,130,871
95JJ,43277,7618,35659,27795,5230,22565,5729,1070,4659,13662,2296,11366,1015,260,755,3153,659,2494,2075,278,1797,2161,667,1494,15482,2388,13094,6530,1139,5391,3063,739,2324,1976,207,1769,2609,156,2453,1304,147,1157
95KK,26645,3707,22938,17418,2648,14770,3434,514,2920,8759,1247,7512,644,121,523,2501,382,2119,1253,151,1102,827,233,594,9227,1059,8168,2971,364,2607,1845,367,1478,1346,141,1205,2159,111,2048,906,76,830
95LL,67061,9276,57785,45009,6692,38317,8792,1361,7431,25813,3598,22215,1135,210,925,3806,617,3189,3254,358,2896,2209,548,1661,22052,2584,19468,8379,1145,7234,3706,749,2957,2811,227,2584,5202,287,4915,1954,176,1778
95MM,78409,11117,67292,47447,7694,39753,10008,1574,8434,23083,3575,19508,1431,246,1185,3743,688,3055,5904,761,5143,3278,850,2428,30962,3423,27539,9323,1090,8233,5947,1297,4650,4430,366,4064,8369,430,7939,2893,240,2653
95NN,50138,8372,41766,33648,5933,27715,6561,1214,5347,17157,2876,14281,1227,305,922,4572,752,3820,2451,324,2127,1680,462,1218,16490,2439,14051,6632,1129,5503,2999,676,2323,1975,233,1742,3460,226,3234,1424,175,1249
95OO,41315,6061,35254,27881,4424,23457,5249,922,4327,14703,2099,12604,986,205,781,3690,662,3028,2017,242,1775,1236,294,942,13434,1637,11797,4343,575,3768,2680,522,2158,2019,227,1792,2980,158,2822,1412,155,1257
95PP,44465,7888,36577,29852,5793,24059,5742,1168,4574,15390,2906,12484,1074,237,837,4402,892,3510,2093,283,1810,1151,307,844,14613,2095,12518,5558,896,4662,2663,576,2087,2140,276,1864,2714,160,2554,1538,187,1351
95QQ,23565,3502,20063,15962,2466,13496,3134,536,2598,9044,1271,7773,492,103,389,1639,249,1390,987,134,853,666,173,493,7603,1036,6567,3751,576,3175,1073,206,867,849,108,741,1396,93,1303,534,53,481
95RR,24610,3269,21341,15067,2260,12807,2891,483,2408,7431,1049,6382,436,86,350,1996,284,1712,1698,192,1506,615,166,449,9543,1009,8534,2948,333,2615,1766,356,1410,1326,118,1208,2133,82,2051,1370,120,1250
95SS,86371,13685,72686,59061,9816,49245,12103,1985,10118,33223,5289,27934,1806,397,1409,5377,956,4421,3528,423,3105,3024,766,2258,27310,3869,23441,11199,1795,9404,5008,1113,3895,3719,445,3274,5201,267,4934,2183,249,1934
95TT,31959,4832,27127,21505,3506,17999,3834,681,3153,11435,1806,9629,661,132,529,3280,514,2766,1397,151,1246,898,222,676,10454,1326,9128,3419,443,2976,2364,509,1855,1586,178,1408,2060,104,1956,1025,92,933
95UU,12375,2109,10266,7837,1488,6349,1532,307,1225,3586,692,2894,318,84,234,1358,250,1108,777,93,684,266,62,204,4538,621,3917,1900,324,1576,773,167,606,576,48,528,894,42,852,395,40,355
95VV,70560,10983,59577,46207,8023,38184,9168,1621,7547,22535,3777,18758,1577,326,1251,6305,1174,5131,4315,499,3816,2307,626,1681,24353,2960,21393,7572,979,6593,4462,924,3538,4081,431,3650,5779,336,5443,2459,290,2169
95WW,61791,9422,52369,42859,6962,35897,8663,1385,7278,25106,3770,21336,1042,231,811,2921,494,2427,2346,300,2046,2781,782,1999,18932,2460,16472,8515,1109,7406,3698,846,2852,2155,213,1942,3366,177,3189,1198,115,1083
95XX,57848,10475,47373,39469,7069,32400,8077,1533,6544,22411,3639,18772,1483,390,1093,3533,674,2859,2188,360,1828,1777,473,1304,18379,3406,14973,9948,1887,8061,2709,768,1941,1996,358,1638,2621,189,2432,1105,204,901
95YY,36723,6358,30365,23693,4555,19138,4240,847,3393,12093,2215,9878,831,189,642,3702,701,3001,1808,236,1572,1019,367,652,13030,1803,11227,4241,611,3630,2548,687,1861,1718,170,1548,3189,195,2994,1334,140,1194
95ZZ,28610,3876,24734,17223,2805,14418,3414,590,2824,8183,1342,6841,516,95,421,2316,361,1955,2030,215,1815,764,202,562,11387,1071,10316,3580,359,3221,1881,348,1533,1716,145,1571,3028,126,2902,1182,93,1089
