GeographyCode,DC3402NI0001,DC3402NI0002,DC3402NI0003,DC3402NI0004,DC3402NI0005,DC3402NI0006,DC3402NI0007,DC3402NI0008,DC3402NI0009,DC3402NI0010,DC3402NI0011,DC3402NI0012,DC3402NI0013,DC3402NI0014,DC3402NI0015,DC3402NI0016,DC3402NI0017,DC3402NI0018,DC3402NI0019,DC3402NI0020,DC3402NI0021,DC3402NI0022,DC3402NI0023,DC3402NI0024,DC3402NI0025,DC3402NI0026,DC3402NI0027,DC3402NI0028,DC3402NI0029,DC3402NI0030,DC3402NI0031,DC3402NI0032,DC3402NI0033,DC3402NI0034,DC3402NI0035,DC3402NI0036,DC3402NI0037,DC3402NI0038,DC3402NI0039,DC3402NI0040,DC3402NI0041,DC3402NI0042,DC3402NI0043,DC3402NI0044,DC3402NI0045,DC3402NI0046,DC3402NI0047,DC3402NI0048,DC3402NI0049,DC3402NI0050,DC3402NI0051,DC3402NI0052,DC3402NI0053,DC3402NI0054,DC3402NI0055,DC3402NI0056,DC3402NI0057,DC3402NI0058,DC3402NI0059,DC3402NI0060,DC3402NI0061,DC3402NI0062,DC3402NI0063,DC3402NI0064,DC3402NI0065,DC3402NI0066,DC3402NI0067,DC3402NI0068,DC3402NI0069,DC3402NI0070,DC3402NI0071,DC3402NI0072,DC3402NI0073,DC3402NI0074,DC3402NI0075,DC3402NI0076,DC3402NI0077,DC3402NI0078,DC3402NI0079,DC3402NI0080,DC3402NI0081,DC3402NI0082,DC3402NI0083,DC3402NI0084,DC3402NI0085,DC3402NI0086,DC3402NI0087,DC3402NI0088,DC3402NI0089,DC3402NI0090,DC3402NI0091
95HH,38785,1440,2113,71,163,66,35503,2289,174,334,21,88,9,1794,613,82,128,31,24,4,420,526,69,124,7,42,8,340,4447,478,1018,30,79,19,3100,797,69,119,4,36,8,613,2134,143,287,7,16,13,1751,4239,377,833,23,50,19,3152,3654,247,484,13,34,16,2994,619,79,182,3,12,6,389,2870,231,449,18,51,20,2245,2067,128,246,4,12,9,1736,25945,618,621,20,27,13,24805
95II,66502,1966,3367,119,262,103,61453,3934,192,568,17,145,17,3132,1110,80,228,41,28,2,810,786,72,145,9,22,8,581,7322,604,1664,44,107,34,5201,1251,78,158,12,9,11,1041,3350,164,427,12,26,16,2798,6629,455,1266,27,89,19,5024,5850,313,771,19,62,15,4839,974,78,243,9,26,6,681,4731,262,743,16,60,16,3780,3582,202,462,16,32,21,2974,45281,938,975,45,67,30,43489
95JJ,57761,3157,2818,112,231,79,52147,3133,246,377,21,95,12,2513,856,95,158,34,24,4,624,732,93,146,16,16,4,531,5761,565,1150,40,67,18,4206,1084,109,154,15,12,7,860,2783,178,319,10,17,4,2340,5477,430,863,25,53,16,4306,4588,269,494,16,35,8,3867,811,93,184,9,16,4,564,3778,273,466,14,33,10,3101,2892,199,314,11,17,14,2417,39902,1962,1033,41,83,30,37081
95KK,36711,3577,2257,75,107,49,31268,1562,150,242,13,36,1,1181,506,63,90,17,8,0,355,535,68,108,3,12,3,370,4115,468,853,23,28,7,2919,735,78,95,2,12,3,566,2289,214,318,12,10,5,1803,3719,394,645,19,23,7,2772,3065,311,391,19,18,11,2407,581,55,126,10,10,0,407,2129,226,311,15,16,4,1644,1725,167,211,4,9,4,1389,25704,2516,948,32,45,26,22473
95LL,92513,5360,4795,144,349,159,82981,4358,294,586,20,157,13,3460,1385,133,252,39,25,7,1015,1297,169,241,28,52,21,928,10485,1011,2077,58,135,38,7671,1793,176,240,24,35,31,1411,5310,342,612,9,30,23,4419,9610,767,1563,25,93,26,7470,7957,554,973,24,71,29,6537,1502,162,325,8,18,11,1060,5701,433,842,37,69,26,4529,4688,330,546,13,32,22,3885,64186,3412,1690,48,91,64,59384
95MM,106500,6372,6848,255,479,192,94413,4750,391,762,36,187,28,3611,1722,191,351,67,37,13,1231,1665,253,356,23,47,28,1128,12992,1450,2682,97,170,54,9273,2560,267,372,29,32,38,1994,7932,700,1037,43,68,36,6374,11316,1151,2071,72,125,41,8428,10565,897,1496,50,108,39,8415,2094,263,479,25,41,15,1440,6765,655,1186,55,101,35,5099,5982,540,790,26,54,25,4798,71987,3623,2676,84,145,69,66269
95NN,68714,4777,3262,134,285,109,61152,3321,242,405,18,109,13,2661,1024,93,167,32,24,5,764,991,124,176,2,20,6,707,7332,758,1291,37,86,34,5444,1772,169,189,8,10,15,1430,3564,245,378,8,26,22,2980,6437,554,939,25,65,27,5056,5915,458,625,13,55,24,4891,987,88,195,9,14,2,729,4355,356,575,11,45,20,3478,3632,253,381,10,21,12,3044,47290,3142,1194,63,96,32,43225
95OO,57462,5565,2864,126,283,55,49549,2351,237,325,12,92,4,1796,860,117,153,25,22,1,610,816,115,154,21,32,15,575,5749,664,1074,26,77,10,4155,1043,111,135,22,30,18,817,3044,247,356,17,22,7,2479,5108,522,787,20,61,3,3898,4227,409,480,11,38,6,3401,832,98,169,7,13,3,596,3165,309,466,24,56,14,2429,2656,266,296,11,15,11,2140,41739,4060,1190,50,121,16,36810
95PP,61064,7092,2487,109,166,85,52143,3097,359,287,14,75,9,2464,1030,149,129,25,9,4,770,907,164,146,13,14,16,632,6112,905,913,31,51,20,4499,1357,198,140,14,12,16,1052,2881,343,318,7,13,7,2301,5572,740,688,27,41,14,4298,4668,535,413,15,30,11,3791,888,130,144,7,11,5,632,3705,448,367,18,37,11,2962,2887,392,233,15,26,6,2327,43079,4927,1067,30,38,35,37479
95QQ,31914,1497,1449,61,64,99,29138,1826,119,236,12,25,12,1487,538,46,99,23,4,10,395,410,43,69,8,7,5,300,3464,272,634,19,22,37,2608,617,55,66,5,1,5,510,1478,82,161,7,10,9,1253,3326,224,491,16,17,29,2650,2910,192,291,9,9,21,2459,459,39,83,4,4,5,347,2338,148,274,8,8,13,1945,1752,115,164,9,5,8,1499,21526,909,497,13,22,38,20203
95RR,32850,2694,1391,50,129,34,28990,1527,137,156,5,57,1,1226,451,62,73,10,8,0,328,458,67,72,5,19,12,319,3478,415,555,16,41,9,2579,645,64,78,6,11,13,508,1824,166,132,3,11,6,1544,3207,321,436,12,24,5,2515,2662,259,238,8,20,6,2191,479,57,91,2,3,1,341,2107,202,214,8,18,7,1725,1642,140,132,1,5,5,1397,22919,1835,560,19,43,9,20659
95SS,118525,7179,5638,187,391,147,106688,5609,428,670,35,179,26,4503,1570,172,248,62,33,6,1160,1624,249,294,10,31,9,1152,11838,1341,2322,67,134,49,8498,2596,290,336,11,18,23,2051,6039,556,786,25,51,23,4826,11131,1047,1812,50,101,27,8556,10034,791,1095,40,72,28,8323,1717,223,382,17,30,16,1177,7359,629,960,35,66,28,5904,6163,514,642,19,39,24,5139,83045,4437,2081,58,117,43,77050
95TT,44822,4493,2111,129,152,61,38620,1856,169,209,13,41,8,1479,594,70,93,28,4,1,438,585,99,100,14,15,15,408,4103,495,700,24,34,16,3021,836,106,110,18,15,15,643,2027,197,212,13,7,5,1657,3738,388,508,17,31,10,2933,3439,348,336,27,19,9,2798,587,81,108,4,5,3,420,2425,249,332,21,20,14,1910,2147,236,203,13,13,8,1745,32420,3262,945,49,73,23,28454
95UU,16907,1386,946,32,45,25,14718,907,86,123,7,22,6,706,290,26,54,12,3,4,209,255,39,59,2,9,3,167,1889,212,373,11,17,12,1347,328,43,39,2,4,4,248,815,73,122,6,7,2,637,1740,195,293,8,16,12,1291,1402,138,165,10,11,7,1115,267,31,56,2,5,3,188,1144,97,150,4,3,5,911,846,82,102,3,3,3,681,11630,893,366,8,15,3,10445
95VV,98922,9251,4667,221,495,182,85915,4051,385,517,30,179,16,3152,1574,190,248,60,57,15,1138,1485,244,257,28,61,30,1034,10230,1258,1678,64,161,41,7548,2061,271,270,37,35,35,1587,5147,520,542,30,51,38,4173,8866,993,1226,41,123,32,6834,7690,808,792,24,80,27,6218,1555,205,281,15,37,14,1117,5392,504,603,30,72,37,4354,4772,533,475,22,65,24,3861,70910,6498,1997,93,175,62,62983
95WW,83141,2952,4217,167,330,85,76363,4530,246,641,33,163,17,3603,1356,103,267,65,35,8,978,1032,106,190,11,38,7,745,8935,688,2017,58,120,34,6436,1478,112,184,5,10,3,1222,4192,218,540,18,31,11,3507,8234,572,1561,41,105,26,6279,7502,392,936,35,69,24,6272,1159,117,288,14,28,11,790,5797,341,892,32,51,16,4660,4454,229,495,25,29,12,3804,57150,1695,1308,52,90,25,54324
95XX,77475,2944,3791,130,268,152,71314,4748,316,643,27,134,26,3817,1229,126,239,41,22,14,883,885,104,157,13,32,10,640,7993,885,1794,47,92,63,5614,1314,109,152,9,9,8,1090,3434,293,452,17,22,15,2779,7379,665,1375,37,66,52,5580,6171,423,731,35,65,31,5122,1129,144,292,12,21,13,758,5281,442,780,25,51,39,4193,3947,242,481,18,30,30,3283,53521,1429,1182,42,73,43,51128
95YY,50872,5141,2186,109,188,49,44074,2385,242,249,10,76,3,1904,773,95,106,24,21,2,584,744,130,113,8,20,9,533,5688,658,819,30,64,14,4359,1100,134,131,11,16,11,870,3138,302,301,16,22,9,2583,4936,528,617,23,48,10,3917,3871,396,343,11,22,9,3193,863,110,160,8,11,5,632,3014,296,336,25,31,7,2448,2571,251,248,9,14,4,2135,35548,3621,870,45,58,19,31351
95ZZ,39595,3376,1892,77,231,30,34566,1942,178,196,5,86,3,1558,742,78,100,20,19,1,569,697,106,128,4,34,3,489,5127,580,820,16,89,7,3850,926,104,103,3,24,3,739,2812,237,300,9,32,7,2319,4504,451,631,15,71,4,3510,3660,324,369,8,39,5,3003,716,86,149,10,15,2,513,2570,270,339,6,39,4,2007,2107,224,195,11,37,1,1717,26353,2160,672,31,58,15,23636
