GeographyCode,DC2506NI0001,DC2506NI0002,DC2506NI0003,DC2506NI0004,DC2506NI0005,DC2506NI0006,DC2506NI0007,DC2506NI0008,DC2506NI0009,DC2506NI0010,DC2506NI0011,DC2506NI0012,DC2506NI0013,DC2506NI0014,DC2506NI0015,DC2506NI0016,DC2506NI0017,DC2506NI0018,DC2506NI0019,DC2506NI0020,DC2506NI0021,DC2506NI0022,DC2506NI0023,DC2506NI0024,DC2506NI0025,DC2506NI0026,DC2506NI0027,DC2506NI0028,DC2506NI0029,DC2506NI0030,DC2506NI0031,DC2506NI0032,DC2506NI0033,DC2506NI0034,DC2506NI0035,DC2506NI0036,DC2506NI0037,DC2506NI0038,DC2506NI0039,DC2506NI0040,DC2506NI0041,DC2506NI0042,DC2506NI0043,DC2506NI0044,DC2506NI0045,DC2506NI0046,DC2506NI0047,DC2506NI0048,DC2506NI0049,DC2506NI0050,DC2506NI0051,DC2506NI0052,DC2506NI0053,DC2506NI0054,DC2506NI0055,DC2506NI0056,DC2506NI0057,DC2506NI0058,DC2506NI0059,DC2506NI0060,DC2506NI0061,DC2506NI0062,DC2506NI0063,DC2506NI0064,DC2506NI0065,DC2506NI0066,DC2506NI0067,DC2506NI0068,DC2506NI0069,DC2506NI0070,DC2506NI0071,DC2506NI0072,DC2506NI0073,DC2506NI0074,DC2506NI0075,DC2506NI0076,DC2506NI0077,DC2506NI0078,DC2506NI0079,DC2506NI0080,DC2506NI0081,DC2506NI0082,DC2506NI0083,DC2506NI0084,DC2506NI0085,DC2506NI0086,DC2506NI0087,DC2506NI0088,DC2506NI0089,DC2506NI0090,DC2506NI0091,DC2506NI0092,DC2506NI0093,DC2506NI0094,DC2506NI0095,DC2506NI0096,DC2506NI0097,DC2506NI0098,DC2506NI0099,DC2506NI0100,DC2506NI0101,DC2506NI0102,DC2506NI0103,DC2506NI0104,DC2506NI0105,DC2506NI0106,DC2506NI0107,DC2506NI0108,DC2506NI0109,DC2506NI0110,DC2506NI0111,DC2506NI0112
N92000002,1431540,1385793,14564,5196,2912,1888,2018,2044,1542,1053,1034,889,893,11714,416851,408871,2258,1167,521,465,388,644,53,198,139,10,80,2057,164798,161674,872,350,310,160,149,169,70,66,50,47,67,814,213570,210264,973,359,451,161,138,94,91,75,54,53,79,778,60462,59838,184,40,93,24,37,7,6,6,3,5,20,199,176110,173125,815,248,445,84,117,133,66,47,48,50,68,864,338544,326775,2742,631,1025,213,249,538,922,138,317,595,142,4257,61205,45246,6720,2401,67,781,940,459,334,523,423,129,437,2745
BHSCT,283079,270657,3485,248,1177,160,508,987,793,80,159,270,217,4338,82416,80629,419,42,206,13,105,318,23,7,14,4,11,625,30671,29856,199,15,133,11,30,79,31,4,3,16,20,274,36764,35837,260,21,197,20,29,52,42,3,4,15,17,267,9997,9832,53,2,34,2,5,1,3,0,1,0,2,62,36650,35656,238,18,203,10,48,62,26,6,6,23,30,324,75840,71213,959,70,387,64,101,262,517,22,90,179,58,1918,10741,7634,1357,80,17,40,190,213,151,38,41,33,79,868
NHSCT,366872,357593,3260,636,405,326,877,449,200,163,200,197,131,2435,106538,104897,583,113,74,98,158,123,7,23,16,1,14,431,43450,42812,192,46,41,23,70,31,11,8,12,6,11,187,56884,56243,200,58,54,23,66,15,10,12,9,13,14,167,17053,16922,32,7,14,4,19,3,2,3,0,2,2,43,45576,45036,141,40,57,16,40,26,10,9,11,8,4,178,82138,79993,516,73,153,22,83,116,105,21,70,141,26,819,15233,11690,1596,299,12,140,441,135,55,87,82,26,60,610
SEHSCT,275606,270634,1245,468,362,90,126,227,224,147,139,195,89,1660,67575,66794,130,98,55,14,23,76,15,41,17,2,8,302,32900,32498,85,33,49,8,10,27,9,10,7,13,4,147,44203,43808,84,40,58,12,4,11,13,10,10,8,12,133,13260,13188,16,3,10,0,5,1,0,0,0,2,2,33,34752,34405,84,16,53,4,2,17,15,5,6,9,5,131,72479,71043,270,64,131,23,17,54,119,13,43,126,21,555,10437,8898,576,214,6,29,65,41,53,68,56,35,37,359
SHSCT,276654,262514,4904,3405,472,1258,373,229,182,535,390,103,204,2085,83107,80231,819,827,85,323,73,75,3,101,79,2,12,477,31412,30437,300,223,43,109,30,20,10,32,25,9,16,158,41914,40942,315,206,66,103,29,12,14,38,26,4,26,133,11933,11748,67,24,22,18,6,0,1,2,1,0,5,39,32571,31767,277,153,56,51,20,22,8,24,18,1,16,158,60400,58015,778,363,187,98,32,58,106,70,95,73,20,505,15317,9374,2348,1609,13,556,183,42,40,268,146,14,109,615
WHSCT,229329,224395,1670,439,496,54,134,152,143,128,146,124,252,1196,77215,76320,307,87,101,17,29,52,5,26,13,1,35,222,26365,26071,96,33,44,9,9,12,9,12,3,3,16,48,33805,33434,114,34,76,3,10,4,12,12,5,13,10,78,8219,8148,16,4,13,0,2,2,0,1,1,1,9,22,26561,26261,75,21,76,3,7,6,7,3,7,9,13,73,47687,46511,219,61,167,6,16,48,75,12,19,76,17,460,9477,7650,843,199,19,16,61,28,35,62,98,21,152,293
BELB,228679,217573,3190,211,1136,148,481,868,611,76,132,223,206,3824,69498,67916,384,34,200,12,101,260,18,7,12,3,11,540,24585,23866,183,11,130,10,30,66,26,4,3,13,20,223,28773,27938,240,17,193,17,28,45,24,3,4,13,16,235,7444,7292,48,2,33,2,5,1,3,0,0,0,2,56,30052,29146,215,17,195,9,48,56,23,6,3,22,30,282,59536,55405,872,66,368,61,99,243,397,21,78,145,54,1727,8791,6010,1248,64,17,37,170,197,120,35,32,27,73,761
NEELB,338153,329893,3071,525,373,137,643,421,197,133,144,191,106,2319,96871,95457,544,100,64,30,107,112,7,19,11,1,10,409,40086,39529,178,37,40,11,44,27,11,8,10,6,11,174,52525,51940,192,46,51,12,55,15,10,10,9,13,12,160,15888,15769,29,7,12,3,17,3,2,2,0,2,2,40,42220,41734,133,29,53,7,32,26,10,8,7,8,4,169,76717,74687,489,58,141,19,70,114,103,19,58,136,22,801,13846,10777,1506,248,12,55,318,124,54,67,49,25,45,566
SEELB,330006,323718,1540,505,403,102,153,346,406,151,166,242,100,2174,80493,79507,165,106,61,15,27,134,20,41,19,3,8,387,38986,38488,101,37,52,9,10,40,14,10,7,16,4,198,52194,51707,104,44,62,15,5,18,31,10,10,10,13,165,15813,15728,21,3,11,0,5,1,0,0,1,2,2,39,41350,40915,107,17,61,5,2,23,18,5,9,10,5,173,88783,86851,357,68,150,26,19,73,239,14,55,160,25,746,12387,10522,685,230,6,32,85,57,84,71,65,41,43,466
SELB,305373,290214,5093,3516,504,1447,607,257,185,565,446,109,229,2201,92774,89671,858,840,95,391,124,86,3,105,84,2,16,499,34776,33720,314,232,44,121,56,24,10,32,27,9,16,171,46273,45245,323,218,69,114,40,12,14,40,26,4,28,140,13098,12901,70,24,24,19,8,0,1,3,1,0,5,42,35927,35069,285,164,60,60,28,22,8,25,22,1,16,167,65821,63321,805,378,199,101,45,60,108,72,107,78,24,523,16704,10287,2438,1660,13,641,306,53,41,288,179,15,124,659
