GeographyCode,DC4304NI0001,DC4304NI0002,DC4304NI0003,DC4304NI0004,DC4304NI0005,DC4304NI0006,DC4304NI0007,DC4304NI0008,DC4304NI0009,DC4304NI0010,DC4304NI0011,DC4304NI0012,DC4304NI0013,DC4304NI0014,DC4304NI0015,DC4304NI0016,DC4304NI0017,DC4304NI0018,DC4304NI0019,DC4304NI0020,DC4304NI0021,DC4304NI0022,DC4304NI0023,DC4304NI0024,DC4304NI0025,DC4304NI0026,DC4304NI0027,DC4304NI0028,DC4304NI0029,DC4304NI0030,DC4304NI0031,DC4304NI0032,DC4304NI0033,DC4304NI0034,DC4304NI0035,DC4304NI0036,DC4304NI0037,DC4304NI0038,DC4304NI0039,DC4304NI0040,DC4304NI0041,DC4304NI0042
N92000002,1788339,118758,94605,3753,7511,2851,1589915,859193,56095,22958,987,1775,699,785682,570029,32722,22704,1022,2059,818,517999,260757,19108,27667,1068,2374,872,216905,77731,7707,15483,458,966,358,56425,20629,3126,5793,218,337,104,12904
BHSCT,342643,15225,23217,1049,2092,657,307250,158360,5379,4945,292,443,132,149038,105840,4001,5284,279,547,146,97241,53060,3309,6758,263,660,236,43617,19698,1731,4423,141,317,106,13964,5685,805,1807,74,125,37,3390
NHSCT,457038,29086,22806,866,1581,673,408449,217180,13885,5471,219,416,196,198955,152277,8362,5618,238,411,203,139044,66129,4563,6913,266,521,190,55361,17128,1655,3540,100,178,68,12386,4324,621,1264,43,55,16,2703
SEHSCT,342197,19809,16570,579,1148,526,308649,165413,8750,3836,135,253,118,153770,112865,5637,4077,143,343,150,103815,47779,3465,4979,179,350,155,39962,12837,1365,2700,76,155,84,9132,3303,592,978,46,47,19,1970
SHSCT,355580,29963,17208,659,1497,605,311381,177217,15950,4704,178,384,172,157904,110630,8056,4192,198,422,186,99087,49495,3972,4881,184,452,173,41107,14502,1450,2555,69,175,57,10795,3736,535,876,30,64,17,2488
WHSCT,290881,24675,14804,600,1193,390,254186,141023,12131,4002,163,279,81,126015,88417,6666,3533,164,336,133,78812,44294,3799,4136,176,391,118,36858,13566,1506,2265,72,141,43,10148,3581,573,868,25,46,15,2353
BELB,276141,13259,19850,930,1830,554,245797,126439,4676,4317,256,389,116,118369,84003,3485,4457,247,478,112,76706,43546,2850,5647,234,556,201,35591,17126,1541,3837,129,295,90,12119,5027,707,1592,64,112,35,3012
NEELB,420327,25509,20549,791,1474,624,377181,199867,12104,4881,195,376,172,183873,140718,7319,5072,220,392,191,128973,60403,4049,6266,247,489,180,50716,15478,1482,3204,94,167,67,11205,3861,555,1126,35,50,14,2414
SEELB,408699,21775,19937,698,1410,629,370102,197334,9453,4464,171,307,134,184439,134702,6153,4904,175,412,184,124350,57293,3924,6090,208,454,190,47988,15409,1555,3286,88,177,100,10977,3961,690,1193,56,60,21,2348
SELB,392291,33540,19465,734,1604,654,342649,194530,17731,5294,202,424,196,172986,122189,9099,4738,216,441,198,109158,55221,4486,5528,203,484,183,45752,16152,1623,2891,75,186,58,11976,4199,601,1014,38,69,19,2777
WELB,290881,24675,14804,600,1193,390,254186,141023,12131,4002,163,279,81,126015,88417,6666,3533,164,336,133,78812,44294,3799,4136,176,391,118,36858,13566,1506,2265,72,141,43,10148,3581,573,868,25,46,15,2353
UKN01,276141,13259,19850,930,1830,554,245797,126439,4676,4317,256,389,116,118369,84003,3485,4457,247,478,112,76706,43546,2850,5647,234,556,201,35591,17126,1541,3837,129,295,90,12119,5027,707,1592,64,112,35,3012
UKN02,384428,16481,19126,674,1414,553,351321,185421,6766,4054,153,294,110,175341,127154,4507,4651,182,411,160,118519,53400,3187,5928,197,471,172,44880,14647,1415,3303,94,172,87,10333,3806,606,1190,48,66,24,2248
UKN03,434612,28556,21006,727,1461,714,388424,207427,13654,4961,181,352,194,190023,143272,8191,5145,205,402,223,130754,62764,4437,6321,220,477,197,52680,16975,1639,3417,77,179,86,12337,4174,635,1162,44,51,14,2630
UKN04,284667,19573,15291,567,1192,382,252186,135186,8951,4045,150,300,93,123084,89391,5419,3621,154,323,116,80831,43397,3300,4339,164,370,113,36240,13214,1369,2362,75,153,44,9792,3479,534,924,24,46,16,2239
UKN05,408491,40889,19332,855,1614,648,352187,204720,22048,5581,247,440,186,178865,126209,11120,4830,234,445,207,111189,57650,5334,5432,253,500,189,47514,15769,1743,2564,83,167,51,11844,4143,644,925,38,62,15,2775
95AA,52540,3660,2610,74,167,84,46679,26232,1856,628,25,42,35,23872,17238,1051,658,20,54,21,15637,6805,510,767,19,41,16,5640,1802,179,410,6,23,9,1254,463,64,147,4,7,3,276
95BB,77483,4909,3879,128,204,118,69495,35110,1996,828,22,41,25,32552,26599,1478,930,25,49,36,24378,11854,926,1201,45,70,38,9892,3136,351,684,21,37,18,2208,784,158,236,15,7,1,465
95CC,58638,5770,2760,86,223,167,50618,29876,3206,806,28,54,62,26105,18069,1570,710,14,65,43,15929,8073,685,781,35,79,42,6667,2112,237,333,7,20,16,1585,508,72,130,2,5,4,332
95DD,63403,4336,2889,104,245,103,56661,30257,2171,733,28,58,36,27548,21640,1264,734,30,73,34,19743,8981,621,895,34,85,26,7553,2075,202,403,10,24,6,1533,450,78,124,2,5,1,284
95EE,31054,2588,1396,41,77,22,27352,14599,1304,415,8,15,5,13003,10436,747,321,10,19,3,9430,4496,369,378,13,29,10,3804,1228,122,202,8,12,3,925,295,46,80,2,2,1,190
95FF,48045,4017,2122,82,147,42,42318,24012,2168,548,26,43,7,21473,15175,1098,506,27,39,17,13667,6548,503,631,17,43,9,5489,1840,185,332,11,16,8,1365,470,63,105,1,6,1,324
95GG,276141,13259,19850,930,1830,554,245797,126439,4676,4317,256,389,116,118369,84003,3485,4457,247,478,112,76706,43546,2850,5647,234,556,201,35591,17126,1541,3837,129,295,90,12119,5027,707,1592,64,112,35,3012
95HH,38785,1440,2113,71,163,66,35503,17690,439,400,11,24,12,16917,13231,403,512,20,36,22,12374,5849,376,680,25,80,21,4855,1634,166,402,13,18,9,1124,381,56,119,2,5,2,233
95II,66502,1966,3367,119,262,103,61453,31921,703,628,36,54,16,30669,21837,516,827,32,69,34,20535,9514,459,1111,29,104,35,8026,2572,190,586,12,22,16,1845,658,98,215,10,13,2,378
95JJ,57761,3157,2818,112,231,79,52147,26984,1409,697,36,75,25,24977,19750,957,708,32,54,32,18164,8525,548,861,28,68,13,7221,2000,181,405,12,25,7,1465,502,62,147,4,9,2,320
95KK,36711,3577,2257,75,107,49,31268,17313,1781,590,24,40,24,15082,11559,1043,546,18,19,12,10071,5726,514,647,19,32,10,4645,1650,173,336,6,11,1,1181,463,66,138,8,5,2,289
95LL,92513,5360,4795,144,349,159,82981,43820,2525,1104,30,73,41,40413,29498,1438,1111,47,97,49,27099,13802,861,1431,41,120,47,11625,4299,387,857,15,43,16,3141,1094,149,292,11,16,6,703
95MM,106500,6372,6848,255,479,192,94413,52038,2706,1915,66,121,44,47859,31269,1651,1587,70,132,55,28255,15899,1171,1787,69,144,56,13148,5686,588,1093,35,61,25,4150,1608,256,466,15,21,12,1001
95NN,68714,4777,3262,134,285,109,61152,33691,2320,800,42,78,24,30747,22033,1397,838,39,80,35,19922,9788,748,963,39,92,33,8172,2578,228,481,8,27,15,1921,624,84,180,6,8,2,390
95OO,57462,5565,2864,126,283,55,49549,28446,3060,836,37,96,14,24779,18328,1529,708,36,70,20,16218,7893,692,803,35,78,16,6498,2219,219,390,12,29,4,1654,576,65,127,6,10,1,400
95PP,61064,7092,2487,109,166,85,52143,30414,3761,734,26,34,10,26214,19437,2008,640,31,50,40,16947,8730,940,679,39,60,28,7210,1968,295,324,11,17,7,1429,515,88,110,2,5,0,343
95QQ,31914,1497,1449,61,64,99,29138,14305,618,320,8,17,26,13418,11089,465,368,17,10,31,10308,4986,268,433,25,26,28,4309,1245,107,250,6,9,14,915,289,39,78,5,2,0,188
95RR,32850,2694,1391,50,129,34,28990,15790,1315,371,12,37,2,14194,10430,761,323,12,39,19,9380,4880,414,423,19,40,11,4099,1427,160,214,7,10,1,1086,323,44,60,0,3,1,231
95SS,118525,7179,5638,187,391,147,106688,59370,3437,1426,48,82,41,54892,37538,1911,1344,31,113,41,34505,15748,1127,1602,61,117,41,13202,4628,488,907,31,55,16,3345,1241,216,359,16,24,8,744
95TT,44822,4493,2111,129,152,61,38620,22698,2473,618,41,55,14,19793,13934,1191,545,34,40,19,12281,6222,580,622,38,46,23,5090,1540,175,232,12,9,4,1171,428,74,94,4,2,1,285
95UU,16907,1386,946,32,45,25,14718,7904,644,252,3,8,6,7061,5547,415,223,6,14,4,4941,2639,216,308,17,15,11,2143,636,77,120,5,6,4,457,181,34,43,1,2,0,116
95VV,98922,9251,4667,221,495,182,85915,51063,4991,1410,57,118,48,45134,29560,2421,1157,74,151,57,26174,13179,1231,1235,56,132,59,10828,4032,422,643,24,67,13,3050,1088,186,222,10,27,5,729
95WW,83141,2952,4217,167,330,85,76363,39198,1190,818,35,82,13,37284,27853,826,1003,51,92,25,26095,11900,561,1322,48,99,32,10101,3318,273,780,22,41,11,2361,872,102,294,11,16,4,522
95XX,77475,2944,3791,130,268,152,71314,37242,997,782,23,52,28,35579,26695,851,965,48,101,38,25010,10389,664,1213,34,71,43,8696,2495,298,628,16,36,35,1658,654,134,203,9,8,8,371
95YY,50872,5141,2186,109,188,49,44074,24910,2776,587,34,43,14,21758,15322,1358,524,27,50,16,13569,7827,692,665,31,73,11,6576,2248,222,306,11,14,6,1774,565,93,104,6,8,2,397
95ZZ,39595,3376,1892,77,231,30,34566,17871,1573,395,25,44,11,15990,11959,888,459,24,65,3,10661,6958,582,582,18,74,12,5825,2237,241,328,8,39,4,1709,570,92,128,2,9,0,381
