GeographyCode,DC2405NI0001,DC2405NI0002,DC2405NI0003,DC2405NI0004,DC2405NI0005,DC2405NI0006,DC2405NI0007,DC2405NI0008,DC2405NI0009,DC2405NI0010,DC2405NI0011,DC2405NI0012,DC2405NI0013,DC2405NI0014,DC2405NI0015,DC2405NI0016,DC2405NI0017,DC2405NI0018,DC2405NI0019,DC2405NI0020,DC2405NI0021,DC2405NI0022,DC2405NI0023,DC2405NI0024,DC2405NI0025,DC2405NI0026,DC2405NI0027,DC2405NI0028,DC2405NI0029,DC2405NI0030,DC2405NI0031,DC2405NI0032,DC2405NI0033,DC2405NI0034,DC2405NI0035,DC2405NI0036,DC2405NI0037,DC2405NI0038,DC2405NI0039,DC2405NI0040,DC2405NI0041,DC2405NI0042,DC2405NI0043,DC2405NI0044,DC2405NI0045,DC2405NI0046,DC2405NI0047,DC2405NI0048,DC2405NI0049,DC2405NI0050,DC2405NI0051,DC2405NI0052,DC2405NI0053,DC2405NI0054,DC2405NI0055,DC2405NI0056,DC2405NI0057,DC2405NI0058,DC2405NI0059,DC2405NI0060,DC2405NI0061,DC2405NI0062,DC2405NI0063,DC2405NI0064,DC2405NI0065,DC2405NI0066,DC2405NI0067,DC2405NI0068,DC2405NI0069,DC2405NI0070,DC2405NI0071,DC2405NI0072,DC2405NI0073,DC2405NI0074,DC2405NI0075,DC2405NI0076,DC2405NI0077,DC2405NI0078,DC2405NI0079,DC2405NI0080,DC2405NI0081,DC2405NI0082,DC2405NI0083,DC2405NI0084,DC2405NI0085,DC2405NI0086,DC2405NI0087,DC2405NI0088,DC2405NI0089,DC2405NI0090,DC2405NI0091,DC2405NI0092,DC2405NI0093,DC2405NI0094,DC2405NI0095,DC2405NI0096,DC2405NI0097,DC2405NI0098,DC2405NI0099,DC2405NI0100,DC2405NI0101,DC2405NI0102,DC2405NI0103,DC2405NI0104,DC2405NI0105,DC2405NI0106,DC2405NI0107,DC2405NI0108,DC2405NI0109,DC2405NI0110,DC2405NI0111,DC2405NI0112
N92000002,703275,693990,693524,466,6186,2002,2162,346,164,1512,1294,168,858,268,961,844,196414,194837,194650,187,861,326,260,63,27,185,264,33,181,50,219,233,212286,210105,210014,91,1382,515,459,51,31,326,299,46,187,66,263,237,117920,115823,115767,56,1507,453,622,54,25,353,267,36,190,41,198,125,103137,101018,100955,63,1575,460,613,98,30,374,233,27,168,38,167,144,73518,72207,72138,69,861,248,208,80,51,274,231,26,132,73,114,105,2.54,2.54,2.54,2.55,3.10,2.95,3.05,3.46,3.52,3.23,2.98,2.89,2.93,3.21,2.73,2.65
BHSCT,148328,144517,144437,80,2731,860,958,99,75,739,503,53,403,47,306,271,50611,49879,49835,44,421,153,128,23,15,102,138,12,110,16,82,91,45387,44498,44485,13,601,222,199,12,15,153,114,14,85,15,97,77,23640,22709,22699,10,739,191,341,21,15,171,97,12,80,5,55,40,17941,17116,17109,7,647,199,236,25,13,174,88,6,79,3,48,42,10749,10315,10309,6,323,95,54,18,17,139,66,9,49,8,24,21,2.31,2.29,2.30,2.09,3.01,2.90,2.90,3.26,3.27,3.21,2.72,2.74,2.75,2.47,2.50,2.40
NHSCT,177914,176172,176099,73,1220,434,444,91,14,237,194,29,134,31,190,138,46858,46582,46547,35,167,62,60,13,3,29,35,5,25,5,37,37,55248,54822,54811,11,296,113,107,21,1,54,46,6,29,11,46,38,30174,29792,29780,12,275,111,100,7,3,54,43,11,28,4,42,22,27012,26611,26603,8,302,85,125,27,3,62,37,3,31,3,35,27,18622,18365,18358,7,180,63,52,23,4,38,33,4,21,8,30,14,2.57,2.56,2.56,2.22,3.08,2.99,3.05,3.43,3.43,3.17,3.02,2.90,3.03,3.10,2.91,2.62
SEHSCT,136698,135326,135275,51,842,276,268,46,53,199,218,35,118,65,176,136,36574,36364,36343,21,94,37,25,6,7,19,36,10,12,14,42,38,44255,43947,43937,10,169,66,34,4,10,55,48,10,25,13,51,40,23269,22995,22989,6,167,56,62,6,2,41,55,5,37,13,36,16,20450,20105,20098,7,253,76,102,19,8,48,41,7,23,11,27,24,12150,11915,11908,7,159,41,45,11,26,36,38,3,21,14,20,18,2.50,2.50,2.50,2.53,3.33,3.13,3.42,3.72,4.00,3.24,3.01,2.51,3.14,3.03,2.66,2.65
SHSCT,131129,129766,129584,182,744,251,201,72,19,201,271,24,148,99,158,190,32965,32769,32714,55,90,35,17,13,2,23,38,3,23,12,30,38,37040,36731,36695,36,174,74,52,5,4,39,52,8,30,14,38,45,22440,22154,22130,24,159,51,48,11,5,44,60,4,41,15,36,31,20828,20510,20478,32,205,60,63,22,5,55,50,3,29,18,28,35,17856,17602,17567,35,116,31,21,21,3,40,71,6,25,40,26,41,2.71,2.71,2.71,2.87,3.22,2.99,3.13,3.85,3.21,3.36,3.44,3.58,3.14,3.84,2.96,3.11
WHSCT,109206,108209,108129,80,649,181,291,38,3,136,108,27,55,26,131,109,29406,29243,29211,32,89,39,30,8,0,12,17,3,11,3,28,29,30356,30107,30086,21,142,40,67,9,1,25,39,8,18,13,31,37,18397,18173,18169,4,167,44,71,9,0,43,12,4,4,4,29,16,16906,16676,16667,9,168,40,87,5,1,35,17,8,6,3,29,16,14141,14010,13996,14,83,18,36,7,1,21,23,4,16,3,14,11,2.66,2.66,2.66,2.58,3.08,2.80,3.18,3.00,3.67,3.29,2.95,3.07,3.02,2.69,2.80,2.51
BELB,120595,117336,117260,76,2294,707,851,74,62,600,460,49,366,45,267,238,42401,41735,41693,42,381,142,116,20,13,90,131,11,104,16,74,80,36385,35607,35595,12,519,190,181,10,13,125,103,13,76,14,85,71,19166,18356,18346,10,638,159,313,15,12,139,89,11,74,4,48,35,13886,13213,13207,6,517,147,197,18,12,143,80,5,72,3,42,34,8757,8425,8419,6,239,69,44,11,12,103,57,9,40,8,18,18,2.29,2.28,2.28,2.09,2.93,2.79,2.86,3.08,3.19,3.16,2.68,2.76,2.70,2.47,2.45,2.36
NEELB,165010,163368,163297,71,1167,403,434,87,14,229,158,27,109,22,183,134,43835,43580,43546,34,158,57,58,13,3,27,28,5,19,4,35,34,51762,51366,51355,11,278,104,103,19,1,51,38,6,24,8,42,38,28079,27716,27705,11,265,103,100,7,3,52,35,11,21,3,41,22,24874,24487,24479,8,294,80,123,26,3,62,32,2,28,2,35,26,16460,16219,16212,7,172,59,50,22,4,37,25,3,17,5,30,14,2.55,2.54,2.54,2.23,3.10,3.00,3.05,3.40,3.43,3.20,2.99,2.74,3.08,2.86,2.95,2.65
SEELB,164431,162507,162452,55,1279,429,375,71,66,338,261,39,155,67,215,169,44784,44508,44485,23,134,48,37,9,9,31,43,11,18,14,50,49,53257,52838,52827,11,251,98,52,6,12,83,59,11,34,14,63,46,27743,27348,27342,6,268,88,90,12,5,73,63,6,43,14,43,21,24505,24008,24000,8,383,128,141,26,9,79,49,8,30,11,33,32,14142,13805,13798,7,243,67,55,18,31,72,47,3,30,14,26,21,2.49,2.48,2.48,2.49,3.35,3.23,3.34,3.75,3.92,3.31,3.02,2.51,3.15,3.01,2.68,2.66
SELB,144033,142570,142386,184,797,282,211,76,19,209,307,26,173,108,165,194,35988,35771,35715,56,99,40,19,13,2,25,45,3,29,13,32,41,40526,40187,40151,36,192,83,56,7,4,42,60,8,35,17,42,45,24535,24230,24205,25,169,59,48,11,5,46,68,4,48,16,37,31,22966,22634,22602,32,213,65,65,23,5,55,55,4,32,19,28,36,20018,19748,19713,35,124,35,23,22,3,41,79,7,29,43,26,41,2.72,2.72,2.72,2.86,3.19,2.97,3.11,3.86,3.21,3.33,3.40,3.69,3.09,3.82,2.92,3.08
