GeographyCode,DC6302NI0001,DC6302NI0002,DC6302NI0003,DC6302NI0004,DC6302NI0005,DC6302NI0006,DC6302NI0007,DC6302NI0008,DC6302NI0009,DC6302NI0010,DC6302NI0011,DC6302NI0012,DC6302NI0013,DC6302NI0014,DC6302NI0015,DC6302NI0016,DC6302NI0017,DC6302NI0018,DC6302NI0019,DC6302NI0020,DC6302NI0021,DC6302NI0022,DC6302NI0023,DC6302NI0024,DC6302NI0025,DC6302NI0026,DC6302NI0027,DC6302NI0028,DC6302NI0029,DC6302NI0030,DC6302NI0031,DC6302NI0032,DC6302NI0033,DC6302NI0034,DC6302NI0035,DC6302NI0036,DC6302NI0037,DC6302NI0038,DC6302NI0039,DC6302NI0040,DC6302NI0041,DC6302NI0042,DC6302NI0043,DC6302NI0044,DC6302NI0045,DC6302NI0046,DC6302NI0047,DC6302NI0048,DC6302NI0049,DC6302NI0050,DC6302NI0051,DC6302NI0052,DC6302NI0053,DC6302NI0054,DC6302NI0055,DC6302NI0056,DC6302NI0057,DC6302NI0058,DC6302NI0059,DC6302NI0060,DC6302NI0061,DC6302NI0062,DC6302NI0063,DC6302NI0064,DC6302NI0065,DC6302NI0066,DC6302NI0067,DC6302NI0068,DC6302NI0069,DC6302NI0070,DC6302NI0071,DC6302NI0072
N92000002,1431540,213851,1217689,573488,106893,466595,499414,78300,421114,258431,24461,233970,79070,3590,75480,21137,607,20530,206513,11289,195224,3042,418,2624,18494,1826,16668,96443,5766,90677,68464,2754,65710,20070,525,19545,148109,20090,128019,6443,1457,4986,48310,8620,39690,84679,9358,75321,8200,635,7565,477,20,457,1076918,182472,894446,564003,105018,458985,432610,67854,364756,77309,9337,67972,2406,201,2205,590,62,528
BHSCT,283079,43158,239921,110837,22216,88621,93979,15195,78784,52518,4743,47775,19954,853,19101,5791,151,5640,46625,2268,44357,608,96,512,3661,344,3317,19601,1061,18540,17247,635,16612,5508,132,5376,29307,3784,25523,1196,295,901,9167,1624,7543,16691,1697,14994,2122,163,1959,131,5,126,207147,37106,170041,109033,21825,87208,81151,13227,67924,16226,1985,14241,585,55,530,152,14,138
NHSCT,366872,53975,312897,145331,26447,118884,133754,20328,113426,65769,6261,59508,17541,801,16740,4477,138,4339,48076,2691,45385,636,83,553,4566,427,4139,23463,1443,22020,15167,620,14547,4244,118,4126,38312,5182,33130,1656,382,1274,12699,2207,10492,22004,2443,19561,1862,146,1716,91,4,87,280484,46102,234382,143039,25982,117057,116489,17694,98795,20302,2375,17927,512,35,477,142,16,126
SEHSCT,275606,43217,232389,111262,21145,90117,100104,16343,83761,47605,4933,42672,13165,693,12472,3470,103,3367,35937,2202,33735,561,77,484,3605,385,3220,17013,1123,15890,11456,527,10929,3302,90,3212,28953,4285,24668,1390,313,1077,10116,1889,8227,16037,1950,14087,1343,131,1212,67,2,65,210716,36730,173986,109311,20755,88556,86383,14069,72314,14555,1860,12695,366,35,331,101,11,90
SHSCT,276654,39908,236746,114438,20401,94037,95123,14232,80891,48702,4536,44166,14615,636,13979,3776,103,3673,39336,2171,37165,694,82,612,3555,348,3207,18859,1148,17711,12646,500,12146,3582,93,3489,27153,3613,23540,1190,249,941,8820,1545,7275,15579,1720,13859,1468,96,1372,96,3,93,210165,34124,176041,112554,20070,92484,82748,12339,70409,14264,1668,12596,501,40,461,98,7,91
WHSCT,229329,33593,195736,91620,16684,74936,76454,12202,64252,43837,3988,39849,13795,607,13188,3623,112,3511,36539,1957,34582,543,80,463,3107,322,2785,17507,991,16516,11948,472,11476,3434,92,3342,24384,3226,21158,1011,218,793,7508,1355,6153,14368,1548,12820,1405,99,1306,92,6,86,168406,28410,139996,90066,16386,73680,65839,10525,55314,11962,1449,10513,442,36,406,97,14,83
BELB,228679,34407,194272,88813,17750,71063,74504,12046,62458,42994,3768,39226,17260,714,16546,5108,129,4979,39502,1817,37685,485,75,410,2972,273,2699,16296,830,15466,14891,525,14366,4858,114,4744,23633,2999,20634,954,229,725,7217,1272,5945,13483,1349,12134,1862,145,1717,117,4,113,165544,29591,135953,87374,17446,69928,64315,10501,53814,13215,1589,11626,507,44,463,133,11,122
NEELB,338153,50153,288000,134155,24667,109488,123993,18879,105114,60123,5765,54358,15874,724,15150,4008,118,3890,43681,2439,41242,578,77,501,4267,398,3869,21285,1303,19982,13749,561,13188,3802,100,3702,35295,4824,30471,1543,359,1184,11818,2067,9751,20188,2263,17925,1663,131,1532,83,4,79,259177,42890,216287,132034,24231,107803,107908,16414,91494,18650,2199,16451,462,32,430,123,14,109
SEELB,330006,51968,278038,133286,25611,107675,119579,19492,100087,57129,5908,51221,15859,832,15027,4153,125,4028,43060,2653,40407,684,98,586,4294,456,3838,20318,1354,18964,13812,637,13175,3952,108,3844,34627,5070,29557,1632,379,1253,12066,2241,9825,19245,2298,16947,1603,149,1454,81,3,78,252319,44245,208074,130970,25134,105836,103219,16795,86424,17566,2256,15310,444,46,398,120,14,106
SELB,305373,43730,261643,125614,22181,103433,104884,15681,89203,54348,5032,49316,16282,713,15569,4245,123,4122,43731,2423,41308,752,88,664,3854,377,3477,21037,1288,19749,14064,559,13505,4024,111,3913,30170,3971,26199,1303,272,1031,9701,1685,8016,17395,1900,15495,1667,111,1556,104,3,101,231472,37336,194136,123559,21821,101738,91329,13619,77710,15916,1844,14072,551,43,508,117,9,108
