GeographyCode,DC2250NI0001,DC2250NI0002,DC2250NI0003,DC2250NI0004,DC2250NI0005,DC2250NI0006,DC2250NI0007,DC2250NI0008,DC2250NI0009,DC2250NI0010,DC2250NI0011,DC2250NI0012,DC2250NI0013,DC2250NI0014,DC2250NI0015,DC2250NI0016,DC2250NI0017,DC2250NI0018,DC2250NI0019,DC2250NI0020,DC2250NI0021,DC2250NI0022,DC2250NI0023,DC2250NI0024,DC2250NI0025,DC2250NI0026,DC2250NI0027,DC2250NI0028,DC2250NI0029,DC2250NI0030,DC2250NI0031,DC2250NI0032,DC2250NI0033,DC2250NI0034,DC2250NI0035,DC2250NI0036,DC2250NI0037,DC2250NI0038,DC2250NI0039,DC2250NI0040,DC2250NI0041,DC2250NI0042,DC2250NI0043,DC2250NI0044,DC2250NI0045
95GG,280962,136497,118856,4825,20784,45310,21584,19770,388,3568,236374,117353,100050,2639,16332,162711,53799,93978,2031,12903,66716,59041,5314,433,1928,3697,3204,126,50,317,271,185,21,3,62,2979,1124,611,122,1122,6570,1705,1382,2014,1469
95HH,39114,3738,31005,357,4014,5898,545,4520,29,804,33503,3209,26789,307,3198,31279,2326,25705,270,2978,1876,668,1008,37,163,169,145,11,0,13,20,17,3,0,0,159,53,62,0,44,395,101,169,49,76
95II,67242,14955,45669,842,5776,8240,1258,6005,62,915,59646,14055,40114,651,4826,51008,7865,38296,559,4288,7869,5696,1719,80,374,397,329,17,3,48,51,36,4,1,10,321,129,78,8,106,994,327,320,197,150
95JJ,59067,16552,38560,541,3414,12508,3396,8241,62,809,47006,13367,30702,406,2531,39465,7912,29036,327,2190,6407,4574,1556,63,214,799,759,11,2,27,22,18,2,1,1,313,104,97,13,99,679,186,256,107,130
95KK,37013,21933,13982,177,921,9009,5234,3496,32,247,28430,17069,10580,127,654,19149,8576,10054,101,418,8192,7664,446,19,63,257,242,6,2,7,150,135,6,0,9,682,452,68,5,157,212,119,38,25,30
95LL,93023,42735,44686,851,4751,17255,7935,8171,75,1074,76486,35338,36872,670,3606,53871,15825,35002,540,2504,17935,15936,1595,88,316,2111,1914,49,9,139,1045,807,34,3,201,1524,856,192,30,446,925,345,286,165,129
95MM,107877,80729,24105,823,2220,20685,15332,4846,29,478,87961,66446,19337,533,1645,39838,20639,17665,401,1133,47115,45004,1577,110,424,522,483,17,9,13,65,52,1,1,11,421,268,77,12,64,1165,520,214,294,137
95NN,69731,43591,22372,409,3359,13953,9122,4095,55,681,56863,35323,18553,328,2659,40321,20500,17363,262,2196,15740,14240,1120,64,316,339,328,3,0,8,142,115,12,0,15,321,140,55,2,124,641,294,188,57,102
95OO,57852,37087,19111,324,1330,12543,7438,4762,46,297,45896,30195,14436,253,1012,25027,11040,13323,155,509,16005,15007,858,39,101,1301,1259,18,7,17,1913,1717,56,2,138,1650,1172,181,50,247,474,287,105,36,46
95PP,61805,36563,23350,353,1539,15364,9019,5924,52,369,46968,27935,17625,254,1154,28475,11534,15993,182,766,17027,15316,1479,52,180,644,593,33,4,14,369,264,33,4,68,453,228,87,12,126,472,262,113,59,38
