ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC2613NI0001,Count,PERSONS,"All categories: Occupation, All categories: Sex, Proficiency in English: Total"
DC2613NI0002,Count,PERSONS,"All categories: Occupation, All categories: Sex, Main language is English "
DC2613NI0003,Count,PERSONS,"All categories: Occupation, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0004,Count,PERSONS,"All categories: Occupation, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0005,Count,PERSONS,"All categories: Occupation, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0006,Count,PERSONS,"All categories: Occupation, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0007,Count,PERSONS,"All categories: Occupation, Males, Proficiency in English: Total"
DC2613NI0008,Count,PERSONS,"All categories: Occupation, Males, Main language is English "
DC2613NI0009,Count,PERSONS,"All categories: Occupation, Males, Main language is not English: Can speak English very well"
DC2613NI0010,Count,PERSONS,"All categories: Occupation, Males, Main language is not English: Can speak English well"
DC2613NI0011,Count,PERSONS,"All categories: Occupation, Males, Main language is not English: Cannot speak English well"
DC2613NI0012,Count,PERSONS,"All categories: Occupation, Males, Main language is not English: Cannot speak English"
DC2613NI0013,Count,PERSONS,"All categories: Occupation, Females, Proficiency in English: Total"
DC2613NI0014,Count,PERSONS,"All categories: Occupation, Females, Main language is English "
DC2613NI0015,Count,PERSONS,"All categories: Occupation, Females, Main language is not English: Can speak English very well"
DC2613NI0016,Count,PERSONS,"All categories: Occupation, Females, Main language is not English: Can speak English well"
DC2613NI0017,Count,PERSONS,"All categories: Occupation, Females, Main language is not English: Cannot speak English well"
DC2613NI0018,Count,PERSONS,"All categories: Occupation, Females, Main language is not English: Cannot speak English"
DC2613NI0019,Count,PERSONS,"1 Managers, directors and senior officials, All categories: Sex, Proficiency in English: Total"
DC2613NI0020,Count,PERSONS,"1 Managers, directors and senior officials, All categories: Sex, Main language is English "
DC2613NI0021,Count,PERSONS,"1 Managers, directors and senior officials, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0022,Count,PERSONS,"1 Managers, directors and senior officials, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0023,Count,PERSONS,"1 Managers, directors and senior officials, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0024,Count,PERSONS,"1 Managers, directors and senior officials, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0025,Count,PERSONS,"1 Managers, directors and senior officials, Males, Proficiency in English: Total"
DC2613NI0026,Count,PERSONS,"1 Managers, directors and senior officials, Males, Main language is English "
DC2613NI0027,Count,PERSONS,"1 Managers, directors and senior officials, Males, Main language is not English: Can speak English very well"
DC2613NI0028,Count,PERSONS,"1 Managers, directors and senior officials, Males, Main language is not English: Can speak English well"
DC2613NI0029,Count,PERSONS,"1 Managers, directors and senior officials, Males, Main language is not English: Cannot speak English well"
DC2613NI0030,Count,PERSONS,"1 Managers, directors and senior officials, Males, Main language is not English: Cannot speak English"
DC2613NI0031,Count,PERSONS,"1 Managers, directors and senior officials, Females, Proficiency in English: Total"
DC2613NI0032,Count,PERSONS,"1 Managers, directors and senior officials, Females, Main language is English "
DC2613NI0033,Count,PERSONS,"1 Managers, directors and senior officials, Females, Main language is not English: Can speak English very well"
DC2613NI0034,Count,PERSONS,"1 Managers, directors and senior officials, Females, Main language is not English: Can speak English well"
DC2613NI0035,Count,PERSONS,"1 Managers, directors and senior officials, Females, Main language is not English: Cannot speak English well"
DC2613NI0036,Count,PERSONS,"1 Managers, directors and senior officials, Females, Main language is not English: Cannot speak English"
DC2613NI0037,Count,PERSONS,"11 Corporate managers and directors, All categories: Sex, Proficiency in English: Total"
DC2613NI0038,Count,PERSONS,"11 Corporate managers and directors, All categories: Sex, Main language is English "
DC2613NI0039,Count,PERSONS,"11 Corporate managers and directors, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0040,Count,PERSONS,"11 Corporate managers and directors, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0041,Count,PERSONS,"11 Corporate managers and directors, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0042,Count,PERSONS,"11 Corporate managers and directors, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0043,Count,PERSONS,"11 Corporate managers and directors, Males, Proficiency in English: Total"
DC2613NI0044,Count,PERSONS,"11 Corporate managers and directors, Males, Main language is English "
DC2613NI0045,Count,PERSONS,"11 Corporate managers and directors, Males, Main language is not English: Can speak English very well"
DC2613NI0046,Count,PERSONS,"11 Corporate managers and directors, Males, Main language is not English: Can speak English well"
DC2613NI0047,Count,PERSONS,"11 Corporate managers and directors, Males, Main language is not English: Cannot speak English well"
DC2613NI0048,Count,PERSONS,"11 Corporate managers and directors, Males, Main language is not English: Cannot speak English"
DC2613NI0049,Count,PERSONS,"11 Corporate managers and directors, Females, Proficiency in English: Total"
DC2613NI0050,Count,PERSONS,"11 Corporate managers and directors, Females, Main language is English "
DC2613NI0051,Count,PERSONS,"11 Corporate managers and directors, Females, Main language is not English: Can speak English very well"
DC2613NI0052,Count,PERSONS,"11 Corporate managers and directors, Females, Main language is not English: Can speak English well"
DC2613NI0053,Count,PERSONS,"11 Corporate managers and directors, Females, Main language is not English: Cannot speak English well"
DC2613NI0054,Count,PERSONS,"11 Corporate managers and directors, Females, Main language is not English: Cannot speak English"
DC2613NI0055,Count,PERSONS,"12 Other managers and proprietors, All categories: Sex, Proficiency in English: Total"
DC2613NI0056,Count,PERSONS,"12 Other managers and proprietors, All categories: Sex, Main language is English "
DC2613NI0057,Count,PERSONS,"12 Other managers and proprietors, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0058,Count,PERSONS,"12 Other managers and proprietors, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0059,Count,PERSONS,"12 Other managers and proprietors, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0060,Count,PERSONS,"12 Other managers and proprietors, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0061,Count,PERSONS,"12 Other managers and proprietors, Males, Proficiency in English: Total"
DC2613NI0062,Count,PERSONS,"12 Other managers and proprietors, Males, Main language is English "
DC2613NI0063,Count,PERSONS,"12 Other managers and proprietors, Males, Main language is not English: Can speak English very well"
DC2613NI0064,Count,PERSONS,"12 Other managers and proprietors, Males, Main language is not English: Can speak English well"
DC2613NI0065,Count,PERSONS,"12 Other managers and proprietors, Males, Main language is not English: Cannot speak English well"
DC2613NI0066,Count,PERSONS,"12 Other managers and proprietors, Males, Main language is not English: Cannot speak English"
DC2613NI0067,Count,PERSONS,"12 Other managers and proprietors, Females, Proficiency in English: Total"
DC2613NI0068,Count,PERSONS,"12 Other managers and proprietors, Females, Main language is English "
DC2613NI0069,Count,PERSONS,"12 Other managers and proprietors, Females, Main language is not English: Can speak English very well"
DC2613NI0070,Count,PERSONS,"12 Other managers and proprietors, Females, Main language is not English: Can speak English well"
DC2613NI0071,Count,PERSONS,"12 Other managers and proprietors, Females, Main language is not English: Cannot speak English well"
DC2613NI0072,Count,PERSONS,"12 Other managers and proprietors, Females, Main language is not English: Cannot speak English"
DC2613NI0073,Count,PERSONS,"2 Professional occupations, All categories: Sex, Proficiency in English: Total"
DC2613NI0074,Count,PERSONS,"2 Professional occupations, All categories: Sex, Main language is English "
DC2613NI0075,Count,PERSONS,"2 Professional occupations, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0076,Count,PERSONS,"2 Professional occupations, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0077,Count,PERSONS,"2 Professional occupations, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0078,Count,PERSONS,"2 Professional occupations, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0079,Count,PERSONS,"2 Professional occupations, Males, Proficiency in English: Total"
DC2613NI0080,Count,PERSONS,"2 Professional occupations, Males, Main language is English "
DC2613NI0081,Count,PERSONS,"2 Professional occupations, Males, Main language is not English: Can speak English very well"
DC2613NI0082,Count,PERSONS,"2 Professional occupations, Males, Main language is not English: Can speak English well"
DC2613NI0083,Count,PERSONS,"2 Professional occupations, Males, Main language is not English: Cannot speak English well"
DC2613NI0084,Count,PERSONS,"2 Professional occupations, Males, Main language is not English: Cannot speak English"
DC2613NI0085,Count,PERSONS,"2 Professional occupations, Females, Proficiency in English: Total"
DC2613NI0086,Count,PERSONS,"2 Professional occupations, Females, Main language is English "
DC2613NI0087,Count,PERSONS,"2 Professional occupations, Females, Main language is not English: Can speak English very well"
DC2613NI0088,Count,PERSONS,"2 Professional occupations, Females, Main language is not English: Can speak English well"
DC2613NI0089,Count,PERSONS,"2 Professional occupations, Females, Main language is not English: Cannot speak English well"
DC2613NI0090,Count,PERSONS,"2 Professional occupations, Females, Main language is not English: Cannot speak English"
DC2613NI0091,Count,PERSONS,"21 Science, research, engineering and technology professionals, All categories: Sex, Proficiency in English: Total"
DC2613NI0092,Count,PERSONS,"21 Science, research, engineering and technology professionals, All categories: Sex, Main language is English "
DC2613NI0093,Count,PERSONS,"21 Science, research, engineering and technology professionals, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0094,Count,PERSONS,"21 Science, research, engineering and technology professionals, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0095,Count,PERSONS,"21 Science, research, engineering and technology professionals, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0096,Count,PERSONS,"21 Science, research, engineering and technology professionals, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0097,Count,PERSONS,"21 Science, research, engineering and technology professionals, Males, Proficiency in English: Total"
DC2613NI0098,Count,PERSONS,"21 Science, research, engineering and technology professionals, Males, Main language is English "
DC2613NI0099,Count,PERSONS,"21 Science, research, engineering and technology professionals, Males, Main language is not English: Can speak English very well"
DC2613NI0100,Count,PERSONS,"21 Science, research, engineering and technology professionals, Males, Main language is not English: Can speak English well"
DC2613NI0101,Count,PERSONS,"21 Science, research, engineering and technology professionals, Males, Main language is not English: Cannot speak English well"
DC2613NI0102,Count,PERSONS,"21 Science, research, engineering and technology professionals, Males, Main language is not English: Cannot speak English"
DC2613NI0103,Count,PERSONS,"21 Science, research, engineering and technology professionals, Females, Proficiency in English: Total"
DC2613NI0104,Count,PERSONS,"21 Science, research, engineering and technology professionals, Females, Main language is English "
DC2613NI0105,Count,PERSONS,"21 Science, research, engineering and technology professionals, Females, Main language is not English: Can speak English very well"
DC2613NI0106,Count,PERSONS,"21 Science, research, engineering and technology professionals, Females, Main language is not English: Can speak English well"
DC2613NI0107,Count,PERSONS,"21 Science, research, engineering and technology professionals, Females, Main language is not English: Cannot speak English well"
DC2613NI0108,Count,PERSONS,"21 Science, research, engineering and technology professionals, Females, Main language is not English: Cannot speak English"
DC2613NI0109,Count,PERSONS,"22 Health professionals, All categories: Sex, Proficiency in English: Total"
DC2613NI0110,Count,PERSONS,"22 Health professionals, All categories: Sex, Main language is English "
DC2613NI0111,Count,PERSONS,"22 Health professionals, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0112,Count,PERSONS,"22 Health professionals, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0113,Count,PERSONS,"22 Health professionals, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0114,Count,PERSONS,"22 Health professionals, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0115,Count,PERSONS,"22 Health professionals, Males, Proficiency in English: Total"
DC2613NI0116,Count,PERSONS,"22 Health professionals, Males, Main language is English "
DC2613NI0117,Count,PERSONS,"22 Health professionals, Males, Main language is not English: Can speak English very well"
DC2613NI0118,Count,PERSONS,"22 Health professionals, Males, Main language is not English: Can speak English well"
DC2613NI0119,Count,PERSONS,"22 Health professionals, Males, Main language is not English: Cannot speak English well"
DC2613NI0120,Count,PERSONS,"22 Health professionals, Males, Main language is not English: Cannot speak English"
DC2613NI0121,Count,PERSONS,"22 Health professionals, Females, Proficiency in English: Total"
DC2613NI0122,Count,PERSONS,"22 Health professionals, Females, Main language is English "
DC2613NI0123,Count,PERSONS,"22 Health professionals, Females, Main language is not English: Can speak English very well"
DC2613NI0124,Count,PERSONS,"22 Health professionals, Females, Main language is not English: Can speak English well"
DC2613NI0125,Count,PERSONS,"22 Health professionals, Females, Main language is not English: Cannot speak English well"
DC2613NI0126,Count,PERSONS,"22 Health professionals, Females, Main language is not English: Cannot speak English"
DC2613NI0127,Count,PERSONS,"23 Teaching and educational professionals, All categories: Sex, Proficiency in English: Total"
DC2613NI0128,Count,PERSONS,"23 Teaching and educational professionals, All categories: Sex, Main language is English "
DC2613NI0129,Count,PERSONS,"23 Teaching and educational professionals, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0130,Count,PERSONS,"23 Teaching and educational professionals, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0131,Count,PERSONS,"23 Teaching and educational professionals, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0132,Count,PERSONS,"23 Teaching and educational professionals, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0133,Count,PERSONS,"23 Teaching and educational professionals, Males, Proficiency in English: Total"
DC2613NI0134,Count,PERSONS,"23 Teaching and educational professionals, Males, Main language is English "
DC2613NI0135,Count,PERSONS,"23 Teaching and educational professionals, Males, Main language is not English: Can speak English very well"
DC2613NI0136,Count,PERSONS,"23 Teaching and educational professionals, Males, Main language is not English: Can speak English well"
DC2613NI0137,Count,PERSONS,"23 Teaching and educational professionals, Males, Main language is not English: Cannot speak English well"
DC2613NI0138,Count,PERSONS,"23 Teaching and educational professionals, Males, Main language is not English: Cannot speak English"
DC2613NI0139,Count,PERSONS,"23 Teaching and educational professionals, Females, Proficiency in English: Total"
DC2613NI0140,Count,PERSONS,"23 Teaching and educational professionals, Females, Main language is English "
DC2613NI0141,Count,PERSONS,"23 Teaching and educational professionals, Females, Main language is not English: Can speak English very well"
DC2613NI0142,Count,PERSONS,"23 Teaching and educational professionals, Females, Main language is not English: Can speak English well"
DC2613NI0143,Count,PERSONS,"23 Teaching and educational professionals, Females, Main language is not English: Cannot speak English well"
DC2613NI0144,Count,PERSONS,"23 Teaching and educational professionals, Females, Main language is not English: Cannot speak English"
DC2613NI0145,Count,PERSONS,"24 Business, media and public service professionals, All categories: Sex, Proficiency in English: Total"
DC2613NI0146,Count,PERSONS,"24 Business, media and public service professionals, All categories: Sex, Main language is English "
DC2613NI0147,Count,PERSONS,"24 Business, media and public service professionals, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0148,Count,PERSONS,"24 Business, media and public service professionals, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0149,Count,PERSONS,"24 Business, media and public service professionals, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0150,Count,PERSONS,"24 Business, media and public service professionals, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0151,Count,PERSONS,"24 Business, media and public service professionals, Males, Proficiency in English: Total"
DC2613NI0152,Count,PERSONS,"24 Business, media and public service professionals, Males, Main language is English "
DC2613NI0153,Count,PERSONS,"24 Business, media and public service professionals, Males, Main language is not English: Can speak English very well"
DC2613NI0154,Count,PERSONS,"24 Business, media and public service professionals, Males, Main language is not English: Can speak English well"
DC2613NI0155,Count,PERSONS,"24 Business, media and public service professionals, Males, Main language is not English: Cannot speak English well"
DC2613NI0156,Count,PERSONS,"24 Business, media and public service professionals, Males, Main language is not English: Cannot speak English"
DC2613NI0157,Count,PERSONS,"24 Business, media and public service professionals, Females, Proficiency in English: Total"
DC2613NI0158,Count,PERSONS,"24 Business, media and public service professionals, Females, Main language is English "
DC2613NI0159,Count,PERSONS,"24 Business, media and public service professionals, Females, Main language is not English: Can speak English very well"
DC2613NI0160,Count,PERSONS,"24 Business, media and public service professionals, Females, Main language is not English: Can speak English well"
DC2613NI0161,Count,PERSONS,"24 Business, media and public service professionals, Females, Main language is not English: Cannot speak English well"
DC2613NI0162,Count,PERSONS,"24 Business, media and public service professionals, Females, Main language is not English: Cannot speak English"
DC2613NI0163,Count,PERSONS,"3 Associate professional and technical occupations, All categories: Sex, Proficiency in English: Total"
DC2613NI0164,Count,PERSONS,"3 Associate professional and technical occupations, All categories: Sex, Main language is English "
DC2613NI0165,Count,PERSONS,"3 Associate professional and technical occupations, All categories: Sex, Main language is not English: Can speak English very well"
DC2613NI0166,Count,PERSONS,"3 Associate professional and technical occupations, All categories: Sex, Main language is not English: Can speak English well"
DC2613NI0167,Count,PERSONS,"3 Associate professional and technical occupations, All categories: Sex, Main language is not English: Cannot speak English well"
DC2613NI0168,Count,PERSONS,"3 Associate professional and technical occupations, All categories: Sex, Main language is not English: Cannot speak English"
DC2613NI0169,Count,PERSONS,"3 Associate professional and technical occupations, Males, Proficiency in English: Total"
